source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
363498.1549219973,217775925796.69147,466664.6823969985,835108.9733963337,1276082500144.0664,1129638.2164852899,759104.4092983746,1026234028011.3689,1013032.0962394868,74849254.26573336,
406739.6191681354,297039698755.46655,545013.4849299296,817967.2928199815,1076111214410.737,1037357.8044294731,739043.7807705684,921522908023.0833,959959.8470889723,74238458.25421749,
337129.34772444813,204524561352.6925,452243.9179830863,638626.284211099,754923972283.2214,868863.6097128371,586674.8276959313,629060605901.5984,793133.4099012589,58178333.15822181,
308174.03609976463,157986844883.8173,397475.5902993507,708866.0682563938,930173068834.1251,964454.8039354281,680336.5013258122,867109777241.9912,931187.2943946299,61081144.44291699,
343586.6939337505,209065780342.478,457237.1161033168,874545.8330179702,1277014099609.387,1130050.485425048,771047.617173117,1022502462736.0509,1011188.638551705,79640692.16568393,
322560.1328924908,223772650198.12494,473046.13960809883,995292.475414424,3087261146595.9326,1757060.3707886455,910393.4817663234,2779843906725.605,1667286.3901338622,97046008.18742971,
392309.84133395454,293081165582.8517,541369.7124727719,743962.172566085,871947915612.405,933781.51385236,668844.0355936331,676448999593.0765,822465.1965846801,65126804.36691648,
371819.67166820506,260434005673.7133,510327.35148501815,895619.625661982,1146909323075.5745,1070938.5244147184,803067.5448440459,902088490051.7611,949783.3911222923,83196675.33237936,
395442.3414315815,308464381864.41315,555395.6984568868,729332.7693965265,953461490674.102,976453.5271450977,675023.8155868555,758037273539.7074,870653.360149553,64115694.15565451,
278739.3645261956,144958246152.6355,380733.8258582175,714672.3696878062,915447218360.8895,956790.0597105352,629366.0463415128,726572241254.6517,852392.0701500289,63089195.7533525,
330832.41728750855,205910158814.90207,453773.24603253335,767883.9171053198,1003130185883.5396,1001563.8700969297,687260.3988791715,808096152427.8026,898941.6846646965,73897154.503777,
283078.3404698932,130914749388.56813,361821.43301436433,655037.6085648184,1320982458408.0547,1149340.00992224,603471.3039377403,1218652573929.626,1103925.9820883037,58545479.93541345,
369911.9460613778,278041744450.6062,527296.63800427,771827.9163676447,1049957930060.6108,1024674.5483618742,708212.681175315,902547255357.8682,950024.8709154241,65397189.22006913,
376249.59790104144,497519271728.1057,705350.4602168384,828748.4691238091,2112391642340.059,1453406.9087286117,764581.1895964672,1930993579304.2012,1389601.9499497693,80459280.71501228,
227473.8663441658,80778258871.44853,284215.16298651014,637809.6380341304,815719947710.9656,903172.1584011354,566416.176157846,639654211817.514,799783.8531862932,57696658.4952614,
345379.37603203324,192666873493.70755,438938.34816942975,816381.9527014926,2432001152154.5015,1559487.4645711333,766478.0976899464,2282239295658.2344,1510708.209965854,79270295.39421801,
335782.9081146212,220509807603.2192,469584.7182385935,757332.2066184906,1400073793760.7856,1183247.1397644642,717253.9540160554,1329523238805.0415,1153049.5387471614,69647737.65980808,
379637.2482017762,251936291586.76788,501932.5568109404,793448.8845618346,1158138939206.4417,1076168.6388324283,714707.5023981605,940152511108.7783,969614.6198922427,73222542.75928219,
406252.28988911904,328515566909.8512,573162.7752304324,801061.4397099094,1818662226960.0845,1348577.8535034915,753714.2871899713,1656034164104.2627,1286869.909549626,80553570.97627118,
