source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
364644.9722389569,218591769464.86087,467537.98718912766,825362.8228008955,1253479926722.6455,1119589.1776551993,611646.8650338292,676112365126.3269,822260.5214445887,73411466.50592503,300.7729694847315
396203.1759016966,297363672739.40234,545310.6204168431,771566.7224204656,1016210333921.3625,1008072.5836572298,616715.0957868824,667642790131.7012,817094.1133870083,70306218.95575985,300.56540257151727
334429.6400766723,202803016618.45807,450336.55927368155,641973.030879403,748233745837.2178,865005.0553824629,493391.2121283114,472209038682.9762,687174.6784355316,58307631.81087681,314.4457935751762
294009.12447086844,148219804726.5267,384993.2528324707,716481.1676528637,961510202873.2733,980566.2664365286,589248.3264607985,747070667937.321,864332.4984849992,64373727.95872313,309.23938935739716
313402.4846271684,182003954598.40967,426619.21498967864,882385.3130545774,1354125693575.2437,1163669.0653167865,620430.8235527906,766423378643.1892,875456.0974961504,83124222.7793304,300.7162307948102
321179.59690288204,228943150757.9762,478480.0421731048,1023237.4318598887,3185502971107.708,1784797.739551378,731673.8811257518,2104922030611.3987,1450834.9425800988,99995537.4589641,300.6986509531581
401018.6385567771,309659769660.7616,556470.8165400604,698592.7872113924,812364777501.2571,901312.807798301,539534.0483150121,500722149770.8468,707617.233941378,62363917.69642464,291.93986517370297
374126.292299902,264588624100.6542,514381.7882669002,860262.4061794234,1085861790007.6921,1042046.9231314356,574095.15105782,578057876703.8804,760301.1749983558,80081498.00512828,307.9679568571246
396136.813357668,298755930953.3577,546585.7032098057,735830.6712315978,978388382200.9409,989135.1688222095,600400.0701779188,597711142587.4681,773117.8064095201,64572502.13928701,315.5362501270197
283878.90825912,153917663915.099,392323.41749518213,715387.9696780796,937336992790.5142,968161.6563314797,534330.986912415,633754627483.6665,796087.0728027597,65830611.7769837,304.5056002720702
328056.50885206554,204948720085.5163,452712.6241729032,742887.1344448237,909468046057.049,953660.3410318838,574773.3236384068,547378211249.74164,739850.1275594549,72258226.02535248,297.98660754910884
301540.04104519414,150154022831.41537,387497.1262234281,667726.1658410777,1359203082439.2844,1165848.6533162375,562513.0724037138,1054428083449.486,1026853.4868468266,59491122.22579419,307.97561219280806
362872.65680322633,276655478127.09564,525980.4921545053,827127.0739285401,1227960082026.8127,1108133.6029679873,627165.4169233773,795476574700.6505,891894.9347880896,73249630.43480206,301.8185104534732
367642.6908812972,501802276285.746,708380.0366228187,846799.4695300827,2167978088489.232,1472405.544844637,657643.8198099372,1559272771871.5435,1248708.441499273,81201643.25003335,309.08846922493575
229955.2343486106,80556050131.04095,283823.97737161134,635435.7938301765,791835865742.4058,889851.597595018,473151.66720228246,434619723450.9719,659256.9479732254,56551375.46885587,304.2912125874791
348022.29710776726,193894517578.75638,440334.5518793141,843991.2882187461,2433629815645.9004,1560009.556267493,752772.9934199677,2220402043871.451,1490101.3535566805,77553664.96336843,308.917047900647
328613.669692748,209443923752.4792,457650.43838335737,746195.5899598747,1389214460733.3503,1178649.4223191857,670635.4884421914,1400460344330.4316,1183410.4716160118,69316054.44965863,312.65196620831045
366438.11743198236,254047711993.2112,504031.4593288907,821445.4082107443,1253548258410.1008,1119619.6936505274,543159.7037095581,542977066471.92487,736869.7757894029,79479662.40537468,302.07608312581806
435401.2285901003,387427242720.91864,622436.5371031159,784787.2561692232,1785218412838.4126,1336120.658038941,650805.3026071145,1378050027666.3496,1173903.7557084267,77427599.52371225,292.11100904599033
301760.76580498123,160841879993.74854,401050.9693215421,1096509.3918782726,2745677762520.1133,1657008.679072054,748833.1767025169,2219585641247.71,1489827.3863933734,100783504.08860707,300.33806826730313
326417.28046241205,187463136912.42435,432970.1339728,636290.5297922352,786508157845.5366,886852.9516473047,617873.8956526733,781359654849.3341,883945.5044567703,51421810.50278282,306.3347865658222
303420.32528274343,176500657224.88626,420119.8129401734,788959.0360095308,1079909089526.7312,1039186.7442989885,561874.8720820914,657124736758.769,810632.3067573664,70052132.30603941,302.57582890151303
356373.49547615956,241203306404.30292,491124.53248061525,900762.5387411197,2512958335783.273,1585231.3193295395,730503.7348549025,2176006400699.0674,1475129.2827067962,84638667.2774351,309.37838896290197
561386.2416842175,570398576564.3971,755247.3611767187,1917198.6228185194,7140978669187.225,2672260.9657717235,781397.7133307877,1608451936704.54,1268247.5849393683,187580457.67362517,294.5064204553933
346781.9783545621,200748874867.3975,448050.08075816423,822628.8258582669,1719645603831.1733,1311352.5856272115,679925.6982772064,1506596093403.9172,1227434.7613636814,79034117.79480177,294.3741412284514
