source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
333590.2312895065,237886537250.11166,487736.1348619883,547310.3619782209,553832384488.7157,744199.156468694,547494.9126212691,558646813532.7964,747426.794765077,44943509.09563867,
348426.6834952115,256107830663.8145,506070.97393924353,564010.2360461686,579573282366.4711,761297.1051872397,564332.0375259011,575048587728.5209,758319.5815278153,43780298.23890505,
293818.6565410792,184092956104.80695,429060.550627539,471767.6112381968,435054219464.6207,659586.4003029631,468987.15897162986,433751189515.19336,658597.8966829407,39646633.306698516,
260214.45927612038,133207981095.60362,364976.68568773486,544656.8185289609,663152473471.4954,814341.742434646,544135.1885232182,662306827408.3958,813822.356173874,44646457.93148279,
305407.56917950924,188524341894.88907,434193.898960924,577397.9101389503,663421177566.345,814506.7081162346,571770.841762789,656267420721.5785,810103.3395324195,47803080.07297044,
292663.5074727696,222899631498.75058,472122.4751044485,700665.6221531847,1979167711084.1008,1406828.9558734924,696768.2964090216,1970104545779.0913,1403604.1271594677,66153186.74927248,
425538.17687008844,395367418217.6318,628782.4887969064,503901.6979453563,482449098390.14764,694585.5587255955,498957.81200557033,472978045804.76654,687733.993492227,39831263.521868154,
335559.383253874,314958293664.53796,561211.4518294669,543087.264186225,523863086095.56085,723783.8669765725,544980.7044691519,527968232707.3106,726614.225505743,47090465.98257004,
361526.35367787903,292626248587.10486,540949.3955880761,588004.7992649793,570392172028.465,755243.1211394547,580475.7809031514,558500700756.055,747329.0445018547,44933137.21506095,
269440.5767443981,146348595552.66934,382555.3496589341,493338.0329650672,523204369102.35034,723328.6729436006,491960.1635717151,515860530263.509,718234.3143177642,40878426.33966475,
265167.1508390141,143452812988.94785,378751.65080689464,516183.52459902945,453786106774.0507,673636.479693648,512893.4147157917,442335022499.56104,665082.7185392514,46694535.17559606,
249331.19318622592,124226001062.92204,352457.09109467786,533279.6914040493,965752656910.346,982727.1528305026,525964.1490976725,962193840938.835,980914.7980017607,48048622.39032378,
314930.998151462,239888232760.1473,489783.86331130523,624117.6207616818,754289336475.802,868498.3226672357,623692.892262443,754024404698.4893,868345.7863653679,47558666.19364883,
323497.0232662069,199395215995.79648,446536.9144827743,631930.3055558589,1550562449539.3184,1245215.8244815709,630890.9171130584,1535386864744.6565,1239107.2854053664,64897860.83734366,
217568.10108246835,90458444977.16429,300763.1044146943,400202.6588528195,325586741013.45593,570602.0864082569,386774.84555463254,309654458968.0108,556466.0447574594,33807107.637200564,
280487.26343631453,181014751100.20663,425458.2836192129,710830.1281815417,2011933811392.037,1418426.5266103977,710814.6925160493,2027478236207.3281,1423895.4442680574,75081091.98671809,
319202.4149853032,233829993010.39832,483559.7098708683,606193.942254555,1300587484900.0125,1140433.0251707078,607426.6510831414,1300612704473.0435,1140444.0821333781,60992972.53574798,
