source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
311026.9871310835,177649760747.6761,421485.1844936855,567127.3132817937,640266765656.0404,800166.7111646425,800882.4555496211,1201022637031.7537,1095911.783416783,46896930.39540763,
317906.66318632517,170009981743.74695,412322.6670263799,765943.3552299285,1974724949023.4482,1405249.0701023247,1154751.6026903384,3513713743691.2964,1874490.2623623565,71588290.71424419,
270939.14335636306,124132686294.80632,352324.688738678,611390.1445076852,670573148651.4675,818885.3086064418,800811.2938388726,1111817508247.1252,1054427.5737323666,51836993.53781415,
273432.79088691156,151430427229.678,389140.62654736784,640270.1786012119,1494265665247.828,1222401.597367996,779832.8530574628,1755408263515.6226,1324918.2101230335,56334882.50557897,
282830.41216952924,135567760433.46921,368195.27486575546,669222.7022875253,1328281037628.612,1152510.7538017214,826158.2565105875,1769092867850.2727,1330072.5047343369,57289774.14666569,
290625.9044508924,151888125312.68085,389728.27112320304,580752.0221448382,1208922738681.589,1099510.226728969,816837.2468789757,1581497758082.5276,1257576.1440495471,56424310.29466344,
365643.4956681681,299322516290.9236,547103.7527662588,770325.9817221096,1739780726961.8916,1319007.4779780027,1052989.30764159,2472716662938.4033,1572487.4126486366,73561388.7781613,
318219.6241760599,178859699287.95065,422918.0763315168,678473.6948053248,1343464110612.353,1159078.9923954075,751897.3433672541,1413923453222.5745,1189085.1328742506,57570485.86492271,
302821.2706793658,136338477206.09863,369240.40570622636,838742.0979875646,2193275864172.3704,1480971.257037884,1144128.0540800055,2901847313747.537,1703480.9402360618,78669462.50479127,
294007.7043980393,202664879977.81494,450183.1626991562,843176.5423713163,3017731398152.7695,1737161.8802382147,939926.5379083448,3256088533219.897,1804463.5028783202,83091499.44876997,
304348.17347165325,158582008592.97202,398223.566094439,555431.4688629004,733507001610.6522,856450.2330028594,812928.1734641605,1327523043911.1255,1152181.8623425406,47741350.27330381,
364060.741584129,265773548481.39127,515532.2962544551,874246.7889254534,2391749045863.3765,1546528.0617768876,1264854.1396943002,4122756093795.969,2030457.1144931796,84521401.36589523,
398786.46086564136,290175567323.3403,538679.4662165436,616457.5767031898,771986539255.0853,878627.6453965498,880772.0749006299,1391292799333.9077,1179530.7538737205,51491995.412701525,
266475.7221592906,138106361479.74475,371626.6425860029,669093.1712130557,1549962922354.8447,1244975.0689691922,1007795.7082186778,2390825567292.9746,1546229.4678646422,58881213.80078574,
384932.0566090236,372617820345.87317,610424.2953437167,620522.9216518317,652412088110.6439,807720.3031437577,895790.563875051,1492346769090.2842,1221616.4574408303,51443608.70148183,
355779.6349279527,231921982403.65475,481582.7887327938,704670.1984163104,1618679134494.2236,1272273.2153488982,907486.7522426249,2030923953698.4775,1425104.8921740735,70850335.04467897,
455472.6650329834,452591134519.8426,672748.9386984141,793345.2290346426,2049387515415.2117,1431568.2014543393,931544.3133411929,2457513090393.2275,1567645.715840549,74377939.08587804,
305826.9669356166,185448364394.12323,430637.1609535378,754877.6177248086,1911801381778.7258,1382679.0595719332,980996.895541653,2446646379711.492,1564175.942696822,74516550.35383797,
416136.78070383216,325214914770.1868,570276.1741210892,674043.992038276,1274174680467.6448,1128793.4622718387,1026666.7166105853,2468342504453.313,1571095.9564753876,58354184.09966989,
274364.8313075767,128920499486.20097,359055.0089975086,511781.1179442695,502292869062.89703,708726.22998087,661331.2274453645,755406050653.8807,869140.984336765,42083489.54329421,
377007.3290002092,270017117660.91946,519631.7134865033,717913.6779363896,1909872502654.5576,1381981.3684180253,793771.2614573917,1987593848739.9346,1409820.5023122393,68793630.17499207,
235652.29801811403,93021477840.06378,304994.2259126618,693369.7858501277,1115466548485.682,1056156.498103232,1062457.9184274408,2300373601272.9414,1516698.2565009235,63036524.50389419,
369889.7794586041,268769361243.52182,518429.70713831764,739250.8736428119,1898198485881.2878,1377751.2423806004,992618.6017202893,2787805654274.9824,1669672.3194312656,67086280.98641958,
419603.0887728201,343107624551.7221,585753.8941840013,907898.886234177,2457208940681.139,1567548.7044047911,1350927.70070743,3846264744274.7725,1961189.6247621677,84006239.20094557,
288694.30001099623,186472649474.46915,431824.79025001463,552868.1904358292,568592345110.735,754050.6250317249,691935.8038368139,891169775189.0474,944017.8892314739,48468636.00271484,
404030.17604667804,424900315919.7237,651843.7818371237,493004.8748174454,451850315654.726,672198.1223231184,731263.2259167226,924511539645.2639,961515.2311041484,40821412.63147174,
434519.0603819597,439618084394.84125,663037.0158557071,602116.2004513091,1300966611135.535,1140599.2333574202,792512.8094062506,1509505998719.1274,1228619.5500313055,52434160.60422445,
304115.5855294491,178249398073.26666,422195.9237999186,554164.4172364377,683504699332.6483,826743.4301720506,733649.9510303283,899797845280.468,948576.7471746649,48323622.253112495,
308563.3937501831,165214978313.69083,406466.4541062286,542629.8882899529,628892968389.2426,793027.7223333637,703036.1462333064,987241579148.6924,993600.311568335,45282504.82627599,
253313.09343772446,113844382525.55046,337408.33203338424,521386.2575420455,669812601072.058,818420.7970671676,693258.6241019714,904817107412.0774,951218.7484548847,41608507.43911863,
292028.92722224904,192205484141.2786,438412.4589257,525964.4364039187,614385178648.5769,783827.2632720661,685144.0180043504,808093331172.94,898940.115454272,46973972.016952895,
362762.24475151394,274696851332.5455,524115.3034710449,673620.2588866189,1356472130683.1885,1164676.8352994698,875210.388847084,1817647851286.6294,1348201.710163071,58595104.60806331,
302692.1883711248,205816627897.7835,453670.17523503077,716245.6785336765,2791794155207.7266,1670866.2888477123,854668.7985389939,3191803215260.425,1786561.8419916017,80029337.18964379,
256307.60418653587,150663896497.17905,388154.4750446387,589651.909553304,922572378886.8992,960506.313819383,869315.5890915813,1662475751158.9656,1289370.2924912476,53249594.01533996,
236060.29808345562,117932704353.5695,343413.3141763282,576586.4479979691,868033215963.0813,931683.0018644116,755011.0072063417,1142682652471.0732,1068963.3541291642,53925288.47998701,
317686.0848690638,188769962089.91898,434476.6531010832,723586.1725352216,2073101698250.2466,1439826.9681632742,1048628.553325914,2923237860841.277,1709747.8939426353,67792851.57603115,
417961.97580084007,297458920413.89386,545397.9468368889,731214.8575898026,1612193336031.9194,1269721.755358992,1284079.1119355573,3535578199515.422,1880313.3248252596,65653475.306080796,
343586.5975434334,225065232041.59973,474410.40465149976,534129.6671855815,531167864609.5765,728812.6402646818,866548.2825887837,1283391154733.1648,1132868.5513920689,44862207.0609757,
333235.3594622534,208681025076.78314,456816.18302856036,604797.2544395801,567061547021.461,753034.8909721654,976289.7859264779,1704799934137.2805,1305679.8742943387,51358925.41172255,
259859.72146369942,129604412699.5111,360006.128697153,643610.6110594461,883267833695.7155,939823.2991875204,851987.3787796507,1411638943900.6243,1188124.1281535462,52930824.407775916,
282186.6208105558,134978795944.34242,367394.60521943215,590546.2513068024,710296259324.729,842790.756549174,867413.2434107258,1332875575962.8408,1154502.3066078478,54131001.55548488,
411279.62781692646,326572191167.8793,571464.9518280883,531395.7816960366,708794109274.9977,841899.1087268104,779674.048986584,1219461088292.2021,1104292.1209047008,45865268.23921107,
318724.47380175703,198240976837.7793,445242.60447286407,617854.7983449693,1141778464829.2896,1068540.3430986074,791300.4765285446,1404158681139.2346,1184972.0170279273,58405403.44709428,
236524.4824103099,86061532005.68979,293362.4584122682,652784.9539324464,2300669481092.2886,1516795.7941306036,772412.6315534057,2412204900848.4126,1553127.4580176647,68984921.89626087,
281706.44858738576,128953779948.07748,359101.3505238841,775706.5782243573,2524482995331.3623,1588862.1700233668,958921.4696119488,2985486048520.871,1727855.910809947,75232076.54498656,
345010.8092636969,233496395019.2996,483214.64694201853,566869.7877836071,1113653914337.3086,1055298.021573673,708928.5464188982,1271535550480.7246,1127623.8515040043,51326031.35165521,
262360.28312128986,132449727568.82582,363936.433417741,556310.7576519481,532495699502.72626,729723.0293081932,981495.1186003168,1774671081804.9766,1332167.8129293534,48314371.71359674,
404957.7535593517,373391663404.9792,611057.8232908725,654240.4185553337,683241357572.9387,826584.1503276837,1009986.6633737047,1588730476641.144,1260448.5220115671,57740774.21492133,
487635.5139665529,417738520403.77386,646326.9454415264,594502.0072617654,553290727300.8273,743835.1479332147,928996.3708235347,1449858178436.537,1204100.5682402684,50701323.071694076,
258586.0656983434,110569443670.97728,332519.8395148435,571909.5653034677,765554949158.6527,874959.9700321454,792241.9928157021,1252587420036.5115,1119190.519990458,48992180.246049106,
372635.4565117645,280319461951.9062,529452.039331143,485906.58868113806,503266295494.1457,709412.641199849,797067.8405068964,1068983008594.3694,1033916.345065871,42991762.42892159,
255190.5323796964,131061618575.5877,362024.33423126093,562973.078244168,714509160277.482,845286.4368233304,725327.4275642459,1021610139705.509,1010747.3174367117,45795204.29150743,
330566.08740421606,179617237690.68417,423812.7389433736,680686.6788734082,1438140159459.104,1199224.8160620693,859687.257640852,1833891798886.804,1354212.6121428658,63157312.84439709,
407382.8946514219,308458803223.7454,555390.6762124706,556052.79244581,884989257588.9403,940738.676566952,837570.0021648518,1642123510577.296,1281453.6708665264,49013082.0817501,
273015.6612495863,136267245945.20258,369143.9366225627,565366.9335529846,558661000871.5776,747436.2854930029,874591.1471627468,1233318440097.6855,1110548.7112674012,41813316.22079827,
291722.9668684852,174604268133.8151,417856.75552013644,753761.3490298588,2036141528572.8582,1426934.3112326013,917265.2888418897,2544722663338.7803,1595218.688248975,74070098.11287238,
279365.6510309091,140418937922.26053,374725.1498395331,503802.32568760694,476445975012.96295,690250.6610014676,653431.293873265,887436456014.688,942038.4578214883,40400802.353229195,
275224.2254366309,135073071109.68378,367522.8851509573,599144.9335967529,1703680313088.9304,1305251.053663214,827573.0104071349,2060831555734.2922,1435559.666379037,52427171.15561521,
313266.30081572,187224878475.5602,432694.902299022,671385.9747155895,1495768211107.654,1223016.0306012568,755731.94753164,1502658824310.8005,1225829.8512888323,60623740.6138247,
312359.8098013011,228285882723.41074,477792.71941231034,542859.8923102844,598974884570.0001,773934.6771982763,769079.37548556,1026505658834.0442,1013166.1555905053,50308445.59214031,
280007.76959866757,133104146944.26508,364834.41030728596,666433.511122024,1103634708520.0315,1050540.1984312793,774293.3153083309,1537267692195.9812,1239865.9976771607,55752007.679024644,
252761.34221869835,132476149105.70573,363972.731266651,616777.6450452991,898835172719.0609,948069.1813992589,765817.2350054185,1235237758196.0146,1111412.5058663029,52386767.61046813,
363551.8768410829,313942625217.3951,560305.8318609535,619092.8170928921,970719240354.3004,985250.8514862093,726816.0843325806,1084336066785.864,1041314.5858893286,56844148.59769201,
296971.7664863261,165557677748.08493,406887.79503455857,591420.605302001,1042471334188.4563,1021014.855028298,744685.2788181471,1345636141187.7683,1160015.5779935753,50198016.24442852,
299419.58983590367,148481129470.63113,385332.49210341857,567323.4309465255,821145992647.0535,906171.0614707653,908943.6645589896,1519480384511.6794,1232672.0506735274,49664649.27786257,
336516.04083439836,212574460618.98013,461057.979671733,731644.2836589833,2091324937884.999,1446141.3962282522,984362.8362521565,2641009985319.061,1625118.4527040054,65151615.968594655,
272651.7229730402,122532545467.81299,350046.49043778883,657210.0025939165,1519797603537.7046,1232800.715256811,932275.3202101374,2215566629522.2954,1488477.9573518364,68084208.72516926,
324435.84205292596,189425504104.9699,435230.4034703572,581507.9645188876,676225319011.504,822329.2035501987,913507.8281415708,1884753035892.776,1372863.0798054028,49734747.9953924,
290730.6639489512,151364792554.36252,389056.2845583689,756127.1677811387,1955757822517.8352,1398484.1159333328,845540.2550886304,2198464404076.0037,1482721.9577776555,74374092.81003839,
327520.3075048141,189384666674.8168,435183.48621566145,660426.2425662949,977454201305.606,988662.8349976578,865956.989502066,1498207195180.1826,1224012.7430628256,59433514.21949355,
344297.4912986409,200935316192.47244,448258.0910507611,612783.8593347381,1807037020046.5957,1344260.7708501336,859141.8465069451,2158904419911.3643,1469321.0744801029,56519010.03283654,
323156.27912386233,187333853935.66763,432820.8104235142,713994.2729624712,1851154012572.6772,1360571.208196277,945072.5304173566,2407059626314.427,1551470.149991429,64704710.405283265,
397393.6483773414,283629824194.2356,532569.079269756,703758.8130522893,1301315912815.5432,1140752.3450843934,884462.4806680104,1545970992182.5952,1243370.8184538493,60839853.91519398,
284877.64063991344,140275759302.4924,374534.0562652379,551772.8746007495,526560667840.1954,725645.0012507462,693882.3017992157,891002707618.9119,943929.3975816793,46466900.37536224,
237422.59451076153,109965259272.53401,331610.10128241574,709130.7457458912,2115833884918.36,1454590.6245120515,865356.4898769201,2285940873277.7637,1511932.8269727342,67579125.71658345,
322443.6083556146,165213159787.91714,406464.21710639814,713554.9753895398,1194599103242.8757,1092977.174163704,906056.8360059831,1880073327131.3132,1371157.659472941,67175625.64851293,
267789.2229732947,115783611192.17857,340269.90932519815,557292.8960344269,557026520003.1921,746342.0931470984,802596.5606676507,1172755650778.3887,1082938.4335124453,47788904.50148318,
327152.79077970766,256337277801.19818,506297.61781110347,618354.214250628,631353449773.9373,794577.5291146467,842826.6775168153,1175834373449.7104,1084358.9689073034,53591471.52802434,
297920.492912947,175397288925.54288,418804.5951581034,586492.9524716121,1435863024940.6956,1198275.020577787,747901.167117081,1629132230895.2373,1276374.643627504,53401282.534939736,
369899.04088264675,266115105591.22897,515863.4563440494,787817.1024530291,2018163057011.1443,1420620.6590822,963043.3083591146,2542876340844.787,1594639.8781056453,70646677.10822143,
337887.39152148535,188154132783.32407,433767.3717366534,731619.5246838003,1131238775993.238,1063597.0928849129,1313231.8846586903,3002081484211.0215,1732651.5761142,66682920.22806622,
315206.3794448769,176374153048.689,419969.22869263764,659143.4125726146,645140515410.1885,803206.3965197167,1246674.2838785176,2589143842666.312,1609081.6768164106,58423949.89276953,
406542.3850908714,515873876473.1646,718243.6052434888,568416.3127108206,1213481906826.9607,1101581.5479695366,816528.6981959044,1797386228847.7085,1340666.3376275653,54030687.29375017,
469287.6888443029,593198454887.5586,770193.7774921053,598754.2004442569,571886988669.0205,756232.0997346123,929049.4127306492,1618655732894.9482,1272264.0185491957,50239354.89776268,
296020.5007649406,192330144647.6641,438554.60851262766,720825.8913557945,1526177977094.8018,1235385.760438739,1322656.2819311144,3464647694632.167,1861356.4125744877,71761271.79131946,
319805.1760270804,203236350963.6457,450817.4253105637,496259.87121453905,490517001750.806,700369.1896070286,776558.617321125,981762323523.3992,990839.201648481,39839693.177640885,
330074.9499072851,176256369308.27734,419828.9762609024,598532.4540859353,615723604795.8092,784680.5750085886,845928.7050294016,1180001686128.1882,1086278.8252231507,53117766.584538125,
293656.09972523374,182797738992.55334,427548.5223837797,619691.0857106165,1332340598571.9697,1154270.5915737306,741735.8570352105,1360267797332.9001,1166305.1904767037,60756742.17707382,
364951.2960085008,271506233597.67685,521062.6004595579,790450.8174945079,1968230853719.4585,1402936.5109367773,1111392.3569146711,3045386344341.143,1745103.5339890704,74184202.43910894,
295606.43720564625,147808711420.6505,384458.985355591,479761.52385638765,443071485978.0302,665636.1513454856,675434.5756176838,903642080934.8739,950600.9051830709,39095117.76303401,
324459.3128756682,198385879910.09387,445405.2984755501,569128.8818673011,581038031282.303,762258.5068612242,795642.0665843927,1016941904884.5981,1008435.3746693926,43711006.13433773,
400780.35198106716,271240469908.62152,520807.5171391265,606568.2609917601,1228825009591.9443,1108523.797485622,747483.4426914555,1422721680221.3906,1192778.9737505396,56870560.52970484,
405432.6414066897,314535293766.4583,560834.4619996691,542075.1156588908,560568516590.2943,748711.2371203563,792192.5705419402,1225091296529.2769,1106838.4238583683,45602747.82724732,
441671.18818802614,434758836066.4237,659362.4466607298,619536.2215755935,1451549179108.8345,1204802.5477682368,861823.857578948,1840691586332.337,1356720.8947798868,55017994.236377575,
419131.0211724843,421868573256.5987,649514.1055101103,551087.185035014,590094250654.0577,768175.924286916,767010.0246449658,1075341212570.1455,1036986.6019241259,42113040.279659055,
356316.80616777035,289243925785.2153,537814.0252775259,684041.0825739509,2101097623020.8838,1449516.341067214,899960.1831694247,2428713583830.049,1558433.0540097156,65961262.62322598,
420630.6121015228,525513015438.72534,724922.7651541407,706470.8228803832,893335723093.7809,945164.3894549672,1105499.1695431718,2061363795228.2,1435745.0314133773,57775827.375068665,
381116.54517947725,289210312469.21796,537782.7744258995,588386.3218423965,581503722924.1234,762563.9139928689,952579.7666262292,1471607208480.904,1213098.185836952,51454843.03972058,
389397.92151490325,335869217733.16394,579542.2484454123,615592.0810228187,767868088851.7373,876280.8276184852,882388.2834759939,1363214367895.944,1167567.7144799542,49690336.95173284,
315909.7857749149,177931687128.26596,421819.49590822135,631694.5426294722,1592737826484.6753,1262037.1731786174,790769.3916000145,1922190390545.9019,1386430.8098660754,57900517.95708902,
