source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
334289.355736657,198710318744.7006,445769.35599556484,759012.5060945947,1094069274560.494,1045977.6644654005,579608.8775863929,683599214843.9575,826800.589528066,67042328.47348627,1.3129582174427055
333994.853853346,174712279532.29047,417985.980066665,1177552.143350396,3427152280300.0596,1851256.9460504556,732486.662369444,1850478621935.6477,1360322.9844179093,114037385.44247971,1.3195015962622336
272243.4705341684,123974940948.48373,352100.7539731827,804789.8203407966,1134933396513.1453,1065332.5286093282,594914.7109683277,658348767438.7621,811386.9406385353,71189817.01765864,1.348825131983339
275246.77275390393,157042865601.549,396286.3429409964,780029.0235372628,1737063580980.8184,1317977.0790802161,636387.5444450106,1548871749860.3684,1244536.761152666,69394860.64764225,1.3879060883326493
270609.10441596573,130610171838.72318,361400.29308057175,844262.6457951353,1795376636353.6243,1339916.6527637546,647977.399123761,1288156207226.2122,1134969.694408715,76034518.65357329,1.323839848284055
287556.8326021079,149424639957.8794,386554.8343480901,840908.2043094215,1542399269257.0488,1241933.6815051958,549535.5171597598,1199536050605.142,1095233.3315806007,76205750.1365983,1.2094244029270516
370681.4913657998,298755358981.02875,546585.179986641,1032366.0525767313,2681726921542.964,1637597.912047693,751275.1991033856,1664023216929.0398,1289970.2387764766,98263086.98451751,1.3172785308222414
314461.57624845224,172496353573.21283,415326.80334071006,722151.4996060121,1372521314360.0405,1171546.5480978724,698850.7235492322,1408880308453.208,1186962.639872548,61454798.91397601,1.317985917288377
305453.6884828104,139004869023.55814,372833.5674581329,1123242.1847217586,3011660000286.402,1735413.4954777786,783327.1873031135,2095636559855.9612,1447631.3618652923,105450234.56308223,1.404631496070519
284046.10679491796,194366929076.50644,440870.6489170111,942261.6542873952,3251094771685.6377,1803079.2472006432,825358.0325360548,2972243783004.244,1724019.6585318407,91037837.05873147,1.3966433364244284
329620.92284369643,188648608083.88232,434336.9752667649,811758.1748243191,1297426812524.1409,1139046.4488001096,621463.8668184468,836887701554.439,914815.6653416244,77254472.32327539,1.418285514869384
362711.90820731403,268278416342.2347,517955.99846148584,1299424.5529637355,4099517718247.0933,2024726.578638976,761749.6554403395,1967385318232.116,1402635.1336795026,125718810.06873396,1.391201027348248
407532.73843558633,293864516986.664,542092.7199166799,899273.2053857334,1505299168740.9072,1226906.3406555967,573593.2017010291,664576431631.0277,815215.573717178,80976442.76501149,1.378062480198644
274919.82465990796,146515046437.10068,382772.8392102824,986396.4211282694,2427532603966.678,1558054.1081639875,641781.427691544,1523070562181.854,1234127.4497319367,96193200.13270995,1.4205956399354105
396127.46080184565,379956113567.4062,616405.8026717515,883817.9339284609,1465648258940.6326,1210639.6073731573,594425.6398306238,590460628946.3942,768414.3601901218,83573292.10124394,1.3070499625766128
341098.2606959004,213076919707.3033,461602.5560017008,934948.1360480374,2027531694755.328,1423914.2160802132,701733.380471723,1619110201068.1895,1272442.612092266,93048832.64318348,1.2892289812818039
444497.8833155956,460664049295.5906,678722.3654010457,993402.6180672626,2649817954587.869,1627826.1438457945,775941.9556154327,1976650151643.146,1405933.9072812584,96609410.66464338,1.3612742673402112
306241.9280671049,184857826691.93192,429950.9584730937,941508.9758733469,2324830332414.2646,1524739.4309895264,699279.17782938,1764710591779.0518,1328424.1008725534,90446994.55249393,1.3602586332928497
431146.2661297535,328140992811.2775,572835.9213695293,1011751.53981737,2451002478099.506,1565567.7813814085,636664.5286562277,1171284348739.2808,1082258.910214779,97747685.93472673,1.3751847883246893
276267.68459857145,131997355248.57878,363314.4027541143,676680.8923290805,866251966104.4524,930726.5796701265,506581.0313446819,493301990896.86115,702354.6048093236,63028948.599911585,1.372853637206851
372049.1042959498,263239249349.86295,513068.464583298,822963.3170262912,1992403913068.8936,1411525.3852017305,724179.2677588938,1991958764235.9678,1411367.6927845443,77782870.18284452,1.3976041025424628
239292.81970602646,92751957760.58626,304552.06083785783,1100845.7146641498,2352870967872.985,1533907.0923211044,621687.0038699943,978298784868.2775,989089.8770426667,108067618.04822494,1.4256444331043476
381974.45533148746,294209624990.4367,542410.9373809093,942667.546622068,2641402473719.411,1625239.2050770284,731297.5759692882,1750575321221.3572,1323093.0886454503,88564606.85913253,1.3596881940530055
434594.4474867453,374528693959.6953,611987.4949373519,1314556.3151443547,3569126182357.0356,1889213.1119482089,850399.9434114648,2409036583253.1255,1552107.14296827,120690949.59187081,1.3735014351568862
285824.5387707783,181320806763.8215,425817.80935491825,678567.6404717533,886732109472.2845,941664.5419002908,581181.1765595422,600103003520.5309,774663.1548747694,65071091.14395764,1.3924872426605805
386360.96268281696,320806062368.6059,566397.4420569057,785743.205603668,959234380934.364,979405.1158404085,473587.8520545898,432726723941.83826,657819.6743347209,69791470.72030675,1.270368307473702
