source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
308302.5270633494,179885906072.99265,424129.58641551126,737853.3672540736,1032308859005.2266,1016026.0129569649,612351.8478324176,778921557667.6205,882565.3277053322,63669542.340605885,
326914.96101454215,169307523933.59708,411469.95508007274,1196783.9601126788,3497549764137.9663,1870173.7256570489,746430.3957385075,2116695707232.949,1454886.836572848,118405721.79098749,
284885.38863751054,132025069891.90915,363352.54215693765,796466.3795889309,1125640863639.775,1060962.2347849025,589046.6778868976,752188048093.8628,867287.7539166933,70841712.4784156,
275912.6756948056,155660039992.13168,394537.7548373941,751958.6555831785,1768538663045.7236,1329864.152101907,687347.0381466668,1823311738724.6394,1350300.61050295,69358053.30824722,
278548.57723406074,134212970957.72223,366350.88502380095,857672.3794981901,1849810289321.3608,1360077.310053131,641605.2008664316,1405438824470.4658,1185512.0515922501,78108803.55512059,
281731.4180526816,144029085161.6143,379511.6403506147,822299.2529850872,1603311938825.1506,1266219.5460602995,500943.9588029466,1175005572522.4395,1083976.7398438214,78718700.17346294,
358942.50200194423,276710071195.61084,526032.3860710582,1123620.7247621303,2640201333724.497,1624869.6359168317,698581.626514448,1803032938503.3562,1342770.620211567,102209784.35054815,
320902.28083585826,180996100117.95248,425436.3643577644,669998.1670040798,1399301829141.742,1182920.888792544,716883.0327039809,1521674341459.245,1233561.6488279963,55677250.789143585,
291657.7053094721,129230741856.46063,359486.77563501644,1080238.1177769515,2787944175594.5913,1669713.8005043233,800906.5301878012,2251177018863.2637,1500392.288324378,99046627.03606273,
295224.2149419834,192961054074.8411,439273.3250208133,953147.1227700684,3376799746938.0996,1837607.070877259,837531.1978693432,3268222436884.558,1807822.5678657067,96591178.21356028,
315182.307124223,170830723435.18542,413316.73500499036,787675.62262988,1189759017180.2031,1090760.7515767163,588936.0600359912,896692752559.8363,946938.6213265548,73351243.41891804,
367178.85024762445,268136745592.43884,517819.22095692705,1263842.5155616207,3966951942801.582,1991720.849617632,673130.5242422989,2174022898533.1497,1474456.814739974,122836275.57615633,
412086.07553752215,299978769399.01044,547703.1763638133,904272.4622837482,1481009838581.1235,1216967.4763859236,663786.6150397378,964726057555.1254,982204.6922893035,82256116.5540651,
272362.42890449526,148671234286.7959,385579.0895352028,999374.6248179202,2416394794826.82,1554475.729893143,623549.7586040602,1732971474927.672,1316423.7444408515,94538557.55724892,
384485.7308070286,368197010899.58203,606792.395222272,849595.439541295,1393206063390.5845,1180341.5028671087,652377.4129862427,760589666125.8683,872117.9198513629,78821239.53529145,
366290.75448822154,235804284776.69595,485596.83357358904,900758.4293947087,1981182907263.6953,1407544.9929802227,703678.8390428263,1571729499915.6047,1253686.3642536777,90299198.74496792,
458853.1991348212,465530623080.5081,682298.0456373213,947274.4917006514,2499152493151.0776,1580870.802169196,809933.438340629,2154399436938.5156,1467787.2587464831,92364990.57213606,
309179.07873806363,182789506506.35284,427538.8947293016,989015.8771187359,2379398762220.2944,1542529.9874622517,693300.2961109669,1781915177080.241,1334883.956409785,97653364.59304975,
383691.19352553994,257883391720.2775,507822.2048318461,954599.2428920945,2418416829841.971,1555125.9851992608,594877.676489733,1294321796736.638,1137682.6432431138,90022233.97585823,
279150.4258379642,132480581962.71288,363978.8207611988,647728.6282351906,726433228545.5945,852310.5235450249,556017.7432516817,645878155089.7031,803665.4497299875,57105662.99642101,
374306.65549994085,255187687639.52493,505161.0511901377,819212.364885308,2020334181335.1526,1421384.600076683,740370.6408626157,1933891807991.1472,1390644.3858841653,76498235.48083135,
252217.28624262084,107549477736.78667,327947.3703763863,1087944.8652662982,2315241770122.618,1521591.8539879932,668363.9640612428,1219659344803.346,1104381.8835907015,105188680.50901252,
387728.0162222606,288279856076.48944,536916.9917934145,974055.1305785306,2811221210250.7046,1676669.678335809,756522.3890835744,2008230488687.8718,1417120.4919440942,91190210.80015893,
433066.14739126526,356182846066.48724,596810.5612893318,1380782.0586147278,3809388077646.96,1951765.3746408557,855894.491938023,2822296801145.922,1679969.285774571,130072561.37854666,
