source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
315834.83340539376,177762083920.4802,421618.4103196636,737050.9288260688,1092193011247.731,1045080.3850650585,299510.61448322947,157031122837.4207,396271.5266549196,579553.8828177701,683857027126.425,826956.4844212935,66408081.57739219,0.3375799751034275,0.27909850841089673,1.0,0.2596310445105506
334422.0648587122,177865006844.2302,421740.44961828145,1164685.139345719,3392835304727.8726,1841965.0660986686,317520.74003918475,181820667542.3096,426404.34747116454,732738.1826574708,1851752441703.118,1360791.1087683951,113539869.1120018,0.3066410858638379,0.3087569422595771,1.0,0.38235457761415664
268736.6941971485,122673303699.42052,350247.48921215767,808947.4277634396,1149912521871.1008,1072339.7418127805,321936.30242794286,193570143985.85202,439966.0714030708,594858.2153593992,658515935457.0544,811489.9478472018,72526837.11128928,0.3807106348398151,0.25459691322769423,1.0,0.3475168205959721
288958.8246806804,160321440296.39447,400401.5987685295,761951.6782769096,1726297048967.9333,1313886.2389750239,358141.7084206082,212778466850.41833,461279.16368552606,636437.41465035,1549308261409.8616,1244712.1198935364,68412039.07776538,0.3868290190890698,0.25013910956343544,1.0,0.24379344403107125
273012.3453931624,134089835189.79158,366182.789314014,826892.5386517169,1784442917220.7944,1335830.4223294193,255644.08819609552,152027291168.6518,389906.7724067534,648142.5609132963,1288985532045.8123,1135334.9867091265,75805110.67075063,0.3599684684303274,0.2708677753850375,1.0,0.2956375654569328
297010.7302610747,157334916291.30276,396654.6562077682,815621.1803751466,1585815959930.759,1259291.8485921994,446625.917588271,393684668065.5789,627442.9600095764,549721.7920676549,1199644430011.8586,1095282.8082334986,75442379.17596245,0.40056598217286465,0.23696474031431564,1.0,0.3239458698611576
372203.8656952873,305837499569.1099,553025.7675453378,1118074.1571181244,2613461112048.531,1616620.274538375,496605.3300065845,492430238831.01276,701733.7378457821,751401.3509286327,1664512181351.4243,1290159.7503221934,103086322.09070182,0.3500348553041645,0.2773714818412551,1.0,0.18396599508075792
318344.08864891506,175323809568.24695,418716.86085975444,765784.1196852578,1424599672784.6697,1193565.9482343947,396413.53275265696,270452922421.8252,520050.88445442065,698886.3022341738,1408956612498.9795,1186994.7820015803,66232298.962715015,0.37228570040624187,0.26197783178930073,1.0,0.2512947959175924
301701.98155730934,137963104961.44162,371433.85004794813,1085701.825785635,2691120404963.048,1640463.4726085942,495413.06854711374,546623931693.1864,739340.2002415305,783556.8000811859,2096110516164.9363,1447795.0532326514,99639499.29632439,0.3679454960957231,0.2662913096409262,1.0,0.24971480770890508
294731.3090595047,201843747327.12375,449270.23863942263,936295.9266685892,3332295157035.2617,1825457.5199207626,430706.74230465194,467219818213.8356,683534.7966371833,825544.8140594296,2973156282683.1846,1724284.2812840303,93703026.56731749,0.37602543566056157,0.25694751542767785,1.0,0.3346138774449163
307939.1216226635,164718764662.5499,405855.59582510364,809420.937425268,1207206547217.3267,1098729.515038768,317959.4710826822,208413313772.3905,456523.0703616089,621432.2780416012,836933107609.513,914840.4820565785,77361268.6737186,0.3766213694714003,0.25435883132554965,1.0,0.28817370642980233
360420.4600668629,264747102038.68112,514535.8122023006,1263798.448590514,4053880588908.047,2013425.088973525,405517.1014649259,414181918617.12463,643569.6688138158,762273.9750430477,1969006112039.4766,1403212.782167935,122001978.51670624,0.37535572538102197,0.26178779166819044,1.0,0.29898644085573595
406543.22955353867,305045816546.9242,552309.529654273,883845.7111673662,1418724313939.1396,1191102.142529825,288642.9761508575,156274966377.12677,395316.28650629456,573930.1772491196,665344174163.1644,815686.3209366481,82192196.57867165,0.3903859988760036,0.24601646874065125,1.0,0.36086185068711407
259367.70178532647,133276828451.25616,365070.99097470916,975067.1478815407,2363060943972.9346,1537225.079151695,379878.90588793723,268733760310.33798,518395.37064902304,642054.2756460949,1523906239358.2163,1234465.9733496977,93750336.95023122,0.355362604758462,0.2749002612661312,1.0,0.26740590231924366
389767.13037488103,370749513554.0123,608892.0376832106,875545.5749649833,1546075881003.665,1243412.996957835,292142.7718918615,155880077701.03088,394816.5114341482,594413.2794553929,590604163951.4954,768507.7513932409,84993167.4369547,0.3654629560760149,0.2652477370243088,1.0,0.3251969904302826
342222.47906901565,215979435163.90475,464735.87677723437,862859.2987826003,1954713062644.0127,1398110.5330566724,489440.198059066,541004025620.85046,735529.7584876159,701743.9258748018,1619157267896.5513,1272461.1066341286,88430567.89963666,0.38301248999203374,0.2528386982513383,1.0,0.22151819100338146
455630.3041398693,445264019053.43854,667281.0645098799,927023.5602170873,2423127967053.6523,1556639.9606375434,511245.1069859361,596790754524.0415,772522.3327024543,775999.8859290986,1976823265122.545,1405995.4712311646,89666634.29943101,0.3452887119452987,0.2794402344580175,1.0,0.2187533847497745
304389.1681380039,185175352050.25217,430320.05768991547,1002959.1448567198,2474213746572.479,1572963.3646631695,287953.78215223574,166158028213.01855,407624.86211346154,699512.8451403091,1765786330602.704,1328828.932031021,98067540.073823,0.335227564437058,0.2875667108721963,1.0,0.28312758279078054
404570.50972676487,274820416373.7041,524233.16985259915,973925.5512417331,2460613763015.441,1568634.3624361418,239739.25839352605,103724109405.03023,322062.2756626895,636744.6421937002,1171858431848.526,1082524.1022021293,92677516.29568525,0.33672164311551894,0.2877257165562191,1.0,0.27189042391612905
