source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
298799.8429375201,236297202964.10648,486104.1071253219,599610.9313968269,604992787938.7008,777812.823202794,371257.0225769904,209146213576.43216,457325.0633591299,585542.2316949944,570041589764.6082,755010.986519142,,,,,
287280.3224440821,161660498358.32266,402070.26544911606,481678.26463463425,478548488895.6166,691771.9919855216,332364.37580678123,184480048536.37366,429511.4067593242,482448.55108206713,480973801770.8576,693522.747839505,,,,,
526238.8972866675,1856566911838.0535,1362558.9571971018,664605.0444285434,1125081155132.7283,1060698.4279863567,434910.343121199,378227886113.6248,615002.3464293651,663393.514293847,1121160603638.4368,1058848.7161244692,,,,,
315458.5404216505,322759600938.4416,568119.3544832297,618003.2869691313,995219783640.3657,997607.0286642761,471646.64627283113,365585776711.2033,604636.8965843908,617618.071645803,987433327808.2507,993696.7987310067,,,,,
292204.87051358534,288362136695.2249,536993.6095478464,446495.06928662554,352850293592.3407,594012.0315215347,285687.2960850572,137783715859.11337,371192.2896008393,446066.4307620078,352641103203.7205,593835.9227966261,,,,,
325923.92631703464,201378413301.831,448752.06217000383,641793.393357739,1222192025937.4922,1105527.9399171656,458970.97545238794,356802732981.9747,597329.6685934616,637227.7553775727,1225117374023.5447,1106850.203967793,,,,,
518771.6330748902,756469106135.1388,869752.3245931217,595014.0535739614,570498426867.4109,755313.4626546855,296736.34157098824,177289867303.98175,421058.033178304,591699.8738232091,566846910341.2175,752892.3630514641,,,,,
174760.89732069903,56171613922.73206,237005.5145407635,572369.8750875908,1309207366983.789,1144205.998491438,491720.78715032677,565021383076.6229,751679.042595058,567382.1326982077,1300629045060.9802,1140451.2462446522,,,,,
212635.55096788716,84710562667.48747,291050.7905288826,599206.296925467,732997378478.2747,856152.6607318782,278931.0045780343,116405272450.22217,341182.169009786,591635.9840746577,710739010305.5448,843053.3852049613,,,,,
434768.3438351145,419839656771.1298,647950.3505448005,647667.4405887335,938108139310.7462,968559.8274297495,447719.4552044546,401615311662.443,633731.2613895917,639221.7297826718,916728149411.0486,957459.2155340344,,,,,
249103.26555376302,124789137842.85587,353255.0606047362,462361.17962290795,403857772958.6788,635498.0511053349,268901.51553110604,116138117421.82906,340790.43035541516,446502.9984299056,376587451187.48846,613667.215343535,,,,,
397101.36431238265,322049054368.84906,567493.6602014591,492617.6622755072,401974581982.55774,634014.6543910146,294802.112470318,148549272831.99152,385420.9034704676,491919.2303574651,402695846729.70337,634583.2070971492,,,,,
302631.4110197912,211156526426.07413,459517.71067726443,577105.9700234913,614738089944.3551,784052.3515329541,420996.5143034917,328226793751.17566,572910.8078498569,577482.7245911014,610702542541.5553,781474.5949431468,,,,,
238165.8098801449,119831187334.07416,346166.4156645964,484337.9399017135,401543530932.39624,633674.6254446333,270880.34678747674,110050173096.50682,331738.10920138017,483201.74224554567,400031117828.97687,632480.1323590939,,,,,
507382.2775971701,479461215958.60297,692431.3799638221,694029.7265339104,1197887539558.7441,1094480.4884321804,391672.2762744281,296946929006.81555,544928.3705284719,689861.4550091266,1179788296852.9915,1086180.6004771912,,,,,
404282.2729213927,419938897753.27216,648026.9267193086,669780.4718902096,952757496417.297,976092.9752934896,383843.65044857585,250780768224.43335,500780.15957547014,664571.351446589,934893174714.9357,966898.7406729495,,,,,
324008.2703930207,260619623444.7406,510509.1805685189,627681.1207331378,1553053188990.9521,1246215.5467618562,558874.979231617,631422091206.8192,794620.7216067419,628599.7186335007,1554256276510.9963,1246698.1497182853,,,,,
296813.81629796344,224737659904.38092,474065.0376313159,630553.6658921036,1273382114184.8782,1128442.3397696835,520173.316628418,609690658335.1549,780826.9067694548,614754.887858827,1245817269112.7231,1116161.8471855787,,,,,
307027.88846698054,225359436961.3252,474720.3776554417,550283.2490954687,710576905577.602,842957.238285313,387584.6735277959,260410606629.25763,510304.4254454959,548351.5917518411,697249475022.4496,835014.6555734513,,,,,
331313.51065477356,244901536185.6043,494875.2733624952,652301.1347642913,1385615625308.6177,1177121.7546662781,541084.4641752846,701370027848.1443,837478.3745555131,648739.6842499651,1390171739933.689,1179055.443960838,,,,,
712152.0107710817,2110698713362.8325,1452824.3917840973,814921.142416219,1489513820376.1912,1220456.3983920896,417287.32397249475,294795660255.96515,542950.8819920686,814736.2482999136,1479889842276.4268,1216507.2306716582,,,,,
327094.31564751937,264845594021.9684,514631.51285358384,577358.0314432546,1235245306039.6448,1111415.9014696726,448467.38060056843,412363339714.4386,642155.2302320979,574105.8409204968,1225094698365.8384,1106839.9605931467,,,,,
277905.5315691252,165462779268.59064,406771.16327069036,536914.6763088505,535815578741.43585,731994.2477516035,359842.7394796178,241437031689.8517,491362.4239701808,538792.8182880062,537084371714.0117,732860.403974735,,,,,
224363.08071959944,101048461329.71487,317881.20631725754,547292.6720873315,892764943669.499,944862.3940392056,362251.17775748635,213323481075.2356,461869.5498463128,545205.795941283,887730705935.2983,942194.6221112167,,,,,
469337.21535384556,481425587583.4217,693848.3894795906,528141.1126285015,411572875571.05524,641539.4575324695,255623.53636456258,119079277445.53279,345078.65399866854,510888.0675187037,378187995025.8269,614969.9139192314,,,,,
359392.8620612873,250998894146.1962,500997.89834508905,639475.4837026923,847525872078.0995,920611.6836528307,367267.73545617476,261226228926.51926,511102.95335335255,635875.2638103667,840412181107.6173,916739.9746425467,,,,,
312263.4496213649,295495605554.0507,543595.0749906135,718385.9546992161,1959856412314.914,1399948.7177446587,524589.0892226178,443800111292.3507,666183.2415276977,705869.9583215342,1935222505631.1414,1391122.7500228516,,,,,
267058.59157920006,126758509103.79527,356031.6125062426,707558.7705259776,2204233094066.216,1484665.9873743374,509682.7733108256,416571545077.73883,645423.5392962816,703712.3507476788,2188770666395.152,1479449.4470562865,,,,,
239055.66948776625,154687294812.4248,393303.05721215135,552368.1993174255,1065797631640.2499,1032374.7534884074,378949.9904499164,247916400747.26633,497912.0411752123,541967.1607564657,1034373888272.1332,1017041.7337907689,,,,,
287400.98341964255,159359276211.14874,399198.29184397665,616076.3681194453,848670557736.3589,921233.17229481,382740.9724001151,242329406026.44202,492269.6476794421,609687.3675793841,840703414643.5292,916898.8028367849,,,,,
298116.670480725,251023650643.3341,501022.60492250655,549645.9524648131,661857872257.9393,813546.4782407575,378075.56520231714,246428789311.17957,496415.94385271263,552376.2164527096,665505084205.6354,815784.9497297896,,,,,
278783.76625970803,215811773828.52707,464555.4582916092,476276.058866794,468069127933.8973,684155.7775345446,317624.00325592957,178764583935.9397,422805.6101046197,477405.74408970674,466948472827.15625,683336.2809240823,,,,,
278664.7128879499,151159052854.33044,388791.78599133296,571154.6494405976,1317654661119.7524,1147891.3977897703,472285.0938481726,391321395286.1831,625556.8681472398,569134.6179201178,1306205566390.8062,1142893.5061460477,,,,,
330854.53263423144,256157029505.9271,506119.5802435696,458101.9709235037,390761837140.37836,625109.4601270872,326183.1253250685,180137270893.34482,424425.81317981216,452409.2883336969,379193931631.85803,615787.245428044,,,,,
315789.0761652971,223298862415.54797,472545.0903517547,600899.5786355966,1073286912951.6512,1035995.6143496223,431746.6825528006,306927576972.225,554010.4484323603,593906.3691871088,1050875036076.2206,1025121.9615617552,,,,,
235999.7042749127,125905405378.253,354831.5168897106,521193.4447176311,1085770436216.1483,1042003.0883908878,451423.94570525567,364950357132.7567,604111.2125534145,520016.83806406206,1082818993249.3622,1040585.8894148825,,,,,
305640.2347912178,188509764127.79263,434177.1114738692,630873.4724993443,1545343404530.7175,1243118.4193513978,572933.4842906515,594835813109.644,771255.9971304237,626142.6861249896,1518483923768.4644,1232267.797099504,,,,,
288242.49495356804,168626966094.4,410642.13872226997,630681.0329825943,1276821162201.3655,1129965.1154798388,500145.55817068444,740516361601.0433,860532.6034503535,625059.6862809678,1272606723434.501,1128098.7206067122,,,,,
259972.9958149809,180672226528.3226,425055.5569902864,551915.8879840865,702735612147.9313,838293.2733524296,328083.7584055466,207895123947.19208,455955.1775637514,544202.3788549684,694462961251.1722,833344.4433433106,,,,,
266462.84236592957,148379205587.83163,385200.2149374162,617756.8033365308,687068914033.5576,828896.202207223,385179.287663944,253258407890.5903,503247.8593005541,614692.1763320658,684369072490.7172,827266.0228068824,,,,,
269954.11159989075,131091030809.05992,362064.95385366963,552828.6082799195,877399953630.1714,936696.2974359252,318567.4266106918,183769086508.97757,428682.9673651352,556763.9268143066,881815558199.5681,939050.3491291445,,,,,
434213.8102846563,552408986784.1322,743242.2127302325,698905.7841127071,1391654969566.7107,1179684.2668980164,539856.9972481864,711752897873.191,843654.4896301987,699210.9321705054,1388265484256.776,1178246.7841062737,,,,,
432935.08137320733,343690196391.48566,586250.9670708319,580781.567646202,1043469868007.0972,1021503.7288268199,450708.016430925,383798978137.7722,619515.1153424525,579551.8686069075,1043905052099.66,1021716.718126732,,,,,
320890.75253871834,196026310456.5821,442748.5860582528,477155.8636407344,456343261396.69006,675531.8359608895,256012.7872785653,117090026316.57936,342184.19939643523,477653.40521691134,462199335612.62897,679852.4366453568,,,,,
291504.682702138,280107544645.32214,529251.8725950075,485953.26500237285,755641194587.1952,869276.2475687433,389385.35018308414,280132216060.59106,529275.1799022802,483693.3130882714,743093084009.4165,862028.4705329728,,,,,
315718.6696714198,218686584090.55896,467639.373973748,447645.83738302195,445763536385.9801,667655.2526461394,288521.48849260074,142886509314.04755,378003.3191839029,438669.26731327624,425967571882.18134,652661.9123881685,,,,,
265059.46734645026,132304139810.1672,363736.360308077,584210.0003690482,1400258756718.964,1183325.2962389353,471762.90536234603,362041259885.10547,601698.6454074045,583066.40185781,1408578495051.0369,1186835.4962045231,,,,,
346495.91144835256,237774921995.65808,487621.6996767659,650947.4743847935,1383351466361.9348,1176159.6262250864,540623.375723246,656326580756.042,810139.8525909227,661410.6691304613,1399216827665.7715,1182884.959607557,,,,,
360234.61460630386,253317305968.33627,503306.37386023265,704276.3421914191,1443642802526.6064,1201516.875672833,466862.02668070456,345468589786.0543,587765.7609848113,697507.8192541755,1423504528548.4126,1193107.0901425458,,,,,
311506.96963995753,301661193065.42053,549236.9188842103,540614.830005394,774158786668.5236,879862.9362966277,406702.6971664574,305470996113.54645,552694.306206918,532307.532478577,761264254653.9678,872504.5871821922,,,,,
282042.84528798104,176554399917.1948,420183.7692215096,499565.63673526386,748301993143.1156,865044.5035621668,380687.17259495676,260021302073.61398,509922.83933318185,495924.5796206838,711402436851.0428,843446.7599386715,,,,,
400352.63766268553,320698162190.3581,566302.182752599,560502.9511588227,563042213502.7424,750361.3886006812,296230.3947538481,173046844637.17142,415988.9958125953,547475.0589220896,539222425003.11475,734317.659465653,,,,,
364469.8798486942,232607228819.264,482293.7163381501,623246.6037749567,1543567262439.8682,1242403.8242213633,369641.81004248763,217160346864.82446,466004.66399471206,620233.9885255207,1503765715873.9285,1226281.254800027,,,,,
