source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
340531.0237580719,198770810905.71835,445837.20224507776,553685.8037720984,584933832160.0355,764809.670545578,593223.0211057465,599302929478.7538,774146.5813906005,44078419.747285224,
328614.4797904239,195422109374.31757,442065.72969900933,525139.0075637609,508744112826.938,713263.0039662354,649827.851722751,746263450806.2872,863865.412437775,38031923.961247765,
410868.5448853567,302113025048.44507,549648.0920083732,648980.6471939406,1459913416161.6094,1208268.768180991,794014.8198338626,1612836116935.577,1269974.8489381894,63589816.9912175,
242403.35132362388,103894317602.39326,322326.4146829938,739147.2133938968,2316693677157.433,1522068.8805561438,820678.857593536,2460643201564.3667,1568643.745904202,74362574.63389307,
234234.59708248047,90122138978.75659,300203.49594692694,593637.4384091396,1058651445802.9714,1028907.889853592,619402.02699088,1017123000270.9733,1008525.1609508676,52310506.918081425,
312420.11545637785,220205586427.4965,469260.6806749277,705772.6512580212,2630693031232.351,1621941.1306309334,800227.158575803,2779704427861.4717,1667244.5615030422,77290623.50038418,
340737.44300533645,202990041158.12897,450544.16116306395,849663.7136337395,2885264241331.531,1698606.558721451,1603849.5548956252,5858549907887.554,2420444.155085499,78077629.84811744,
263149.99451221526,115611566165.58737,340017.00864160806,565538.4723071465,1450789495089.723,1204487.2332614085,676599.5726709854,1681463156639.4106,1296712.4417693426,48889662.67705046,
268577.9538958603,150888467173.53308,388443.6473589613,486002.5664806151,584263129405.7421,764371.0678758989,604722.5786158876,750417522110.6335,866266.426747934,41523876.75881994,
256107.63415707077,141632673845.11514,376341.1668222268,449442.0231865375,723576639510.7671,850633.0815990918,471035.0223833853,721783715588.2401,849578.5517468294,40896052.240856566,
329811.7884293499,198054723750.29834,445033.3962190909,668385.9695091422,1833593663426.383,1354102.530618115,691114.8126594429,1967467069632.8281,1402664.2754532632,64094754.731845915,
296588.3364959547,170920754632.27673,413425.6337387375,555599.6491373294,590763767049.5336,768611.583993849,773698.5230926445,1024001578465.9159,1011929.6311828782,45957904.96813421,
326130.84413351066,219310741406.90573,468306.24745662505,716617.9799571671,1273192009249.5222,1128358.1032852656,802785.974401372,1316840635901.4187,1147536.768866871,65412916.30095964,
389951.277583463,298718415766.503,546551.38437891,665873.1802290948,913681634867.2117,955866.9545847956,903296.9102071046,1621127613591.7056,1273235.0975337217,56667146.076509826,
408923.30328822107,386192744208.3352,621444.079711389,741570.4430188504,1200808468637.5657,1095814.0666361086,923088.2707864486,1592051732831.7173,1261765.3239932207,67139674.95463651,
284983.878359088,188507297235.69168,434174.2705823224,652992.6828890484,1839372969428.7866,1356234.8503960464,802398.6086563165,2170828340347.344,1473373.1164736731,71286151.37465583,
