source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
282273.5775152179,136201442815.85432,369054.7964948489,612060.3851705869,961456770718.1238,980539.0204974628,578645.5742186941,933389829675.7917,966121.0222719469,56182342.2304372,
346312.0160117897,219086382591.39813,468066.6433227197,661982.8266223028,757863132057.7909,870553.3481974502,624787.8759489037,690434455733.5817,830923.8567604023,59031341.64520971,
281973.33887847525,155690275362.6702,394576.07043847727,697380.3338740723,903425385817.7086,950486.9203822368,604078.9735029744,654498765355.066,809010.9797493889,60157708.18648522,
321984.8397250625,166941053004.21927,408584.20552466204,872079.8080392047,2232492699174.5845,1494152.836618324,807716.0690824528,2069979075632.6016,1438742.1852550935,78412661.96583691,
254546.35234945995,120122571465.07799,346587.0330307786,696887.6789858267,1217777910641.9663,1103529.7506827654,633013.1982772953,1074847153946.9496,1036748.3561341921,60930474.58198921,
361935.6992300814,262586120795.93463,512431.576696767,583796.7759044437,756729786734.9531,869902.1707841366,536008.6880624527,698728757098.7151,835899.9683566899,53028298.970882155,
385447.0880400016,287672631178.06213,536351.2199837548,911070.2603982985,1245084716199.5276,1115833.6418120435,799451.7844127411,944865288446.0574,972041.8141448738,79137691.4760125,
298417.3145911951,159118359156.55865,398896.42660289485,742541.1585961351,1198964758031.3564,1094972.491906238,685054.7458923619,1073357538805.1555,1036029.6997698259,67884271.35643761,
577330.9701088816,610312062204.4651,781224.7194018281,1896971.5400801087,6413325204295.264,2532454.383457926,1493463.9991533374,3591509527275.9727,1895127.839296329,182728791.87098542,
427364.5795045196,410622419358.2182,640798.2672871535,942509.2945312896,2189153161745.3657,1479578.7108989388,868129.8368337037,1994463283113.2893,1412254.6806837956,86393507.72298113,
541593.638557587,642559695138.0774,801598.2130332361,954425.4235734835,1613343468677.4976,1270174.5819679662,799756.6124741143,1229416504642.4548,1108790.5594125767,87269967.61352628,
395189.83673682786,256288951062.1767,506249.88993794034,802433.647004598,1984569784439.6035,1408747.5942977164,724606.9750057957,1777415028243.0505,1333197.2953179325,78797584.81595758,
331258.36763428693,213479973057.12527,462038.9302397854,812617.9137057071,1192564648933.4417,1092046.0837040907,691568.4233670457,907426096355.7623,952589.1540195922,74392090.35648227,
