source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
289806.0711371812,178936815984.48615,423009.238651458,547977.0575653748,967502261035.8955,983616.9279937671,547896.2007138752,977998303686.9414,988937.9675626482,53324114.61607013,
281766.09234993445,142885647887.37402,378002.179738919,531910.4723088793,583545590118.9711,763901.5578718053,537879.979920353,590184663397.4901,768234.7710156642,41957003.54585132,
259552.7760063582,152281624720.21048,390232.7827338581,495869.47170032957,415346401822.91455,644473.7402120543,482330.3369638894,404484076099.4856,635990.6257952908,34382465.89177821,
315780.92770357255,181589463820.07352,426133.15268830414,683742.2990639482,1644811451526.738,1282502.0278840647,687281.9401845271,1649656173697.2737,1284389.416686884,51556168.61662501,
243571.6257558128,123833108782.75316,351899.28784064506,567500.3016374906,912055322363.433,955015.8754509963,566415.0093386038,907621198500.1318,952691.5547542823,44645491.83758964,
296171.7168048526,175716992056.91763,419186.1067078889,528143.5138825376,644037754008.261,802519.6284255363,535228.9650904399,660737197940.1542,812857.4278064722,49517467.33391583,
377895.44689345494,352376635512.77576,593613.2036206537,567129.9124921203,589158767437.9712,767566.7836989634,566145.4164464447,587287149823.9165,766346.6251141949,41523802.71133807,
264780.960077266,133893034668.38663,365913.97167693207,546845.599572672,698364461370.003,835682.0336527543,544576.5957004506,695592189564.5332,834021.696099408,44781279.70213131,
320785.1011118629,217028459102.38144,465863.13344412803,668507.672876099,917607874868.1395,957918.5116011379,642082.3823396182,885390446985.7197,940951.8834593615,57230503.24297384,
261067.8850230936,118630033931.17387,344427.10975063196,673643.9368548081,1325500995077.6377,1151304.041110617,678607.6620875784,1328916045722.2283,1152786.2098941973,65103058.47488669,
350790.155525813,303612076308.7061,551010.0510051574,565163.5406887658,689804650679.062,830544.7914947525,548825.2756458408,664489763931.1617,815162.4156762637,50573016.47866369,
334596.392563208,225475203147.87488,474842.2929224764,641377.3783141881,1458758311229.419,1207790.6735976308,639336.1250438602,1454508595908.6616,1206030.0974306825,56628863.38593329,
328136.57974872604,195324985881.01376,441955.8641776504,514941.8113656523,737987864073.3636,859062.200351851,510988.2207656292,728621512814.4001,853593.2947337392,31918494.0055334,
291020.0368112503,180011527344.478,424277.6536001843,574561.7777619073,498406434517.36084,705979.0609624062,568142.1900906686,490501560100.3025,700358.1655840835,43947923.328010134,
415438.9907338402,345957454712.58954,588181.4811030602,721237.6924483356,3502644334513.091,1871535.2880758329,720731.3444880672,3520634240729.9873,1876335.3220386775,72840261.92229618,
315838.0675042875,206799361807.73346,454751.9783439468,456476.255263212,360533950967.7903,600444.7942715386,460381.32112569833,364762184922.1945,603955.4494515258,37032504.795471005,
290164.278151988,150417976346.19992,387837.56438256457,563852.476482623,569624904344.4158,754734.989479364,558393.5496538315,559223214520.6003,747812.2856175875,42053267.267937034,
273689.46094601194,213001124238.361,461520.448342607,569449.4788911093,788807523028.9077,888148.3676891534,560540.4347687135,772983770959.1475,879194.9561724905,40159015.74960675,
363889.10547710944,415472245829.1511,644571.3659705581,567157.9310340803,460905263713.17596,678900.0395589736,568433.7602570174,465465439277.28406,682250.2761284044,49005200.02521195,
302499.9681643747,237215406256.16147,487047.64269644243,556192.533388385,750409539301.2688,866261.8191408812,541004.7413995309,708332885722.0813,841625.1456094224,54160757.41327459,
331661.63916234876,196797982357.96286,443619.18619234994,562707.5149672762,747795880422.6055,864751.9184266697,562979.5982428142,748259647009.1881,865020.0269411039,44158975.45051954,
368322.25076147827,275821858991.47424,525187.4512890367,614880.9993208011,978389037585.4653,989135.5001138445,620659.7645158763,987329184648.6854,993644.395469871,51402725.463530965,
483078.1443852252,491845427604.4254,701316.9237972412,793984.4116089047,1741534695144.8538,1319672.1923056701,784746.3519646135,1731730186862.691,1315952.197787857,55410696.07867555,
281770.120270704,183194445592.26028,428012.20262074337,606078.3233077987,861566020202.7026,928205.807029186,605833.4299461073,852220737196.5898,923158.0239572149,45021485.48122976,
298763.0930600801,174553169475.35455,417795.6072954269,665056.1221777746,1319858971018.7578,1148851.152681999,656438.945647831,1310602192384.1995,1144815.3529649223,49269192.99624202,
349465.69177594385,296069740794.44495,544122.9096393985,656781.6662209589,1001687134777.3689,1000843.2118855425,649086.7649095778,977229297054.7015,988549.0868210347,50791518.08233625,
419340.81886244204,381079161844.61633,617316.0955658101,585338.3296211187,493602978037.41046,702568.842205097,567723.3916627548,471846922664.0033,686911.1461200811,49302756.88110993,
348397.5981283801,205712292920.32077,453555.17075690004,663548.4732753051,894212790610.0051,945628.2518040612,654270.8180024968,877085932072.9799,936528.6605721044,61188433.064812,
219323.46939924223,88766680854.488,297937.3774041921,574348.8089459444,637692597072.7075,798556.570990877,566464.196317083,627152164702.3359,791929.3937607922,43498871.24557315,
296391.4669213878,181404878433.0867,425916.5158022012,527586.4557922747,525307916635.6502,724781.2888283266,533339.2319968536,531352964225.73596,728939.6163097023,42845837.48470373,
323695.4132442663,193187856971.5013,439531.40612645797,551730.8958793875,430209828748.7304,655903.8258378514,556341.9240880713,433833477138.1892,658660.3655437218,44531902.6815892,
307402.9754977651,171892583339.79318,414599.30455777806,692918.5906283571,1507189861755.335,1227676.6112276209,694173.9491721439,1513709320765.5894,1230328.9481945832,61549106.94799211,
