source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
252311.32846243947,121174331695.7209,348101.03661971603,703682.4576384862,1081813371410.0161,1040102.5773499536,761944.325809714,1459179583655.959,1207965.0589549183,65416368.0568383,
282150.15035973146,156826849662.47186,396013.6988318357,782235.2092528433,1420788786116.4902,1191968.450134688,889296.4246641085,1733034815936.7024,1316447.8022074034,63374074.51110238,
384612.85659992474,322097456533.4234,567536.3041545654,942095.8756578324,1411837631929.7935,1188207.7393830565,1057534.1776558494,1585018545777.8416,1258975.19664918,88128803.96409005,
245075.48898084665,105033855330.62169,324089.2706194108,868685.3223185854,2080968308292.5393,1442556.1716247099,924278.547399132,2493680934343.0737,1579139.3017536716,79260336.52953677,
371079.7565787508,297405356523.18616,545348.8392975511,903358.341630419,1449431648902.4846,1203923.4398010883,794514.767785176,1166073759234.7883,1079848.952045974,86694728.51043352,
348340.34897479904,243383854255.38138,493339.49188705883,746746.996099634,1096177883035.5142,1046985.1398350954,755497.1811882986,1162801378598.6096,1078332.6845638175,70457288.93125163,
339952.12943919864,217838773870.51132,466732.0150477266,824050.346015682,1084408375354.4767,1041349.3051586853,824428.4653336423,1166850760217.2178,1080208.665127816,78008215.89034116,
338079.2320408646,201709112878.7752,449120.37682427105,679211.8975584487,811912131669.53,901061.6691822653,724050.652641191,980407194331.2451,990155.1364969255,61848688.15609966,
349665.83644281863,232381146514.6912,482059.276971921,714190.0886403127,1022333187018.2047,1011104.9337325008,741353.6332134363,1151767196359.9204,1073204.1727275944,63614637.76385769,
268104.3525406362,127428093501.39328,356970.7179887354,793352.0215617287,1940071905058.2358,1392864.6398908386,890117.7630300309,2365019864990.622,1537862.10857496,76396347.23996721,
299910.1893193793,160079605008.2552,400099.49388652714,763884.9452363636,1056490428258.7837,1027857.2022702296,683889.7568153392,935406809306.8488,967164.313499443,73379547.59397686,
