source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
242559.96983096426,114825958858.65025,338859.7923310617,721235.5380834847,1065709888332.202,1032332.2567527385,175726.7519011158,60657744242.87337,246287.92955172076,545454.9254194826,1057190826133.7527,1028197.8535932434,,,,,
270054.4774438499,144591146476.51758,380251.4253444917,799309.9712018603,1442912567978.33,1201212.9569640555,455563.4064452656,499033545147.9897,706423.0638562063,637193.9517558996,1204574688036.6377,1097531.1786170986,,,,,
375182.18244694656,316341209477.32404,562442.1832307068,889640.8988847308,1332373977366.0615,1154285.0503086583,237341.70990286316,88304676024.16153,297161.02709501045,502963.609031684,467885609690.57446,684021.644168205,,,,,
253182.60151579703,110506561126.49849,332425.27149195276,909308.8305316354,2230856190222.5034,1493605.0984857087,504970.1899974173,540192770784.82654,734978.075036818,612752.0731920633,1912955556423.0605,1383096.3655591973,,,,,
332810.6390247049,241048276941.15656,490966.67599864304,938210.5856070998,1559890639777.6584,1248955.8197861358,304625.80539722444,188216614668.88934,433839.3881021977,530669.4842711005,792062166674.3086,889978.7450688407,,,,,
343073.7346284449,222385574215.48828,471577.7499156298,695297.9175276377,1021736807158.0278,1010809.975790716,289460.7892298459,249129762547.67203,499129.0039134893,529066.129692012,822601126960.7186,906973.6087454357,,,,,
343247.35437066335,223714595131.65952,472984.7726213387,752251.156781818,1024248713739.2355,1012051.7347147998,197178.04961847744,68233835567.127235,261216.07065249112,458610.35727602505,488168374183.3353,698690.4709406986,,,,,
344758.7053280144,207523623412.44275,455547.60828308907,667282.6956805264,779225069074.5342,882737.2593668709,227381.6043340644,115516449769.75793,339877.1098055265,558187.3313853777,798172307502.5322,893404.8956114647,,,,,
333725.47386183497,199593458270.49902,446758.83681299357,766348.26860514,1124389021082.2573,1060372.114440142,215617.67090173304,85387653682.24152,292211.65904570185,491440.92062000104,605127716177.677,777899.5540413151,,,,,
263312.6492156465,127034831213.983,356419.4596454899,805935.1838934937,1997070591279.325,1413177.4804600182,454184.85297617374,637641232406.8655,798524.4093995283,557660.3460836414,1737969793332.8289,1318320.8233707107,,,,,
289717.3209955589,150849877449.28665,388393.97195281833,737421.5700200555,966956630707.2711,983339.5297186375,213972.38857152994,84102849754.04811,290004.9133274264,522406.4969528076,509484710384.7827,713781.9767861771,,,,,
323550.568923894,170562554045.49844,412992.1961072611,610749.0047690676,588991829288.292,767458.0309621445,243111.7880195953,97542978975.35988,312318.7137770644,488601.7619744017,480249638148.1543,693000.4604242007,,,,,
315949.67523275805,175440103836.968,418855.70765714534,912343.7378216817,1872773162122.6729,1368493.025967861,362610.3079676325,237785366605.947,487632.4093063821,602286.4021051319,1270868360654.5334,1127327.9738632115,,,,,
335031.9338085666,207880111308.93356,455938.71442216175,675059.1029017621,948277022708.8225,973795.1646567272,269779.421906409,151911198060.5347,389757.87106937903,430725.8574469222,500502736077.0945,707462.1799623598,,,,,
319366.36116279394,179664569689.59445,423868.5759638174,749524.8014367517,901514765477.427,949481.3139169338,321203.61315465486,202605889534.69562,450117.639661784,492471.00340854697,433001986714.44745,658028.8646514281,,,,,
310482.1239469039,180210229494.47858,424511.75424772233,728608.705820702,1298226225148.751,1139397.307855671,469841.96854657965,527878823795.7291,726552.6985675087,613830.0817077322,1181617245990.2505,1087022.1920412898,,,,,
244084.01175849373,100870003640.83932,317600.3835653215,788119.9158247848,1284196470285.595,1133223.9276884312,314273.02228850726,165107430381.61472,406334.136372536,541566.0304191452,1048872416160.3337,1024144.7242261876,,,,,
315690.2429707184,174973129150.58353,418297.89522609784,979252.5167017607,2228533621976.4805,1492827.3918897926,361350.10687549366,273230202818.2185,522714.26498443534,676805.9370213224,1417233465322.3103,1190476.1506734649,,,,,
285856.64755919325,142595541664.40262,377618.2485849997,804626.1206928805,2335702065566.156,1528300.3845992305,260580.57668151398,161111796067.00015,401387.33919619356,527455.5257192169,1449158920291.4897,1203810.1678800897,,,,,
291716.58237805474,151047357274.90265,388648.1149766491,929991.8599083505,2774392667557.6523,1665650.824019744,350187.0586789198,275155779228.3437,524552.9327230415,776619.9928941929,2344538596722.5645,1531188.622189495,,,,,
327601.46280239575,251996787365.49188,501992.816049684,868354.0728956951,2157800556840.0662,1468945.3893321108,373713.9297781816,328833392099.68445,573439.9638145954,712982.6979309192,1799407390366.089,1341419.9157482674,,,,,
521878.6356638163,847436741628.688,920563.2741037891,1157963.7312136104,2523536594550.378,1588564.3186696528,338530.4266389018,202713979828.174,450237.6925893411,907218.7306382394,1876763234270.3984,1369950.0845908213,,,,,
369894.9803638581,248883687400.73486,498882.4384569323,1008379.6585664382,2063124896846.4993,1436358.206314323,213254.3594105054,77274108601.59065,277982.2091458204,518786.08548978396,698790267637.6846,835936.7605493161,,,,,
335871.7206890456,306734712233.4535,553836.3587138836,765788.604128397,1249193621679.9968,1117673.307223536,353824.1545212966,293543432467.4623,541796.486208117,587445.799150533,1163010742994.4165,1078429.758025258,,,,,
275497.59593914024,139526598971.99936,373532.59425651113,906204.2442511957,2381052731537.355,1543066.016584305,334916.2796726434,225376422986.99988,474738.2678771534,698758.5908563302,2033552267758.1687,1426026.7415999493,,,,,
398023.34561188513,333207283756.34467,577241.0967319849,757122.0163847469,1284551469228.1326,1133380.5491661362,380385.9946865119,290700648067.52936,539166.6236587066,628547.522979844,1077909841172.1272,1038224.3693788579,,,,,
