source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
486303.14972990204,492393853180.1889,701707.8118278212,620907.420473324,941177625912.6484,970143.0955857226,929569.3418532696,1565814177993.009,1251324.9689800844,58295566.91248739,
513806.9504903592,610423836727.5905,781296.254136413,782120.0778718138,1810442165413.0862,1345526.7241541827,1035427.5230563468,2796524111268.2334,1672281.110121212,76171782.19788846,
275871.46545292746,136983012591.18541,370112.1621767993,620163.3769934722,837503611211.1725,915152.2338994603,764314.7976473244,1190321173588.4546,1091018.411205079,48306117.368859306,
321891.9924588459,201138799389.09192,448485.00464239815,619634.0765234701,1145373459486.2266,1070221.2198822384,893471.0651829313,1798873090382.4255,1341220.7463286666,53890845.89236247,
425842.7452464912,360613058808.6205,600510.6650248774,688165.9882767274,776899275021.1193,881418.8987201938,1066818.6134560606,2120930460561.2056,1456341.4642731305,63482098.7357772,
484551.4778917982,599374289772.3798,774192.6696710449,802671.6243999706,981017657547.4521,990463.3549745554,1095314.8816623641,1811429043813.7693,1345893.3998700527,70977122.59951316,
487224.1292444494,426923460985.34454,653393.802377513,605272.113773039,519910033893.58624,721047.8721233329,938682.1713928658,1490940555788.923,1221040.7674557485,51787624.307178006,
422689.2379174045,354133795507.8415,595091.4177736405,621164.6134001086,1191604486022.5154,1091606.3787018266,880597.871208748,1669039436402.7207,1291913.0916600856,60082537.44544877,
544665.375151354,779056492964.1265,882641.7693289426,693069.3227033939,732667627457.7389,855960.0618356786,992703.7253856842,1552405324982.701,1245955.5870827422,55417989.4332353,
433156.76208910794,328933730622.11487,573527.4453956976,661936.0653520752,830082667862.7933,911088.7266687001,1117708.7337878773,2338402608698.6597,1529183.6412604798,60696317.9124437,
451456.39044655015,454533838730.0255,674191.2478889247,798350.1290078451,1700285528740.0222,1303949.9717167153,1299064.8798178737,2992457743342.334,1729872.175434455,62226412.148303255,
315362.49832783104,161096998436.7862,401368.9056675743,496415.7794202111,385669154060.6925,621022.6679121242,557791.8314459395,491603378710.4727,701144.3351482437,42112757.89133749,
266124.234296871,124953311303.34764,353487.356638604,578951.1837054633,724528842270.3043,851192.5999856344,659410.4391900764,899721874537.0653,948536.7017343426,46363976.756674655,
307160.2801557165,173578968818.14713,416628.09412970114,499232.6452474298,557964366178.21,746970.1240198365,629138.6262313811,881420203743.4481,938839.8179367171,39562084.487907544,
300184.93488942273,146802676558.0172,383148.37407721987,558748.3492536349,740914583054.433,860763.9531569808,667786.6712058161,991287180737.2064,995634.0596510379,51262335.30009625,
269456.67266433855,144220730365.97375,379764.0456467328,564690.7668525153,760901565728.105,872296.7188566658,816075.340282914,1286936996111.8416,1134432.4555088512,43612467.04077689,
502224.55757822545,672000931068.6538,819756.6291703007,677752.7619773457,722226639553.532,849839.1845246558,1108816.2573683285,2022955054936.29,1422306.2451301725,62528730.70880534,
429928.9328083384,456179691669.2385,675410.7577387545,791026.0179703655,1930798945391.3906,1389531.9159311852,1078676.9915551795,2783785786612.98,1668468.0957731795,78406255.38910861,
255306.94483840294,102394178998.55858,319990.9045559867,610041.3836874667,1099373007930.0587,1048509.8988231149,685349.3591839831,1241266461257.4443,1114121.3853335031,59054938.0297422,
376073.3335523226,298788407688.3588,546615.411133238,645587.3778344985,956048485175.2612,977777.3188079488,839826.222449201,1418473785969.3235,1190996.9714358319,60051713.18214399,
330214.81162077346,201103249785.51315,448445.3699008533,602730.9199753426,657841104915.762,811074.0440402232,1064072.9006382443,1855990680405.5813,1362347.488860893,53064565.320709474,
404605.0588264005,307427070386.2992,554461.063002894,745008.1851970942,1489597157831.04,1220490.5398367657,1034427.639620597,2407377775633.0293,1551572.678166585,63512208.98079614,
435288.5510284518,294621487275.744,542790.463508474,753646.8239546997,1066700126630.2052,1032811.7575968067,1128030.2872786936,2758964310359.669,1661013.0373840143,64480146.92612663,
350244.783015973,219529748303.172,468540.0178247019,570790.7126314606,427496394558.83563,653832.0843755188,773269.0518022382,1080494112622.6759,1039468.1874029026,51175354.911443986,
404271.12083521934,329678885438.5052,574176.7022777093,540044.9794161265,661111796446.2894,813087.8159499683,707288.0461464126,1108514002141.651,1052859.9157255683,41999380.13896274,
265876.1238478592,130296208266.33206,360965.6607855269,627977.066987169,1056352731262.4816,1027790.2175358946,880074.3340655708,1637067949439.7961,1279479.5619468864,59712819.56054184,
352912.25673537835,251609474129.07623,501606.8920270895,663882.9728258991,1449155714060.1882,1203808.8361779824,954713.2570794416,2318504977889.0273,1522663.7770332056,56263324.837506466,
350758.31927071523,286754378470.4327,535494.517684759,687444.4176812758,1051820533440.7373,1025583.021232673,828710.4393590847,1481876384550.5398,1217323.4510805006,56315991.47448484,
277377.5169557117,133476892462.55704,365344.8952189657,567302.3212611936,864956809357.7288,930030.5421639275,687519.4664669621,1094058582767.7946,1045972.5535442097,42876479.379631944,
525172.4141649089,610678726031.4758,781459.3566088232,732874.5727865384,1079608251425.7894,1039041.9873257237,1146632.7024113473,2350200549665.0225,1533036.382368345,56451590.04801767,
403870.7693186581,275207610104.5378,524602.3352069049,571619.5473382184,706281992874.8335,840405.8500955557,790470.9343186065,1281318859615.1902,1131953.558948065,44434361.64907556,
394691.6414822454,278239356812.44666,527483.9872569088,606512.0516690909,768321011167.0715,876539.2239752146,789215.542689864,1143813449094.7073,1069492.145410478,49030673.276100695,
364032.9763945834,241748068221.98856,491678.8262900779,658961.5922972271,840694704729.6589,916894.0531651729,1109935.1663726948,1970196813096.581,1403636.9947734282,54042289.16910909,
422571.8125328094,500212747705.9635,707257.2005331324,528160.2197158482,701815515674.5244,837744.3020841887,748519.1019916594,1014382156485.7208,1007165.4067161564,43638521.846899256,
259518.26421327205,119076088135.21333,345074.03283239575,597507.0789471442,700426142781.3262,836914.656808761,873437.8406312343,1434290296196.3848,1197618.5937920238,48815225.14574066,
323667.31534930243,176275261838.2703,419851.4759272263,576843.7178158998,809605249591.8525,899780.6674917241,810359.8980414467,1269452910506.2905,1126700.0091001554,47361931.60036,
313502.8411035632,182333492052.99707,427005.2599828216,551465.7474751977,707319127324.4331,841022.6675449557,943232.031607451,1757249593586.9421,1325612.9124246421,44478827.237944394,
286791.4917200729,138590124161.76004,372276.9455147069,578707.0448639551,707308078838.6466,841016.0990365443,651622.4084513495,880251012251.0374,938216.932404781,46246329.9726045,
422424.97848468996,430866783207.3229,656404.4357005237,578598.345582757,833163453358.8506,912777.8773386495,816063.5685370016,1465963626818.7458,1210769.8488229485,50469292.070100725,
392363.9394140906,256662988401.79578,506619.17492510664,596685.5579402318,536452141394.9024,732428.9326582494,879284.3047944924,1486793655520.9673,1219341.484376287,54020602.065576605,
378524.0157251823,259135384070.72043,509053.4196631238,719016.6082795066,977925882648.6428,988901.3513230947,1157826.2136665108,2417019972364.814,1554676.8064021582,68868460.79970217,
368787.6731753686,237741418953.91034,487587.34494848235,670450.965369346,884908071890.9187,940695.5256037518,1039447.9929025364,1945901288064.805,1394955.658099857,60379828.72121686,
469381.64290468046,541891828453.2405,736133.0236127438,697053.3599555412,778406934706.7896,882273.7300332531,882935.7546003979,1473129175890.3694,1213725.329673221,62709981.35143333,
417035.5729188811,524787747145.5321,724422.3541177702,907477.9237539262,3811187744375.936,1952226.355824533,1160209.3895446225,4802908357842.818,2191553.8683415516,81667164.7236645,
270981.90734331124,118795338498.0488,344666.9965315055,611524.8552013483,1112602018120.3154,1054799.5156048923,745998.9214456766,1578052692485.6975,1256205.6728440998,56641719.890133865,
447453.412770862,350566749200.2521,592086.7750594098,704940.1010572646,1236483307314.9463,1111972.7097887548,937877.5621600098,1965790796219.8047,1402066.6161847678,63147800.50667558,
476792.33421381435,633491990245.8425,795922.1006140253,623410.1029434185,644121745531.6436,802571.9566067852,1101210.9080360173,2023057714176.309,1422342.3336793112,54048755.84020118,
364630.75369236065,238631404029.13593,488499.1341129848,592272.1783278296,521555516755.2171,722188.0065157667,1004957.6367083988,1558981548522.2654,1248591.8262275567,51858816.1062457,
356408.6849791088,212213065511.74765,460665.89358421974,683516.9163912525,915027741733.7606,956570.8242120709,872700.1924033584,1408993114185.8562,1187010.157574844,59009011.75121554,
317188.2584916,186993189028.4518,432427.09099737473,618628.5610686422,681710174105.3564,825657.4193364682,854026.8617324743,1383990096176.5613,1176431.0843294482,55703773.58351555,
438163.65550326754,410816147470.71985,640949.4110073898,628048.9830823654,750434156025.6279,866276.0276180034,960401.4152866943,1630132050822.2732,1276766.2475262545,49991602.19811338,
