source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
490873.295855999,504321757060.02374,710156.1497727269,900999.985490839,1520099465683.565,1232923.1385952511,184077.4226288446,65772861201.47701,256462.20228617903,637004.7780543801,1014843479883.7053,1007394.4013561448,88720527.24157217,0.34324638515472244,0.27948109909062313,1.0,0.2753713098268226
483404.546854987,595975835593.1309,771994.7121536072,1060388.8735352443,2672235545230.1816,1634697.3864389034,265902.64403524506,149724833055.57843,386942.93255669944,758218.1210544491,1693427930757.7678,1301317.767018405,105327390.47296205,0.33074626864730405,0.28877616088930647,1.0,0.1971689562797
266533.1297320782,127981071007.88646,357744.4213511742,728353.5536438301,1066081703784.3816,1032512.3262142596,359978.41995721235,236268545776.85654,486074.6298428427,601135.1941991863,828670881029.1692,910313.6168536474,60470833.616242565,0.36800423159672474,0.2625250340028206,1.0,0.212722050449549
324924.7390703414,208363658871.8008,456468.6833418047,927650.424816166,1813399315591.5168,1346625.1577894706,345101.2463585197,212357170104.04697,460822.27605015686,624208.8381985304,1152911699343.1436,1073737.2580585734,85409149.01813725,0.3892005926399639,0.24806807587062188,1.0,0.2771141336185729
423604.046659861,377994110540.7171,614812.2563357997,1171989.9789641108,2267399583134.4126,1505788.691395447,276068.2058442144,154272946825.89673,392775.9499077009,632279.3913888222,664356205477.81,815080.4901835218,109292286.99575524,0.35371638696284197,0.27400959849820994,1.0,0.23444711521122666
506425.3445270248,673090421369.8191,820420.8806276319,1083098.1147558896,1708581112496.939,1307127.0452779022,373554.7702997361,265858503482.9741,515614.68509243807,769449.4445299747,898076842900.6752,947669.1632108091,96365425.47485916,0.3966363798924726,0.24278149891166875,1.0,0.26420204578219847
471416.51393411716,408981647102.87714,639516.7293377689,913247.9626579642,1443256666916.6396,1201356.1782072124,266480.36316218873,130987706098.2126,361922.2376398176,613787.53435167,492957145004.6107,702109.0691656182,85789656.61163048,0.3816929237926723,0.2513846419864109,1.0,0.3253852480146376
414572.05303507944,349753553900.42456,591399.6566624169,971855.9097098163,1963994852006.061,1401426.006611145,407924.32443059335,321736969072.42865,567218.6254632588,648871.6540674362,1272774565926.3196,1128173.1099110276,92350742.5073334,0.3438198393353688,0.28041458144948,1.0,0.3037729951903239
559141.4126736763,759554434633.0054,871524.2019777795,1006209.7633779584,1574013850315.0212,1254597.0868430315,344947.8415650074,212237940517.38824,460692.89175912866,668115.1585186308,708448307407.9595,841693.7135371509,85788233.58429101,0.3898788053677416,0.25177178750353646,1.0,0.2796424383479305
430768.60279105563,338635545029.9822,581924.0027958824,1070336.1785891373,2206850070644.614,1485547.061066937,272056.3635207861,141262113327.60843,375848.5244451658,653730.4927796456,774814914826.8992,880235.7154915376,102204350.10916826,0.37438269140975733,0.26115512654056305,1.0,0.28520333073712134
428505.1800145016,433960761669.7218,658756.9822550056,1371137.2492644617,3018362068879.095,1737343.3940586112,429520.7940784855,677276911686.0044,822968.3540003251,801484.3047647837,1786017196057.1191,1336419.543428305,118684661.90939832,0.35766778411280603,0.27035801232044027,1.0,0.23816474968386497
302318.6651504591,149287902619.214,386377.9271894475,582168.3653156261,515057938443.57776,717675.3712115093,258066.6911273448,135371932677.27478,367929.2495538711,534809.0332460296,435161268100.2597,659667.5436159185,47860980.15314722,0.3743008466197367,0.26138049172214306,1.0,0.23990135318218164
265260.0855718776,124605218850.04193,352994.64422288607,712574.0386238471,979298487681.8168,989595.1130042109,327928.57309337973,234806137086.73923,484567.99015900673,596184.2057218822,775426869050.102,880583.2550361732,62719065.82182139,0.3550354522125306,0.2720364715292854,1.0,0.29108066833568763
309319.0394910205,175204861447.2183,418574.7979121752,655340.3549499789,854217846762.0319,924239.0636421033,269390.59280938725,219532494215.61874,468542.94810147205,523605.00958733616,548065777337.2619,740314.6475231068,57632696.618804716,0.3645470119267375,0.26612031128083563,1.0,0.24060191437391137
299883.9425379276,145000800205.64975,380789.70601324,696394.494012928,1037821406696.0636,1018735.1994979184,347441.641144305,256320529738.59958,506281.07780026656,578113.1348654664,780416469183.1769,883411.8344142651,65264465.47038792,0.36002595295380546,0.26859033694332257,1.0,0.3639100006076674
