source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
337917.0116294799,231929416847.53964,481590.50743088743,586832.9624542498,836744590155.2672,914737.4432892026,569711.7804816974,791044678177.6831,889406.9249661164,53755667.589597814,
251267.2881739607,118593151352.66167,344373.56366693083,537313.5835035176,496066315950.50244,704319.7540538689,550529.5995061568,556926431373.9711,746275.0373514922,42561327.20552057,
262219.89035961265,174305431384.85248,417499.01962142676,578692.8419938576,883238678139.8495,939807.7878693332,575201.2693195809,885970135296.0096,941259.8659753903,33375989.71797807,
282827.5504907282,167764579961.37286,409590.74691864423,466712.7286492926,633755908691.2134,796087.8774929395,463843.60506301717,626521082791.2742,791530.8476561569,40935500.748927355,
253283.08527813654,150864992852.3368,388413.4303192113,609255.0327930442,1232934396366.0972,1110375.7906069895,611383.1259316446,1236223411168.2454,1111855.841001092,58803303.50488672,
245297.5336140369,113518305136.64336,336924.77667373075,500651.6070314853,525594141138.9543,724978.7177144956,506316.80246076273,526979348619.26086,725933.432636396,39927525.89590464,
304324.9143460736,293799003686.3249,542032.2902616826,482520.9547456156,401136999063.96075,633353.770861089,480828.90232865274,398383556306.0959,631176.3274284737,39164505.272924684,
235379.71826233657,123402026857.99615,351286.24632626335,543860.9804484008,887970218200.2015,942321.7169312196,540585.7710842536,869303665399.0764,932364.5560611344,50713062.0391095,
336928.83560883865,277651167921.2901,526926.1503486899,482885.5489499314,403569816498.048,635271.4510333736,480381.4210755807,403826983440.34235,635473.8259286076,37584616.968304,
261553.13952671218,133325142479.88335,365137.1557098556,675482.5693433501,1417866064668.9539,1190741.8127658716,663758.5121499085,1371780739940.2488,1171230.4384450777,62155058.06094029,
197673.7480781963,84574882371.66393,290817.6101470885,646610.7287303369,2376238410049.4,1541505.2416548573,643213.0084077494,2366687668534.377,1538404.2604381908,77569240.6359224,
279041.7696044233,180300594771.11426,424618.1752717543,660477.0786110112,1168863043683.1287,1081139.6966549368,655371.5451970057,1164915067727.1865,1079312.312413412,58408782.07837021,
