source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
257541.61538170296,160358974540.48703,400448.4667725512,478932.014980688,451831312667.4827,672183.9872144253,310953.0350606773,152317811437.31238,390279.1455321593,477145.32896735193,451537586473.75055,671965.4652389144,,,,,
302106.1927454633,234257383844.4864,484001.4295893003,578267.1405130425,662338723989.2002,813841.9527090013,367470.7127730057,236742762273.45618,486562.1874678058,576210.6788042489,662394863525.2152,813876.4424193732,,,,,
285498.08863379306,165321734821.15613,406597.7555535152,521064.91127049533,914157347716.1127,956115.7606253087,447610.38873505796,402307689277.27405,634277.296832603,518808.6547963531,901705521506.9136,949581.7613596596,,,,,
264005.20311840216,139005543408.55484,372834.47186191735,475287.9364097783,374556859620.70917,612010.5061358907,272907.6973066774,161048819231.9218,401308.8825729152,474199.4837529483,378410731536.5217,615150.9827160498,,,,,
315325.0176407207,258419567494.35196,508349.84754040395,523112.1717451682,671416480329.213,819400.0734251938,332544.7423135443,178625473564.01456,422641.06942418,520371.5304400103,655580301294.5591,809679.13477782,,,,,
275541.36887421325,149818239553.6421,387063.6117663892,616346.5328671692,713550697040.6548,844719.3007388045,335018.193589132,184272069312.8588,429269.22707417404,620077.997250705,706986939915.7928,840825.1541883085,,,,,
269487.6959230727,150129085518.69086,387464.94747098204,474839.1222853539,515147213350.6568,717737.5657931364,230139.86537865628,85576045098.4533,292533.83581810375,470612.9228415711,497817267880.66064,705561.6683753878,,,,,
341563.34905889945,237388044563.4548,487224.8398465074,422738.1132309597,334479172635.4027,578341.7438119116,275430.98333588406,136925235900.74532,370034.100997118,423694.63334975793,337166976973.90906,580660.8106062515,,,,,
321800.9515592964,268509568028.98785,518179.0887608143,452874.39065365365,405379610565.9233,636694.2834405876,296797.1174000825,145513813490.44888,381462.7288352676,450211.6935894144,399529199974.8074,632083.2223487722,,,,,
391438.6750581775,439409977490.3793,662880.0626737685,540143.3780476224,445213146961.54266,667242.9444823996,254115.69224761016,126396486470.764,355522.8353717438,536461.6276695636,436188168719.94556,660445.4320532057,,,,,
308089.94636803964,240744250768.4929,490656.95834105206,635025.4210415968,1201082680464.9478,1095939.1773565484,468959.9144428789,366347692517.0884,605266.6292776171,634808.8742747732,1198654246161.4512,1094830.6929208054,,,,,
327926.9837035368,207377460636.93954,455387.1546683542,613626.3591083924,733524469711.0043,856460.4309079342,413482.42351734155,352915953015.65295,594067.2967060659,607118.1793837865,718827122453.3052,847836.7310121125,,,,,
403599.8429959112,402565724957.37933,634480.6734309401,537522.6287790603,428721978785.61865,654768.6452370933,290167.7498682319,148180392505.24448,384942.0638294086,533444.4516918828,423855817470.413,651042.1011504655,,,,,
268377.41003390925,154987903332.35983,393685.0306175736,452351.18295984605,462979251902.43866,680425.7872115362,275942.80902446195,124422002418.16447,352735.03145869204,455154.8683960822,470231502398.8152,685734.2797314534,,,,,
329469.35256463784,221314778020.47482,470441.0462751681,483928.7345627314,381581426645.9265,617722.774912765,285241.9888172379,144477062912.62296,380101.3850443365,478879.9695458345,375132532382.7921,612480.6383738118,,,,,
