source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
276216.8509841189,154678374892.8698,393291.71729502495,725193.5178927295,1068719050601.2946,1033788.6875959199,543128.1989403552,617468985376.3276,785791.947894815,66626175.999645345,36.353942077445446,0.2526361673049207,1.0,0.25351580528536977
378549.7373068548,273637858119.02454,523104.0605071084,633936.6839052701,699409894151.1176,836307.296483247,401789.01783216966,254982261262.1488,504957.68264494085,55317052.58214186,38.27152567551142,0.23908975692057313,1.0,0.24332536331159133
294046.37602498994,162578735483.704,403210.53493640764,769375.5506763441,988481770576.6189,994224.2053866014,522070.9545897676,553099624627.6841,743706.6791603287,71389513.59436569,37.337230953807385,0.24689725071898827,1.0,0.27952284299588137
386211.5791185877,306069254215.15564,553235.261182036,773549.6915672357,1279850654533.311,1131304.845978002,487018.6313238924,601034421269.3694,775264.0977559643,75704383.54326339,34.60084034683893,0.2677984902642922,1.0,0.26115687918077046
329520.3019629342,214790131599.68234,463454.5626053134,807325.9785620058,1095021945174.9901,1046432.9625804942,547176.556984789,516014795127.683,718341.6980293453,71513902.75994295,33.70500301737929,0.2751169681587605,1.0,0.27313500975662
298012.2943736829,144489769187.3722,380118.0989999979,834656.2490820022,1259908574933.2012,1122456.4913319363,454087.1747490605,497164061099.1705,705098.6179955045,76265677.11521177,37.16463877852498,0.2516239781590767,1.0,0.2504373628612319
435805.9732232291,352646894473.643,593840.7989298503,733712.7903771034,769818942133.5635,877393.2653796491,493590.25052245223,309741411649.08594,556544.1686417045,67411983.1954843,39.18363203771135,0.23227466247803055,1.0,0.25716587928484624
548248.9792085948,825287903927.0007,908453.57830051,1078437.7546214475,2016171456174.2021,1419919.5245415152,572077.3017802244,749798623953.0525,865909.1314641811,104497202.24265094,37.43480189313313,0.24658985990248022,1.0,0.3002142331369884
277357.26478952356,140102769394.56598,374303.04486413946,823964.8631678318,1734873135482.3105,1317145.8292392346,517727.5959994537,1231051400323.723,1109527.5572619739,78265356.82068193,35.17320954070234,0.2672845091865703,1.0,0.2773512767887374
245398.72986529584,106089911926.86719,325714.4637974605,744346.0559552092,1043484918404.8678,1021511.0955857836,458465.8571326398,499149071667.14954,706504.8277734198,72958460.9107331,37.098325539127295,0.24644174916116174,1.0,0.278311456203618
369308.54109544033,269098427889.1164,518746.9786795065,768991.2080444443,1095971988433.0284,1046886.807841721,509156.27165092604,654894054151.5337,809255.2466011782,65921144.12547305,35.94134084151512,0.2554827747491253,1.0,0.2717148639069291
369114.6816783883,251235681590.07782,501234.15844301536,764893.9404435643,1414320414994.5166,1189252.0401473006,604379.3365477644,1024035570962.308,1011946.4269230402,75493615.97080125,35.96352505062499,0.2530475204193167,1.0,0.23793554049602741
274578.92108133197,149276487032.08118,386363.1543406814,953903.4495099566,1585580945005.5413,1259198.5327999478,473552.2954970295,481135877495.85046,693639.5876071741,94045840.28710468,29.88541304345504,0.3019741579883318,1.0,0.3121558966868092
277348.3518895299,154681772776.0861,393296.03707142296,629206.5601740613,730658409200.8827,854785.5925323511,507602.2577688978,411955030959.9428,641837.2308926483,58953025.604790665,32.81001596014064,0.27890592716568763,1.0,0.2749287703205635
321738.6689321358,213159004517.54547,461691.4603038976,585355.483915211,656791033148.2839,810426.4514120229,475903.98399708635,372444396759.96857,610282.2271375504,47609205.719141975,33.524643545141295,0.2739895732816381,1.0,0.40577582387835776
334480.61584151,203420807619.8863,451021.959132686,655092.230411442,730925641074.8712,854941.8933909317,474230.59050631337,375229937909.6605,612560.15044211,58923500.56373362,38.66879099677739,0.2356254431910568,1.0,0.22987024330403732
235618.383767798,98667274874.18376,314113.47451865824,628759.1518241143,1166250844202.4807,1079930.944182303,470312.0026962709,833483152265.1425,912952.9846958946,61144834.0534909,38.08470554132562,0.2397758525095959,1.0,0.3229136840783512
288802.90204587503,161845048785.50214,402299.70020558324,961702.6592627141,1690774856104.7087,1300297.9874262318,643509.2200348887,911594190610.0686,954774.4187032185,93817936.42301454,36.04354452847124,0.25799795356654953,1.0,0.2680827342575281
409557.1370020813,333885074778.1248,577827.893734912,783123.5159459454,1095755840088.7081,1046783.5688855209,543739.354205034,659048295085.6277,811817.8952730887,73764457.1603868,34.79871883067667,0.2640441574678704,1.0,0.2267302088119768
282649.201635616,146016124530.09238,382120.5628202863,751237.5966096632,1111296707097.3687,1054180.5856196408,526128.1837719899,572541225704.2988,756664.5397428763,70550209.24431592,35.77825551690418,0.2602532255612389,1.0,0.4011958474255809
252298.62213461052,102279382346.05911,319811.4793844322,962176.8364055273,1595872171360.6057,1263278.3427893496,530941.5347573952,402802707885.1475,634667.3994188984,90884123.4608505,36.323321715868474,0.25574546089251704,1.0,0.3670374741003335
385882.0187435484,299867845883.1706,547601.9045649591,1026069.5312192163,1738164340924.9976,1318394.6074392893,588679.1616709175,511992229978.3667,715536.3233116588,99186174.36622827,37.05156449504447,0.24662036984102648,1.0,0.30812304795007855
406483.1502578955,495716970899.62555,704071.7086345862,681508.5105091451,1068368826293.8569,1033619.2849854616,563508.6552807317,911765918806.2482,954864.3457613485,63382503.92454817,35.28255065678735,0.2591006187714377,1.0,0.2975608016898054
313997.23367643036,143942108864.4416,379397.0332836587,655588.0423064986,678646897259.2487,823800.2775304513,472750.8162113455,376108283981.7251,613276.678165512,62143913.280849576,35.57020654754001,0.2596161574996425,1.0,0.2214508894630859
289840.26937300863,131055282933.17041,362015.5838264016,591839.0945593949,533313781903.824,730283.3572688234,422620.4836525166,316121651974.0391,562246.9670652205,51758486.35758244,35.329636678015014,0.25973206689628764,1.0,0.20194393717216322
328282.9006731047,200174145161.09323,447408.25334485417,813080.5359504009,1189106012530.6963,1090461.3759921514,427963.90576294175,349394526139.3018,591096.0380000037,73741342.13979307,37.174142234215935,0.24700515304639098,1.0,0.3206412242622512
327482.7065209768,213484759597.76608,462044.11001306586,782195.4705153317,1146794279751.2231,1070884.8116166478,475053.1293432555,588441927824.9587,767099.6857155912,72709034.3613473,38.198204973326696,0.24224304535417537,1.0,0.2632674639858524
246646.85169902016,123648702592.61205,351637.1746454178,662451.0409651147,804018481739.0078,896670.776672803,411849.01175359025,366309675607.3093,605235.2233696494,61727347.18510671,34.95316433773407,0.26197139067682307,1.0,0.26293582364265017
245188.43231702282,112411518441.5752,335278.2701601391,753465.6358386786,1376684340267.739,1173321.925248028,526123.5159161403,946369098891.1254,972815.0383763222,68792509.76109372,35.9068577155282,0.2560875039967028,1.0,0.24261503606848683
307601.476950709,177205816398.67807,420958.2121763134,937261.3266105709,1926317751176.7236,1387918.4958695245,671469.9143233423,1231523125542.608,1109740.11621758,91416039.19817568,35.903700085250165,0.2562415075377096,1.0,0.36425248415440303
292383.5249852577,162771892429.06656,403449.9875189818,791233.9429544911,1082464361548.1154,1040415.4754462831,522021.3462966185,621924524946.3273,788621.9150811923,71149451.16334991,33.46508937695883,0.27256103578360225,1.0,0.30558432232147065
363053.2737736687,266802546874.94778,516529.32818470994,838754.1944116652,1148914493620.9329,1071874.2900270221,522927.7915723944,383063605883.3842,618921.3244697456,76160974.59517418,35.41085137531233,0.26012636731089567,1.0,0.29029756948298013
