source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
501433.54337284435,522492888616.8659,722836.6956767385,592443.7430398838,609918853334.5038,780973.0170335616,988678.3797880532,1527507027233.2231,1235923.55234182,48556522.29650996,
480481.8580809957,567839544447.4166,753551.2885314553,682170.3131000125,913088778126.2128,955556.7895872085,1165183.5830840848,2290516533123.074,1513445.2527670348,57206704.64310676,
365227.87602150836,246665284860.03445,496654.08974459727,491044.9582866317,426905346020.78046,653379.940020185,818161.9789844995,1035992317176.4269,1017837.0779139592,41675813.66507412,
468680.8702762892,513071393008.67847,716290.0201794511,581211.4523713904,455128532529.1385,674632.146083433,986150.1422385264,1719463234555.1052,1311283.0489848885,51706313.9662508,
353026.505380558,211127041220.00735,459485.62678282696,554356.3489425633,445101521530.7813,667159.2924712818,1033085.973464736,1557383162809.5588,1247951.5867250455,44867346.81018747,
338675.3798028888,225366313446.1498,474727.6202688757,709741.7300444018,823648420255.7898,907550.7810892952,1262617.2261310166,2799510814682.1025,1673173.8746113933,66809326.85116055,
315689.7450668308,178773316205.39008,422815.9365556011,598526.1853261979,709175162140.1534,842125.3838592882,802800.5728936151,1240560209083.6807,1113804.3854661735,52948977.53614333,
367699.55101582326,260668482623.87585,510557.0317054461,632047.4198820087,864112318313.5878,929576.4187594196,924738.4822297707,1472609213408.8806,1213511.109717946,53030098.08314492,
528894.3947000669,685358970613.4106,827864.1015368468,414800.6366769052,266387836672.35132,516127.73290373705,710558.7081505384,783543366317.1206,885179.8497012461,32581234.470706932,
435473.78759383096,497616124206.32776,705419.1124475773,406986.34934189415,244630359166.41534,494601.2122573249,832843.579331139,1178731384649.7524,1085693.964545144,32634344.95740946,
545344.9927392773,679826666173.8657,824516.0193555161,630167.0503320735,980275888604.7947,990088.828643569,1047201.2881204928,1949718221602.0522,1396323.107880856,52824516.39852493,
294524.6252807296,158955085393.52826,398691.71723717597,527496.5505115316,532793756104.8222,729927.2265814053,839518.7786841354,1342757899031.43,1158774.308927942,45081111.27544657,
384093.5170980656,245144002771.05795,495120.1902276436,626438.9513506835,563440425288.5261,750626.6883668114,1159909.2863854403,2308917995132.484,1519512.4201968485,57731153.35566259,
465127.8271152416,536697111332.87915,732596.1447706909,483438.3878632469,388835584245.37836,623566.8242020083,827497.9709869863,1196074154207.744,1093651.7517965871,42643957.128309414,
302280.92282405705,151688351331.64035,389471.88772957714,497360.47306045116,570580597436.081,755367.8557074567,889642.0805071864,1370461652088.9795,1170667.1824600617,41123568.8405916,
350521.14961470716,266108912567.64267,515857.4537288791,528226.2212343026,630079328376.1353,793775.3639261774,918423.8611202417,1457377945324.3438,1207219.0958249227,46252415.33669381,
301493.3551560571,156814588321.33957,395998.21757343755,488633.39635099046,472448091297.18365,687348.5951809196,558888.5399015717,636197011878.7236,797619.5909571954,39176939.04288885,
317218.89613716153,216700568037.81265,465511.0826154547,771658.0204601245,1416677417635.0054,1190242.5877252945,1186179.911872523,2731564710837.2583,1652744.5993973957,70152283.60716532,
303552.27121080883,164609666880.4923,405721.1688838682,510983.320699538,539608365306.6089,734580.4008456861,737986.4999843265,974647474055.1351,987242.3583169106,40165500.84860323,
483614.03722668684,586695107549.2008,765960.2519381804,570691.8043633894,581964104143.4133,762865.7182908492,813547.6650894776,1192185352835.5579,1091872.406847777,47490853.808389395,
274165.90724037535,140235381165.5994,374480.1478925143,505985.43256612035,438821814802.33435,662436.2722574408,663555.1280527943,806844069697.7925,898244.9942514529,40846997.15875502,
326700.84241578035,203595485514.15933,451215.56435273745,597010.4329040213,674666309055.2158,821380.7333114259,1003462.4015424374,1783140672270.3486,1335342.9043771299,46501977.38700868,
308744.2245216131,185125969886.58463,430262.6754513859,597812.3511200696,968523295383.8197,984135.811452779,780926.3472598561,1360065520277.3896,1166218.4702179045,47290445.303732194,
432125.97094010375,601686109596.7515,775684.2847426726,446051.7152903602,302506345070.833,550005.7682159643,695043.5532660425,747917343301.1245,864822.1454733479,39297916.86511579,
271379.6664040578,118487426670.74684,344220.0265393442,517792.01530311664,574464468948.7388,757934.3434287292,828927.8352485099,1225637288977.1934,1107085.0414386392,48187754.03167803,
282440.61774857366,139466257345.1619,373451.8139535031,575261.3708580156,792054456818.2762,889974.4135750624,767261.7638547831,1124722812404.4932,1060529.4962444436,45871545.14250504,
367671.7550610551,255922367295.06485,505887.7022571955,586976.1377872812,1022644523750.8,1011258.8806783356,873994.3523168379,1872515846775.3694,1368399.0086138507,54056640.30247332,
273259.58417585463,135795551053.17207,368504.4790137185,504789.838054154,743298455451.8583,862147.5833358569,708386.0687965284,1131842016284.9814,1063880.6400555382,49797922.405485734,
353427.5902828664,254419058564.4586,504399.7011938633,549466.9235733453,529886124948.3971,727932.7750200544,910006.0210734162,1362802208316.6018,1167391.197635395,50209822.80273778,
437720.5276917844,536999828145.781,732802.7211642851,458033.3208496528,328770164946.90204,573384.8314586828,702840.6044953513,922927377191.746,960691.0935320187,39260397.62640324,
359388.1281505838,247798015190.07812,497793.14498100325,451707.78474336857,317977665334.26953,563895.0836230704,618988.5714042912,623973736813.1971,789920.0825483532,38490294.14993258,
289358.53449216735,178324751998.7168,422285.15484056127,580733.0204387091,723858364851.5757,850798.6629347602,810557.4109948047,1392895723512.2285,1180210.0336432615,49675240.01263409,
358415.56126610714,204407519453.04355,452114.49816727126,679039.6750434234,729613597861.1162,854174.2198527864,1027860.6951951033,1917854428984.3713,1384866.213388272,53161746.721126154,
446225.8596547037,626709728435.9602,791650.0037491064,638347.1283550524,2237301395740.579,1495761.142609534,863401.5129623553,2348220007074.667,1532390.2920191928,66434977.924898006,
446830.0896472885,575297027016.0394,758483.3729331444,779370.5380475601,1951584509289.0703,1396991.2345068848,1069894.6131914577,2340666037859.4053,1529923.5398736126,71870693.71359108,
507932.4883603264,587259952243.67,766328.8799488572,557384.8039116599,625760383496.5214,791050.177609816,907959.0450911671,1377439760641.4456,1173643.7963204363,49708561.35506641,
349777.39574057114,262956996405.59967,512793.32718513376,642073.0578126505,622994947450.9078,789300.2897826072,1117708.752130858,2103027184922.1238,1450181.7765101462,53758849.78354811,
354007.4042832294,243777706564.16583,493738.5001842229,513442.80755536235,451883062316.3931,672222.4797761475,809091.7478430573,1109385851714.85,1053273.8730809048,36245566.69141121,
359719.4925330002,247565883403.5379,497559.9294592943,584032.4105619505,732386577448.0107,855795.8737035431,897887.1853985945,1326875641405.0686,1151900.8817624322,51472903.814791836,
374611.07279523386,285005451704.16315,533859.0185659161,442128.63918427133,332456105524.06226,576590.0671396119,572556.2651183457,525620390430.46826,724996.82097956,34708022.4687306,
406615.031274441,302847000916.7275,550315.3649651511,765981.3316575793,1146423386720.3044,1070711.626312288,1237384.466367358,2634189502212.141,1623018.6388985622,67835361.28721347,
366067.0981729297,229639384961.5212,479207.03767945775,548369.1611729385,543551793056.9838,737259.6510436359,905727.6748494235,1401849289624.7842,1183997.1662232913,46400862.99966207,
415579.42305276036,324115476150.24097,569311.4052522056,634027.2959700298,616111774270.6763,784927.8783879932,981924.9421945417,1613542548367.2856,1270252.9466083853,53664313.17995518,
339299.4150324672,236537480744.4241,486351.1907504947,594447.3795955275,652734320865.3796,807919.7490254707,1074733.415001328,1896194607607.569,1377023.8224546332,54697793.24679014,
477672.89448771026,662844045362.5222,814152.3477596329,545925.0291955816,641107348821.584,800691.7939017385,810471.9119957584,1180119563600.7993,1086333.081334081,47275259.273366205,
360345.34593643097,242657062873.74445,492602.3374627291,605464.5315245312,790649452775.4543,889184.712405389,775717.1014206738,1195174751058.2312,1093240.4818054587,57210664.04199174,
435742.0694093298,327708437129.4449,572458.2405114323,579115.5280339998,457384938050.6675,676302.4013343938,940519.5442175753,1579362694279.1265,1256726.9768247702,51235339.610390134,
351153.501703627,204522096351.57547,452241.1926744129,493692.86668297014,368179268553.69244,606777.7752634753,848858.2399310566,1166657803587.6667,1080119.346918509,36539750.01940405,
354417.9879536234,244071193395.68292,494035.61956166977,631198.6349245161,932724007542.7701,965776.3755356466,830662.0087622863,1494963069283.7124,1222686.823877526,57455529.58009148,
389497.790910368,291467098769.7982,539876.9292809225,810466.5200575707,4137998805718.0063,2034207.1688296662,1099458.848706268,5303317846431.115,2302893.364103322,83714625.67735526,
498013.56535864895,675361464890.6008,821803.7873425754,646461.115806999,780262157676.1764,883324.4917221396,1148962.8152050488,2440126314999.8257,1562090.3671042293,56324172.64180084,
359474.7684071077,214222748666.26694,462842.0342473952,525358.4329105625,456626353901.4866,675741.33653454,1118911.5431126333,2149063341702.3438,1465968.3972386117,40654466.745604865,
458944.2817619329,589503260510.0438,767791.1568324057,546325.1673587007,446913569648.78174,668515.9456952255,1076521.0779000807,2032439664362.843,1425636.5821494772,46970151.83005541,
315117.59978339315,183038817408.18777,427830.3605498186,663589.6524575494,3307685731606.263,1818704.4101794725,892218.8751362888,3771044529425.176,1941917.745277893,61292362.7083939,
280125.4319417898,159261690580.46933,399076.046112103,497246.4365126462,371245707743.7389,609299.3580693639,655587.58371878,691043292269.5862,831290.1372382486,40520480.921326265,
393887.73020408006,316609984889.8743,562681.0685369415,548664.3252753902,551984713519.3508,742956.7373133855,737062.5643875119,961069194212.8414,980341.3661642772,42991276.59102794,
396561.5599167439,313855879848.2541,560228.4175657765,650089.1425347393,628160536916.1477,792565.7934305187,1045012.9798671411,1807722977145.2288,1344515.8895101347,57483697.90589322,
