source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist
482282.9512085392,526454109850.1046,725571.5745879966,970401.467675123,1489009280081.7644,1220249.6794024429,650188.0663745976,893818219394.2756,945419.5996457211,88409419.67911987,
499351.65118072805,621998363872.0828,788668.7288539357,1146930.1028810944,2435004372307.635,1560450.0544098278,701340.1318407214,1064545441960.5596,1031768.1144329668,106760198.56908971,
366566.9891427532,246519096208.54163,496506.8944219623,777038.5330223448,1048690632856.477,1024055.9715447575,464732.4016881543,500515742757.5245,707471.3723943355,72631872.348481,
475475.7520685079,550006491729.3014,741624.2254196537,988665.2309738104,1677997221277.4824,1295375.32062236,455250.21031319554,358448615077.28516,598705.7834005657,93434949.15438008,
327349.6547202264,194843653669.6396,441410.98045884585,998418.7810399464,1482933962917.7607,1217757.760360311,467744.1683588469,418640264680.32935,647024.1608165257,91354844.63575986,
314737.9215967139,206405360654.7746,454318.5673674086,1233249.721685959,2700583656470.161,1643345.2639266532,581160.6840271865,717592625087.9956,847108.3904011314,123392276.5004789,
302339.3065249484,172514096855.2021,415348.16341859766,821966.4332835824,1295616745671.2078,1138251.6179084517,548424.5809557567,766183358453.049,875319.0038226343,79057146.09216356,
371843.00361858273,248327397795.82053,498324.59079983254,940123.4755630589,1476456871727.2078,1215095.4167172255,548524.4229987455,961777475985.6349,980702.5420511741,88383071.92920943,
530508.1326428119,724485891191.7671,851167.3696704821,693463.6776090642,768405548099.3289,876587.4446393405,450570.29268927453,357968646248.2726,598304.8104839812,65691054.67411767,
434421.99707514915,476572998418.74896,690342.6673897166,889054.2428673621,1252705175751.2097,1119243.1262916962,446041.56749026175,359390978780.0893,599492.2674898228,85801112.30140367,
533040.6805830379,638899073485.5503,799311.6247656795,1128636.2211315862,2362111896531.918,1536916.3596409266,661317.8970238401,1198325654425.5461,1094680.6175435584,109843561.9533583,
311299.11494420626,157928399315.2711,397402.06254531577,859626.4269484974,1329163180650.9155,1152893.395180541,521407.0181547975,658145154357.6667,811261.4586911341,82004309.78796273,
391647.8059776212,262769145462.5709,512610.13008188875,1143127.3855974267,2245764865894.556,1498587.6236959107,456771.5755173476,432806382418.56525,657880.2188989765,110520386.58949529,
451704.76026398776,561565226666.4348,749376.5586582188,867967.5533879627,1180830526291.056,1086660.2625894884,554202.6851259605,727293033948.3154,852814.7711832362,82360626.84870797,
299582.62041263346,148661960411.68054,385567.06344251,908847.613189938,1573841840797.3718,1254528.533273505,452531.655752235,606521841592.6108,778795.1217057095,85886520.04767224,
343893.1114777654,244323156048.1066,494290.5583238533,925495.8873679319,1456642154346.809,1206914.3111036546,503368.2977241362,658434490163.9094,811439.7637310544,87209543.63547951,
293328.2215581745,153005955993.31583,391159.75763531175,556001.4319854514,562858637612.4791,750239.0536438896,565600.4481624695,671733034053.6643,819593.2125473369,48323372.92131434,
325072.0765668912,221644727583.54865,470791.5967639489,1202614.3249095033,2753431240201.2393,1659346.6305149263,660340.354621683,1369852255817.657,1170406.8761835163,114151348.88632064,
300419.40033939644,160024023970.71045,400030.0288362243,736983.7488288649,1012453228228.9146,1006207.348526592,479667.70346728934,549524019381.57935,741298.8731824562,66206374.000266515,
461724.3107910197,558509643100.7272,747335.0273476596,851871.6471797463,1210314114543.039,1100142.7700726115,545247.7941422256,720559162025.4648,848857.5628604983,77014551.65566225,
272117.0493724254,126450718992.79922,355599.09869514464,674342.8627448895,815268970488.8746,902922.4609504819,446262.34587172983,466753841589.06055,683193.8535943225,56766135.76776306,
324453.47536099295,200111637590.81088,447338.3927082616,1033285.2011911822,1802538237190.4326,1342586.3984080998,582658.8737863895,853132679124.4923,923651.8170417316,92777510.56190665,
302428.4266754529,186894760689.78168,432313.2668445206,741239.4631829623,1303492680911.921,1141706.039623125,609964.4678652823,1059144429623.5157,1029147.428517176,64049974.13426916,
448963.06095653225,566950747205.281,752961.3185318891,751404.4628022388,961589853023.0096,980606.8799590433,518048.9196386829,472351985036.07635,687278.6807664533,69751208.73715456,
287555.29817105166,134764628039.31087,367103.02101632295,822380.963780249,1216414645260.2112,1102911.8936978653,530914.0056011878,625271810096.0519,790741.3041545585,79265447.37773411,
277325.8931012107,136371627283.00063,369285.2925354605,831943.9661911001,1271373000084.368,1127551.7726846817,584465.6801772537,955416254261.3806,977453.9652901208,75856894.40533286,
336284.74639609264,215581825587.67075,464307.89955337904,910851.3542625892,2022107564474.0227,1422008.2856558969,593069.8454666819,1086214127185.2195,1042215.9695500829,87561170.3925234,
274914.29624637787,140135836267.24478,374347.21351606824,705738.3876988675,1141189624022.674,1068264.7724336295,510282.2450597769,815911578691.7805,903278.2399082691,68524124.10346273,
376229.34221632755,295168720943.5488,543294.3225762154,866314.7469920283,1263462520581.1592,1124038.4871440833,521925.5672206881,636787353345.6633,797989.5696972883,82198331.78314982,
412580.31034314295,533519443246.03503,730424.1529728018,757944.6110867976,1049304209466.8816,1024355.5093164099,440265.002754047,485332872034.3356,696658.3610596629,73469441.15513031,
373277.0996086436,267695721651.6391,517393.1983043835,585102.3217380639,643787685869.4666,802363.8114156611,437915.5794146787,366249713520.2452,605185.6851580722,56261160.91918592,
292553.11798284535,181301070999.6436,425794.6347708524,817119.9859321706,1390314353415.349,1179115.9202620194,590385.3043939765,921930608508.0099,960172.1764912843,76822832.36393076,
370060.95368927985,213280976281.62704,461823.53370267636,1016294.7946049246,1934337463136.3804,1390804.6099781164,573185.1761310431,749640196194.0072,865817.6460398617,93973844.25897048,
457580.9321955213,613584308480.6337,783316.2250845017,842474.2598672705,2251033973225.28,1500344.6181545358,612857.5703365783,2411688371701.4277,1552961.162328739,84893725.30338036,
