source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
264606.3964201596,135962372895.55638,368730.7593564122,537285.3314940891,513895380984.9565,716864.9670509478,303713.64821000525,162662125596.4254,403313.92933597695,514807.00266803434,486506379923.64874,697500.0931352258,,,,,
317990.7801568539,204796518719.3597,452544.4936350013,417023.9825975626,332740980553.0483,576837.0485267467,284961.4648884656,129068858877.97931,359261.5466174738,415664.61288013426,334131228284.944,578040.8534739945,,,,,
230030.17706995053,99407905718.05124,315290.1928669067,508175.5236245892,584728815582.3855,764675.6276895357,312878.23739395326,176626761836.54565,420269.86786652415,488937.70156538574,545062466525.8564,738283.4594692315,,,,,
253614.02994578698,134978554344.98439,367394.27641837916,421941.5822260297,425316591466.8349,652163.0098885054,267739.83506852837,116731781528.05658,341660.33063271566,419184.17528032,420220698014.4476,648244.3196931598,,,,,
273390.00697702303,131370796092.68047,362451.09475994203,360812.79966693267,199224351045.5418,446345.55116584484,232872.6655220858,94289202363.94446,307065.4691819718,353774.62259003776,194123760218.23282,440594.78006239794,,,,,
278651.8090057602,211636875300.72568,460040.08010251203,572524.5861914085,754363799152.1321,868541.1902449601,337054.23604901024,193737839081.85272,440156.6074499538,570263.3144915547,747128377393.9153,864365.8816692821,,,,,
255900.2750371751,124871747947.89264,353371.9682542641,411299.50432562537,337320361141.6013,580792.8728398803,309298.49311218405,140780526537.9791,375207.311413276,415920.9667833955,342019818220.723,584824.6046642729,,,,,
257177.2270355035,141271850294.3854,375861.4775344574,543787.8694911561,658042724865.1714,811198.3264684237,327759.06851835665,179289444078.835,423425.84247874503,537893.1852687929,658413740081.0626,811426.9776640795,,,,,
323154.0009426266,213298117868.07413,461842.0919189525,457629.2573158446,358182775836.74146,598483.7306366327,360769.8561575335,218667704708.17914,467619.18770317704,456112.0494116354,358797120415.0801,598996.7616065049,,,,,
315035.59802655526,231234666869.1173,480868.65864715836,552652.094026223,714680691981.8423,845387.8943904048,421262.20238476904,315293728276.97687,561510.2209906573,552172.5901898392,711827284775.5135,843698.5745961134,,,,,
337582.6507761685,339731067804.6511,582864.5364101775,565732.1799826447,977890030980.3171,988883.2241373686,477771.9404764176,476511436385.7604,690298.0779241387,568024.7403569444,970391284020.815,985084.4045160876,,,,,
261935.24124299226,156826363750.50906,396013.0853273779,504890.57501882454,632609716776.383,795367.6613845845,364220.9153990998,228198715504.73254,477701.49204784,501912.99057951244,626077676976.2163,791250.7042500603,,,,,
