target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
295799.0908929265,419542.5662837476,695376.9557732667,996820.6525093871,567870.4271393825,836108.3091826885
346359.1348794032,521158.83833166497,739903.7773403791,1142621.8402174031,625633.0437656589,978534.7243325339
321227.89584564255,449098.84540519834,763364.6312873088,1066443.9568325495,582450.3854954712,873825.8015087367
376143.7856755753,580762.3432434807,1102763.3880175722,1882378.7068484237,832887.8474935346,1550424.2785031472
380574.53515678644,540188.7408412996,964029.1374134517,1484598.469032615,856662.6063168421,1367895.8449008167
381179.6614356351,526302.7433780937,750433.8307441702,1138902.0776907303,601627.8100312636,995146.0564929723
344021.71386983234,538640.2331135536,867652.969205686,1140427.4571543061,683008.6157986266,1000941.5370334173
399832.6086248743,649062.2830978708,982819.2733904262,1509775.6578263908,822567.2382169045,1406877.3128428797
325831.6655399885,456348.18703667284,1076100.7611329185,1776130.9846376083,791633.0877641573,1429056.4797884913
357483.2012419335,541850.8258193857,1369514.0673890961,1877441.8664290973,817863.6929977196,1414813.387944126
412749.0339154567,601599.5975985449,1212609.38109195,2134764.3933807244,921016.5715257176,1983976.9069780267
272489.06064692716,374470.7026547239,980938.3514549467,1367257.5334360525,762279.8472362586,1221423.6514623794
315206.4975349775,561525.9213864119,890505.3075490266,1384809.6726165412,696835.4767413705,1241168.3463703513
322247.74154935044,457157.51334648556,1178754.4555895207,1548996.83619092,739464.9756716787,1254245.575617834
384215.3029968894,495169.23556437186,1102761.7581683714,1690660.4763950207,859148.6784192735,1609039.7021497663
479013.2538832249,730977.8686567578,996248.7298328131,1484706.9094237373,822344.9747398384,1272489.8990915027
384474.78253576456,551621.7601180782,1131469.8902338513,1544080.4372622513,726692.4183020596,1174186.6781155055
463932.2603857399,684180.6249247667,864729.2132769913,1490911.6397855678,741266.4355533891,1419416.2461976807
244248.60259278907,350594.721102906,689250.4321443221,980041.1293503613,599370.6817051228,874227.6662003899
196214.53496510352,269760.14110640646,646246.7902564886,1182392.8626940297,556433.6144897458,1020967.2216725094
261674.63420030108,338325.79715158406,1289803.2884814537,1656621.630662403,723534.0945469819,1276327.3640395638
289601.24057348596,407772.9657866737,1290240.2557155662,1707113.8692196582,835100.5467438881,1305970.7382412944
448369.47103545524,677082.0852920193,1279722.8811322553,1580260.8680679388,846700.680591166,1537889.6132093326
237867.11865742455,328511.5975782898,846525.7482391518,1354019.5392502807,609519.0685200272,1097818.1247691787
422408.40682750515,588050.0130006269,783942.537984863,1106586.3973625859,680150.8088251929,1029448.3613483715
366729.2180476204,549529.0002026836,941102.6982188795,1340904.039961609,810164.3143812465,1296679.7769917818
323236.03205996443,434487.8092096561,848081.483436924,1161686.4313499457,670313.1709540663,971287.294977547
366588.4071164393,551818.9350927416,894351.2914725423,1199173.321562971,669135.0151934414,957463.8506469113
453088.87555331003,650594.2797732141,1047872.7190918002,1548071.280136011,854918.6495437026,1439485.9089013338
377715.44888218906,530052.8538257512,1117384.0355475075,1584892.6228703451,793385.077147223,1380939.3457336454
287283.93589520245,400691.6797711059,775136.1323176026,1229545.0801434792,686231.1600557438,1245845.0578787373
278103.6857591718,362970.4459525091,1272392.3884852019,1825021.3455459392,851213.3848272372,1540365.241130844
328186.8242192311,448191.47033927427,952025.0045063065,1357721.7331675454,713343.8679025258,1133765.5438981315
