source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
350255.17047853285,224749466105.44,474077.4895578148,662518.7774247586,985550283428.663,992748.8521417,847491.5283399889,1702624818618.443,1304846.6647918609
341173.67892348097,206629014842.02405,454564.64319392905,683912.7993640379,1028061776388.8566,1013933.8126272624,837343.2634020793,1604068692873.5796,1266518.3349930546
336407.36760697816,218833081370.24387,467795.98263585364,715452.0421393658,1073675947757.789,1036183.3562443419,863170.0482106333,1740191049717.475,1319163.0110480946
352910.9206565176,251956248337.35886,501952.4363297372,683678.1110083972,1015579882854.8807,1007759.8339162365,806164.1602949799,1529682675257.773,1236803.410109211
328335.686116383,197549670210.90683,444465.6007059566,671598.0593017073,991581881996.0435,995782.0454276345,880731.1392881946,1578894076109.4612,1256540.5190878094
314504.20887619274,192819447563.18356,439112.1127493337,663233.5003327217,978768169788.6393,989327.1298153303,872359.9175462292,1691602646131.164,1300616.2562920563
343315.10796253534,226971284928.69666,476415.0343226971,677352.902636461,1069280564001.9617,1034060.2322891842,885071.1921208004,1754152559834.0361,1324444.245649486
332727.6527251891,207915359525.2656,455977.3673388468,648595.0096118549,1006362316831.255,1003176.1145637664,846004.1419730921,1635364899367.1812,1278813.8642379434
345404.0092547256,215007766549.69812,463689.29958507576,699559.3663681241,1051537230011.725,1025444.8936982059,837361.2033398931,1564227079405.0142,1250690.640968027
345530.822168017,218393474058.15305,467325.87565654126,620577.2649703982,924856984199.2188,961694.8498350289,835427.274150569,1615083104673.3667,1270859.1993896754
334206.32261014124,215220679952.50653,463918.8290558021,699260.1932554798,1085075479256.0702,1041669.5633722194,879186.6560699006,1726885136090.1667,1314110.016737627
344129.40814571525,212725797770.75854,461222.06990858377,565361.3194604006,763187911383.2238,873606.2679395243,901522.8140811047,1715606067990.126,1309811.4627648233
356785.54095081106,244193447765.56155,494159.3343908031,716013.1491468911,1062261204100.7689,1030660.5668699899,843177.0708016308,1641163053243.028,1281078.8630068908
335242.08572130225,218744029565.64764,467700.7906403918,697424.1054684271,988826540796.7169,994397.5768256462,794283.7469827416,1587937425384.2368,1260133.8918480992
