source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,trans_target_mae,trans_target_mse,trans_target_rmse
231914.96096424904,105935454907.57944,325477.2724900764,575700.3013641931,921228146284.0868,959806.306649465,809335.608321748,2460797746616.098,1568693.0058542679
236541.46527856373,104827706146.1043,323771.07058244763,609019.2336664844,1007594372162.0913,1003790.0040158257,732559.1735451409,1613559522258.0725,1270259.6278942635
240475.12526852748,116005057629.14926,340595.1520928465,583732.9149411778,952058327947.8307,975734.7631133323,799962.3783608117,1782414390117.5833,1335070.9307439749
225148.24366709345,99321151204.04846,315152.584003445,544925.157480015,931754137327.9679,965274.1254835167,830984.7247878321,2237889394863.6753,1495957.6848506362
247658.92309220004,120001418511.47267,346412.20895267633,574412.9295037071,998951681717.8091,999475.7034154503,821102.8790413213,1823214364618.6306,1350264.553566682
223290.36915851806,92762045043.12393,304568.621238505,608390.810053717,1005541277897.3082,1002766.8113261968,713798.2392196929,1371315505426.4531,1171031.8123033436
240428.90075004828,113112917673.062,336322.63925145153,606410.3411135481,966378095124.932,983045.3169233513,767232.9200699347,1491900562358.6404,1221433.8141539395
234795.10897658966,103602930623.15186,321874.0912579822,593532.4337596156,925453565192.3418,962004.971500845,777309.2655796286,1820844978408.8433,1349386.8898165727
222047.70998087327,91304883745.91527,302166.9799066656,564182.2921782337,933690013355.481,966276.3648954066,780411.234236592,2097895482461.6887,1448411.3650692226
229252.95038202885,98730765278.25731,314214.52111297677,593374.1125302128,975856438402.2025,987854.4621563455,824996.1389903623,2077027520546.4766,1441189.61991352
225007.67816836888,94222251169.32602,306956.4320377177,618164.6691414361,1019916400588.7257,1009909.1051122996,747882.8509672316,1465556622135.6277,1210601.7603388934
233149.48771735918,102148049885.44656,319606.08549501456,592755.7519222889,919994952553.8511,959163.6734957445,792066.19068445,1935020091365.5251,1391049.9959978166
266203.88825888594,143758163851.68344,379154.5382184993,586100.9323410912,989450266204.0465,994711.1471196281,684429.9887660543,1710473237578.9846,1307850.6174555963
235527.36140998162,109052333297.64165,330230.7273674599,594568.6609353182,1014626733840.8606,1007286.8180616981,794241.3696287301,1759627430511.7717,1326509.4913010504
238063.88588418835,114399434383.60367,338229.85436475545,612938.2477016267,1021262766963.0151,1010575.463269822,783787.5808528622,1952120469640.7341,1397183.0480079316
228148.01702692037,101939291870.40149,319279.332043904,585699.2700278155,1028271478502.3088,1014037.2175133952,674855.0792701691,1295066658395.4714,1138009.9553147466
231712.3736410625,100889105520.34921,317630.4543338834,562995.5449974713,955506675750.9606,977500.2177754032,766641.8542296925,1536097883887.4622,1239394.1600182978
221570.42285528567,93997985565.4704,306590.90913702967,590732.1032583362,1019119796454.7086,1009514.6340963605,756198.9352648208,1542695832439.9287,1242053.0715069822
223067.1493163282,97072435133.99716,311564.49594585894,600008.9966265297,1003473948109.4907,1001735.4681299303,771888.8136341377,1595165003241.6213,1262998.4177510364
244622.07065991868,114323468538.14418,338117.5365729263,576023.2079103832,902609646977.8406,950057.7071830113,727575.5689240713,1415531848032.323,1189761.2567369654
239305.420112439,110491377477.94545,332402.43302049616,594786.7082339006,1036655737882.8239,1018162.9230544706,787905.9045536597,2481285453219.591,1575209.6537348896
231302.90181686252,95731384060.57646,309404.8869371272,633599.5297976995,1124551336631.6511,1060448.6487480905,771339.027929841,1691297697319.5925,1300499.0185769433
247642.06152416006,117856510954.45886,343302.36083438003,556954.3078650306,952560101296.0297,975991.8551381613,745940.8676394565,1474139483209.888,1214141.4593077232
228156.97452718392,102016786420.34015,319400.6675327091,590018.4548407114,970797195377.6903,985290.4116947908,768081.7426122419,1563961865006.7642,1250584.6092954944
217917.769035377,83419011714.96233,288823.4957806624,589743.4874733052,898661711053.2633,947977.6954408069,755187.465717241,1467381833744.5454,1211355.3705434857
225905.36227618653,94511121019.62624,307426.61078642204,591931.1199523287,1030496185935.1055,1015133.5803405902,691113.9422977504,1555294059571.3772,1247114.2929063789
227439.4087160261,100782994377.25781,317463.37485961715,605772.6167506019,1050527215857.7893,1024952.2993085041,770978.7561055927,1684045497741.8958,1297707.7859602661
232227.1486681179,99706145531.88652,315762.7994743626,610070.0905037144,955446712022.264,977469.5453170211,756915.4280106575,1682967455919.8447,1297292.3556083434
225983.03748167297,98503509696.57143,313852.6878912644,570797.6433898,977901643542.8849,988889.0956739713,765850.0693771787,1531657001759.887,1237601.3096954476
239567.59570689534,111172948925.49371,333426.07715278317,609693.3544884928,1025265009956.0673,1012553.707195854,752353.8280932412,1705069103565.4084,1305782.9465747392
225588.28593991103,94912501939.61246,308078.726853401,585768.001782274,987450858126.1919,993705.6194498409,790929.9184021117,1840315313192.1577,1356582.2176308215
230090.06189867985,107537777096.01288,327929.5306861108,589702.5981713124,976738945716.7065,988301.040026118,759021.3170731656,1656915602634.226,1287212.3378192994
232015.55464960152,99796470016.24483,315905.7929450564,602010.4404466614,1030172847967.9965,1014974.3090187045,654703.4102860551,1315814755695.148,1147089.6894729496
257293.4194930437,135818657731.64468,368535.82964434364,568130.7935963994,1016032497029.9691,1007984.3734056442,872917.406473275,2309263651621.729,1519626.1552177
225102.49678378276,96784295246.28381,311101.7442032169,594556.0939443612,1063592098761.7667,1031306.0160601055,784730.8024599969,1818014207006.946,1348337.5716069571
228066.27587190774,98402379806.7627,313691.5360776613,585208.0159609057,983037798297.4839,991482.6263215528,772209.6854360536,2200116826021.657,1483279.0789401897
241630.67215174637,117875634154.15242,343330.211537162,594245.4402865171,949810484065.5016,974582.2100087306,749659.3369052048,1687499990667.3218,1299038.1020845084
231593.85723793265,100621720382.36742,317209.269067547,584391.0627847856,1030916217002.0094,1015340.4438916089,717913.3017255825,1492948523545.0078,1221862.7269644523
233421.9603190796,101121696212.59453,317996.3776721278,636115.9761333623,1045359525914.195,1022428.2497633734,820270.8621909503,2141526589877.9678,1463395.5684906142
225280.10357663085,97142520906.65277,311676.9495914845,580413.1508010705,870937721933.4216,933240.4416512508,733213.4062344296,1781754547749.057,1334823.7890257488
238948.7040276685,108800716348.69336,329849.5359231135,591608.3889280016,1004744267920.5382,1002369.3271048043,795006.4800099421,1811648742724.8435,1345975.0156391624
225867.11279112275,92176019842.59889,303605.0392246461,613489.0442031729,1079610115560.0867,1039042.8843700758,790138.1508489137,1897721516801.8557,1377578.1345542094
232184.85287056322,95218575303.15613,308575.072394314,593893.3024555497,901542494262.6471,949495.9158746535,765809.1963214827,1611802041876.9724,1269567.659432522
230673.06174791243,100904354460.8909,317654.4576436649,580499.0999986985,974506181886.3203,987170.7967146923,788844.4278081715,1595242757069.387,1263029.1988190087
226432.13021186448,94420248505.43448,307278.77978382184,607953.4986618313,1020449930173.3854,1010173.2179054171,777005.484162856,1897482770415.1213,1377491.4774382894
235368.58956879622,107544452638.1176,327939.70884618047,592728.8180543259,997008568647.2765,998503.1640647297,804688.1666473547,1961240665784.2468,1400443.0248261609
242633.4028025333,107033072800.94022,327159.0940214565,599322.594320888,988725034746.1467,994346.536548575,793462.986638202,1770601679342.312,1330639.5752953961
224865.31881243965,95313150409.1623,308728.2792508038,587790.8022437566,1004013318667.2407,1002004.6500227635,795673.8726094199,1777608518946.8838,1333269.8597609126
230768.00913868495,99463560105.87471,315378.4395070067,596268.144949743,992336494883.8079,996160.8780130887,797262.6248098753,1831498456497.8545,1353328.657975532
227464.1397288569,95370272117.28528,308820.77669302834,567401.1753809032,1020535812996.2008,1010215.7259695579,784942.705440582,1622259661614.4204,1273679.575723196
230959.55036572053,101310843627.25275,318293.64371167193,564767.6073405375,1007489062014.8718,1003737.546380961,747393.072868817,1492531315488.0864,1221691.988795902
218732.38488103953,87125017665.44269,295169.4727871476,655637.572078601,1126160007166.2844,1061206.8635126161,772956.904826974,1663667158666.5469,1289832.2211305418
234026.09833434172,100000655927.80421,316228.8031280582,624666.4582266987,1068918928851.4165,1033885.3557582758,803204.5850028277,1761895791711.7776,1327364.2272231753
199674.9876352843,70551971621.61441,265616.2111423443,599445.886146468,985649800992.6869,992798.9731021516,798451.4197144874,1625081052371.3276,1274786.6693573978
240115.91920704243,118273069972.12604,343908.51977252035,596090.7143501797,996828013147.267,998412.7468874118,794024.7485066067,2293371889437.7754,1514388.288860481
227231.85186286055,97983857680.03485,313023.73341335455,595883.2460633354,949338256197.7362,974339.9079365148,766270.3899637893,1541155854108.6313,1241432.9841391486
236715.8553524074,104418248492.93953,323138.12602808035,620897.6871588565,1007332153141.767,1003659.3810360997,805750.2120205679,1972650164064.1243,1404510.6493238576
229808.37925139078,93157121138.61188,305216.5151799815,599974.052946305,1020361463447.1581,1010129.429057068,874994.1765845584,2706091870018.7905,1645020.3251081095
228636.8912979266,98921970316.84352,314518.63270217157,586700.6886638056,923996975782.0818,961247.614187979,801638.9368729906,1818821607860.8113,1348636.9444223347
225754.470263011,93770724913.8166,306220.059620229,596975.7921230173,1001920939094.2594,1000960.0087387405,718873.6245458511,1423142730141.8247,1192955.4602506435
