target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
25063608.481004287,37491138.02033283,45230856.51219375,66696068.93041818,41538359.36502391,63064062.29317391
25424971.980223313,39670597.04232305,42790467.70727548,60037784.137154005,38984792.85350785,57740211.449171044
27894104.611281976,41411567.58799347,45625648.30868935,62950671.73739213,41647585.054989,60508551.420353524
29907897.458427746,43758334.78648678,37720976.15117052,49705485.99511475,35966661.84533343,46655222.46547013
28159132.113074996,42243595.83244244,43174452.98100125,55644877.911546044,38266748.484229,53180429.469189696
27671001.336242676,37800674.85852852,50736447.4509057,63194783.62603384,45640021.11512522,59487382.87723941
37752624.03668736,54256552.18693066,46941612.76854925,60643123.21513226,45602734.90677162,59102739.264409535
26976968.88295706,39997742.23649899,35547389.330462694,49265034.11113601,35152392.011670545,47943467.39710037
34018964.772946894,52239236.71936848,47746408.34520044,63727452.15815066,41701776.95304622,58900785.965943076
27828749.487418715,40055152.90887395,42978941.775494546,64227052.83460007,39125688.78133038,61662185.35572072
33020552.736486297,47954405.53460956,46774775.874405056,64843373.67360362,43580410.86005507,60376199.10779547
30151754.06995084,44302086.48251743,42459155.9521343,58261956.760033466,41551664.942639686,60934750.368091516
26879194.668243304,41855970.052589424,43604883.23243604,60237490.50258321,38146689.81280599,54750594.18414104
32678241.673324343,47899070.301035024,44220241.155069046,59980140.33689705,41533654.12116224,57014496.32523051
31027206.52292769,43874166.80458212,46293824.194816254,59924167.34860762,39048425.278719164,56164276.168709606
30430813.837151345,46216307.19130939,47260944.868788265,65296291.561453275,41523747.20403562,60548538.263974845
23960249.10038347,33362762.749218684,38787920.959661715,53190679.05059812,40099468.90502963,54784482.63618842
29070861.674032886,44839520.4112817,40815787.88910282,60767069.62257809,38581173.39238283,57805595.61024333
32042329.09574271,43279306.70267059,49538523.63783774,67666158.67084539,44176581.248094395,62443097.72335874
24707473.29775035,37822803.00536788,44110374.78175413,62714465.58710829,41708613.38558485,61827073.883912124
33643976.67952414,43961178.65182312,40150830.01853711,48670005.61859447,37821049.2023029,47213929.30509424
32209406.90654404,46505742.560149476,43435482.40159257,61075191.74197948,37146287.783794545,56171711.56707125
26490919.95781623,38527460.84271691,39090392.18389164,56532845.12363313,36561738.874894,52351644.61588902
31712184.82490527,45268217.168996856,40996632.18783214,55581518.36911871,36409167.56767785,49570496.16980414
36936165.56382073,53407130.71261554,53863267.05268853,70044233.19289808,49245961.83138128,66905129.11249827
27466387.99728756,40615150.62236106,46158364.69144687,65944303.06851772,42150141.95405545,62592767.27328673
27305975.347591724,38750783.30102433,49834916.4619286,69677645.20174274,44958886.92035558,67194319.73099384
30066213.17161053,42288639.64305155,41408176.41236375,52599162.95819108,32888529.168947104,44940142.04191683
28985489.008282702,38691993.09435879,47268388.25073156,64005844.21058371,37486120.156341545,54942293.1554408
32540901.215407148,46842892.91386843,50763697.684973806,70201540.2791397,46993261.413823515,66632383.881079294
27327561.721556935,43075717.361768216,46030834.451274216,73796151.41885847,47520304.261568986,75025550.40472741
30482791.44183576,48997758.02962363,40144587.79613515,50721048.14902373,36644381.838519484,49208596.82177592
35648812.151682064,50448948.37053196,41559900.7690409,52114445.797204755,36924692.231695086,50850630.60036942
34154874.21503399,49683906.69418751,42797470.52901552,58489077.36791335,39766235.044337705,55672091.30131493
31933784.894460566,46263491.72607843,48020901.78422454,73097095.73894489,44879661.24012579,68256973.18562819
30472631.092762757,45461188.516710944,36798021.764383696,48759446.84127886,36728847.363438554,48159419.81138525
32348069.404797617,45479727.08888155,52448212.33647078,70519148.18219708,45251770.06083635,65831383.72569035
34288027.65951928,51276297.75460192,56470877.44863322,75454827.92824982,47872347.75597904,68267657.15832642
38370998.09034516,55459200.10392317,43248595.54852234,58701359.3396458,40509496.73255966,55104244.95605528
40201881.99031119,60445009.506441906,49881703.16614515,63971141.34303515,42305556.57142709,58164686.84994625
24923380.119104538,38620067.49522616,36049907.46807924,49430673.1043803,32376208.785434887,47846053.370896995
30877111.567715816,44065040.96318926,40739038.51259128,52626671.634359404,33688249.37021243,44075453.52684383
33325260.735385116,47419943.03177246,45039768.85869807,65362608.15873526,42189932.93952013,62929258.23494108
31449282.157041814,43379788.94207453,44936100.70932385,60597347.49644448,42353922.03546608,58366139.99230446
21846013.966798823,30169241.917797446,34344396.05014774,50439854.694011934,30606522.52835797,47758551.46703623
34744081.6714032,53009282.64691775,44953096.36377032,62809001.71264825,43647743.24136016,60937182.38791402
34853065.25796912,51320522.283907585,47823727.02252522,62985149.23840151,43863175.007520474,58239890.69591817
23733363.447103463,34110579.88508819,43641205.31440117,60032401.055476345,37300181.020540684,54579892.90522663
33662646.82401654,48089033.7874674,42695798.61504108,53489818.68336302,36503850.219919905,48806312.10818373
37446653.15579631,54329650.79297433,44791294.48648262,58711445.51727817,40769738.163304135,52068661.64046332
30671286.32970221,44649713.93533527,50861158.01017676,66466297.47838644,42155453.54705562,58952521.809612565
36073421.08199647,48318788.67184991,55252371.242412426,74512305.88445634,49532419.58922227,68962946.97254182
32597266.03666441,46625764.72537187,49913591.45889947,69887275.8769426,46784303.51162638,66914318.861567356
29953153.06763408,43357234.56586373,45869220.71854411,59641112.49834077,41577491.457995266,56223666.42009718
32968632.92681338,47431601.99206695,39415120.31968222,52602871.73524547,42468038.97644633,56728297.44039542
30995534.783830125,46952837.97906367,41301612.011409335,60654263.00317431,36604316.01849803,56612270.12097972
24601880.770898916,36773623.99169182,39263426.11561815,55309676.07475441,34139504.86848918,51054332.99969694
23855695.253130455,35261129.67462083,34425191.70710348,49414775.89534967,32632819.54203881,48014262.49715085
27242677.128023036,38502184.250301495,42686446.58531105,63812690.40127256,39624577.84607921,59293568.388826124
28208576.17168204,42889779.37856272,44723759.21778638,62127782.52361332,38508501.82402789,59138374.21065501
26041800.92098197,38872521.84942229,39598973.157129504,57970977.56509081,34549787.37057252,53148852.50113098
26344741.245343734,34281109.079538,52766077.28940951,74619947.30624025,48649294.536757976,69399732.75688991
29584186.037389394,41193639.212811045,41808288.45719376,58569851.59750497,39299441.860486954,56825294.81682199
27339079.583704054,41739505.755222395,58299809.09806217,84650879.57374248,55829452.04731327,79422246.54215051
25326137.48813871,40589836.760759026,44573538.34764151,63713498.503170475,36748121.56633935,54405308.53972288
27817854.898390356,40897322.379740134,50888505.65037295,69208929.90421069,43750072.89660831,63145905.64600564
28157878.829671923,38799813.686498865,41916689.9823835,62617127.42671637,40145570.00245055,63346220.10640542
37740260.02360472,52597245.25275996,50797972.35535707,66812928.59718271,44128845.903202124,61249804.342442945
22815456.17143525,31978906.47638506,36670963.82141946,48133410.43072037,34777684.48378868,48230915.3067351
32663253.489923082,47253526.97092687,51421746.22038826,68742647.20417182,43074306.68378785,63840296.89173393
30207148.380830627,45893007.52860011,46525346.449316934,69128371.93357326,42710885.69894478,62341904.50596849
30749594.09567266,43440171.204649955,38426158.81075013,57346343.646515235,40567025.162446596,57873371.310658425
30265116.06743965,42637105.160505295,39817557.842650294,51118715.06800482,35734236.96044864,48925256.61166073
