target_mae,target_rmse,source_mae,source_rmse,trans_source_mae,trans_source_rmse
30381047.227057233,44633047.50437438,37708951.75920258,64395643.42154113,37772246.348212756,64556174.86504709
28388292.00899186,43496009.67185841,36775796.934355505,59403905.62206142,37382493.7114277,60303230.59858224
31549761.08413948,45882001.57118423,36879823.96025163,55104667.939188614,36210003.05858003,54723230.967969656
37470752.344570205,54848531.60648538,37858893.95827664,66152228.34750014,33862095.36508214,44217133.4091186
33948594.34910896,53211349.312364236,43662669.65477825,68149249.63721855,38265817.31566593,55643599.092924654
37303639.64059799,51902143.3398467,55434645.15842306,115172874.42054495,42127149.15826666,62135587.59009075
33713023.67924425,49212024.83958707,33503820.593392793,43682746.0539498,32532012.994412117,43250537.49053415
38760926.39516484,56482251.54176677,50173337.24858407,72056286.37967983,44677039.66884803,61455140.17770159
39233733.091263846,51918681.98237446,48970356.8341939,66609232.083409816,47449745.669268064,63968350.27519804
32388573.63718582,45811854.555554554,36692136.83779373,52983771.10326883,33790683.46802329,47884444.78427238
40885130.27399279,57334925.37152989,42482636.49286345,59063723.25718592,42213574.635110624,59092676.067740545
38415523.871455126,52548666.83359227,37908127.17864874,58915116.20914835,33820992.63193592,47470407.24677862
39268798.17433229,58567500.794121966,56467710.138709515,136921292.46626246,43122755.627857536,59996225.6304229
40736020.59830271,59847692.03750017,36416663.99981713,53323572.22881638,34251240.45187578,45706491.3648746
39032463.071062535,55987189.44088936,41670154.363552496,63264447.11153875,40276755.61979637,59935564.64645677
39682559.973939136,55435861.23168843,43873678.0388511,58997511.1976482,42005835.74902381,56854339.41472508
37183173.96859158,53653023.68529127,34650774.8438456,48558464.16469827,36010475.359910846,49918531.94983985
23252780.05092464,38944494.37283836,28163452.343398623,43877860.9982256,25550793.472013846,40716407.04596693
38029577.115285285,51509664.94149127,35199596.180539414,43704106.05790336,34228978.692043416,43096737.05505189
29392124.743899483,45623175.50176908,32745068.14187086,51385051.00719222,29006268.59516559,45712002.08820741
36507881.25566859,54404423.22258602,50506167.18533196,75901156.33740708,42268325.137953885,61143152.05275201
36678219.31553016,52802297.9168814,40283428.223038234,53440100.531399116,38424468.65476149,49886058.51263681
34499899.885754235,51094192.34243595,37400231.14442166,54726447.76097182,36447714.53631201,53352651.66420828
48317019.12512827,69598746.84688014,50971345.38455165,83256668.26544139,44149350.98101817,59933531.351237744
40044541.24111765,58465331.20447983,48237452.323530406,69402980.48853528,45379096.115932055,65253173.755030595
35509803.21896717,56306958.04915148,42653696.089682914,62749475.105780244,40525112.275374606,59182667.85541052
31498321.308497004,48547447.84926599,35561759.00696277,51363128.75771986,31946157.1922447,42110766.83208769
39166937.98734746,53317577.07736472,30373295.92851005,38500300.045368336,28039785.650627702,36023736.77571092
33693908.48128014,52501269.2233574,37094320.33091648,56946835.28453882,33856761.41007783,50825624.22194776
27963223.287701987,44065282.05051751,42057421.699817464,61771832.16058203,37874086.64851753,56940283.23026304
29309027.250772856,43970451.75089802,31770491.689869676,44989831.31807639,33205232.19366364,46297244.01552844
39058810.55160823,57494943.8052492,44084031.21607624,68095867.56362861,41900496.28626624,65060834.24228207
31957974.444727063,51798886.01371382,45359118.04442212,79007596.77190658,38727956.45982524,63314587.76703545
42538680.606530756,63298188.69720491,46180340.14550537,65312713.090896375,42425089.591439635,61357143.01278394
33189774.14474382,52777829.20229471,36644409.86837013,63680411.66723401,32248882.767752085,46062068.85140923
30829831.762499385,48548332.79446513,41216789.774503365,61052883.51803415,36167143.49341283,54495463.13343188
32422898.01160128,45192581.18256249,43461760.648864605,76471383.08280861,38408502.82293178,59038128.26380004
39069951.55145257,54804124.25695808,37297295.72901763,57141207.27485505,34054538.434777245,53232320.116840445
33281545.887739737,48572890.80129431,33470197.155599616,42720071.92487697,31493798.506572384,40078050.16861048
37162189.96846598,52248508.151226334,41047404.511730574,61416493.38207579,34374877.79682659,47072280.989706784
39998494.80196796,58512783.89628331,42477979.3898685,61242122.32381975,41548362.486858666,60339709.99775683
21979537.88811711,31366064.514519047,30462630.347859535,49182504.30706338,30765016.296207614,49181193.28189726
46741687.952737674,60639431.30350368,38679662.51397201,49603139.999578886,36406726.86043495,46143756.7834983
30593675.876378354,49574982.765429534,41282785.6712099,59758328.54700293,39592556.75351195,58575382.790478036
40988678.32261957,62716285.50106785,40858094.9011067,54443985.05937788,39574562.21042763,53039010.2546232
36560264.93846397,57177230.00522071,31390470.669829175,39991036.34203314,32541244.16670746,41866210.12550932
45154103.67085615,64167369.65279431,39650351.82661644,50606898.73181743,35529750.055939466,43602496.43881405
29997393.891492732,41801145.87733253,34567544.972713165,54108491.976921566,33723475.01365785,53746784.797304556
36072194.824474834,57125789.91368226,37633865.15958038,57711945.10411134,33938096.854581244,52016688.4069409
29579471.639603756,41313275.50313229,34922556.034972705,48039598.530080035,32841987.69511027,44167027.04626128
35704900.6792851,57069543.082983695,53434540.94405453,70467128.27026829,42348969.545311645,55122971.75202546
32888881.875319593,49371623.56666014,38751476.10835874,59079482.098159626,34813260.39508489,49258498.55193933
25544793.743864033,36210835.97643329,32556281.05438462,53382836.75250589,32151547.79192909,53642379.49957869
30351345.502990197,48831123.767381385,36546327.07732699,56669773.85185488,37137665.93451939,57289507.58479172
29993510.017230097,41589844.90669228,38094350.36582,54470786.75102748,35998809.77756572,50103030.62878356
30002899.53509362,47470269.87406729,33321670.471143436,46879235.75504705,33466900.284591023,47807409.59768516
28118262.118549418,40845787.99824279,34941423.01975211,53827309.01021198,34512728.35270143,53043823.67016202
38227562.134740815,56429079.21667786,44581092.05392691,62921907.79779587,40761669.82780491,58494969.607793346
41778344.02431733,62060614.38404502,37240345.306480944,51322657.579663485,33269194.28655618,43250211.34257253
36315824.02391164,53557597.59440112,49677963.34475738,108999072.46791813,34462635.34042077,49276346.36569303
38147738.83165451,60758124.43748825,37810663.58733304,59973276.3785187,34481010.03499069,52067023.79963387
36831229.9784013,52434887.76712486,45497766.72254391,65885706.79849448,41387034.93638454,61914028.756877355
44136123.40004005,58120913.61537287,41331030.08413725,51792405.429628246,38772241.530879535,47369678.30854633
36872318.98262287,51040268.93750005,41382905.95602624,59305896.21951394,39376084.98289418,55139811.8553037
32970548.095683236,45015633.335728794,43207141.183250636,65509537.124430716,39162793.26118262,60533022.45101434
34163468.127513215,51500933.578793466,45205928.52378759,76413475.61136796,37636321.66889694,56003047.11576067
33783339.84612984,52792582.44198162,36659938.58482964,51491133.18668418,36274297.76225174,50666381.23842749
44670126.11593837,66212379.67632212,42667268.40509201,58549355.457418,40405706.46877518,55247659.47156566
35335978.178042546,52261067.93064662,56234777.30486305,159162479.44251758,37504885.94798319,52307025.802005835
36008109.99357697,48809188.27454217,48635926.08118939,74149364.21196271,38896194.17586792,52721375.53077587
39744968.94858802,58103114.11940939,50901208.291086815,73191061.19693665,45359675.37001003,64347956.16598465
38599548.23799014,54069925.10289859,46657642.54710925,66453760.23844759,45515391.45035366,65570938.66875155
38579621.93241437,57259520.55153505,41670170.32042968,60245762.10610073,41250709.556125425,61206760.7962193
42111212.843905605,62214208.00128342,171560123.38028604,1272981226.4953387,43040885.39654273,55030899.774323985
45888994.011049226,64343641.044338584,48181976.53887333,67153752.13506491,45467467.7166835,63564986.4124852
27666768.795576196,39977169.87676003,38367094.553812735,58491672.89423455,38818878.51599445,59211242.305924475
39663207.89709569,55752259.9048914,37024900.64193233,45529228.51843448,36907111.9113569,45593972.864234716
35930745.89193721,54246712.48179063,41529673.241636045,62894436.11680237,40452948.10326928,59707323.33960642
37724950.55028559,52826809.650420494,40746261.857729584,56217863.91207399,38842848.43994617,54867352.10671409
40510130.0080064,56861369.12722848,43755692.916345425,65559019.34586108,40780845.133913085,59260741.41637783
37633647.84847774,58689180.896725014,37583149.792205475,50659412.78000311,36040520.78789561,48934603.17956492
41663864.074866675,57722631.642180316,52822166.04901593,79875580.23468605,43931339.108034045,59628809.65126996
48224105.095992155,68549422.70200786,38757965.27140603,49991467.10132123,37795790.223356836,48247159.17649825
28836919.47825487,40260653.99424889,33670610.268404126,55262757.7708103,32976410.012029413,55407714.81950529
30362558.362196706,42399418.60847777,35187041.77083686,47284829.00601275,30984296.523078557,41902556.40409262
29818403.31591309,47572955.76553278,33406114.969875578,48761116.09061492,31366573.29709029,46817457.265224665
36175963.770746864,51887870.37629387,53829898.13457027,112157423.29936987,30697892.182461243,40969046.63782238
35635258.15943311,50497243.77869182,42876381.80789406,59334926.18408926,40078304.57733441,55399108.956247814
32117029.030449953,46992725.72626106,40975959.612376876,59211593.26030666,37575848.06905204,53751606.18641675
30505007.877903707,44064848.69912206,44956610.48252379,69084699.38364983,43211714.52660792,67370642.31318383
28311463.47588286,41588032.459176175,39262359.647103265,58047568.38541801,38349024.16970593,57204960.40317469
35962895.98335366,59751004.893647395,42467656.327266276,65401508.73748506,40481424.84057444,63953993.00233482
34515262.120589,48378655.93825444,40098059.038738675,61903727.08505673,38854705.930182956,60619422.275792085
38355830.639599256,54507135.61166032,41886940.41015407,57174299.79749007,40272553.44366766,55887823.457160495
26630612.001186524,41488551.503390625,36090991.74932958,59397713.68297494,33373183.224823494,57927340.904388405
35616607.59049321,53301390.67083037,33568969.22180675,48685008.19508962,33130536.31837933,47802020.02411768
28836966.84366205,48298893.352598034,40100379.016572654,64759039.456573375,33914849.29630486,49443199.647840135
39709460.69520865,60143155.16195025,52339702.52206003,79812400.44391125,41996974.32191734,62668794.61877235
29903877.353675596,45043245.44303427,41348330.34826366,61986396.943993926,35561010.563105114,56600805.27672828
34026786.71615691,54692800.96032496,39924597.00562066,61058020.8265601,38210508.959864065,58302058.46299502
