target_accuracy,target_f1,source_accuracy,source_f1,trans_source_accuracy,trans_source_f1
0.9083333333333333,0.9133858267716535,0.76,0.7551020408163266,0.78,0.7843137254901961
0.9208333333333333,0.9243027888446215,0.92,0.92,0.85,0.8514851485148515
0.9083333333333333,0.9126984126984128,0.23,0.1894736842105263,0.28,0.32075471698113206
0.9416666666666667,0.9435483870967741,0.79,0.792079207920792,0.75,0.7524752475247525
0.925,0.9285714285714285,0.33,0.2637362637362637,0.31,0.3168316831683168
0.925,0.9268292682926829,0.82,0.8235294117647058,0.78,0.78
0.9333333333333333,0.9365079365079364,0.71,0.7010309278350516,0.72,0.7307692307692308
0.95,0.9520000000000001,0.79,0.7789473684210526,0.78,0.7755102040816326
0.9333333333333333,0.9359999999999999,0.78,0.78,0.79,0.7878787878787878
0.9333333333333333,0.9359999999999999,0.8,0.7872340425531915,0.76,0.7647058823529411
0.9041666666666667,0.9090909090909091,0.79,0.796116504854369,0.76,0.7692307692307692
0.9375,0.940239043824701,0.72,0.7142857142857142,0.73,0.7326732673267328
0.9083333333333333,0.9147286821705427,0.76,0.7446808510638298,0.79,0.7878787878787878
0.9458333333333333,0.9482071713147411,0.83,0.8316831683168315,0.81,0.8155339805825242
0.9,0.9055118110236221,0.84,0.8461538461538461,0.83,0.8316831683168315
0.925,0.928,0.2,0.13043478260869565,0.29,0.2828282828282828
0.9416666666666667,0.9444444444444444,0.21,0.16842105263157894,0.3,0.2553191489361702
0.9583333333333334,0.9600000000000001,0.66,0.66,0.69,0.693069306930693
0.9083333333333333,0.9126984126984128,0.21,0.15053763440860218,0.27,0.2912621359223301
0.925,0.9291338582677166,0.73,0.7216494845360825,0.73,0.7272727272727272
0.9291666666666667,0.9317269076305221,0.18,0.14583333333333334,0.25,0.2105263157894737
0.9208333333333333,0.9249011857707509,0.71,0.712871287128713,0.73,0.7326732673267328
0.9291666666666667,0.9322709163346613,0.18,0.18,0.2,0.20000000000000004
0.95,0.9516129032258064,0.25,0.2105263157894737,0.36,0.37254901960784315
0.9333333333333333,0.9365079365079364,0.17,0.1075268817204301,0.24,0.2549019607843137
