label_code,trans_target_f1,delta_f1,trans_target_accuracy,delta_accuracy,div_score,w_dist,log_w_dist,inverse_div_score,sqrt_w_dist,inverse_log_w_dist
V45.11,0.882962213225371,-0.042426123927671866,0.88125,-0.10875000000000001,42.179795967943775,8.988362037187437e-09,-18.527335203373642,0.023708033124673955,9.480697251356272e-05,-0.053974302781433454
041.4,0.6055464629932714,0.004229521798077673,0.6125,-0.3125,144.27239132373427,8.437519841457702e-09,-18.590577429170356,0.006931333090307555,9.185597335752152e-05,-0.053790690677036554
770.89,0.9065025200363546,0.012193576946923579,0.9041666666666668,-0.030833333333333268,32.38515484105588,8.906358079860452e-09,-18.536500424268542,0.03087834549218404,9.437350306023641e-05,-0.053947615629257074
294.10,0.5474173169825345,-0.0047605414566669335,0.5625,-0.25749999999999995,124.88994584459618,8.304248052941803e-09,-18.606498639468324,0.008007049672712053,9.112764702845017e-05,-0.053744663054379735
276.52,0.5647517039922103,0.019297158537664894,0.575,-0.23250000000000015,122.86347622981853,8.661105431551929e-09,-18.564423474533168,0.008139115306565805,9.306506020817871e-05,-0.053866472146135234
560.1,0.5338983050847459,-0.011169393174441766,0.55,-0.31499999999999995,145.33709369199048,8.59636137741732e-09,-18.571926818866316,0.006880555917261403,9.271656474124416e-05,-0.05384470926216168
707.03,0.6416627598062198,0.012358662435598133,0.6458333333333334,-0.21666666666666667,112.72871336956604,8.54469750055165e-09,-18.577954921760114,0.00887085437338075,9.243753296443847e-05,-0.053827237939344616
V43.64,0.5616934899231549,0.008321423393193639,0.575,-0.21250000000000013,121.64601149188815,8.408659218693152e-09,-18.594003802699557,0.008220573677145872,9.169874164181945e-05,-0.0537807785031654
493.20,0.548120524537353,0.010880410391409301,0.5583333333333333,-0.2316666666666667,116.20683212163505,8.483701320959464e-09,-18.585119005842532,0.00860534601746383,9.210701016187348e-05,-0.053806488927277456
244.9,0.5574275362318841,0.007974649869126438,0.5708333333333333,-0.19916666666666671,106.81692515722719,8.43024791787235e-09,-18.591439656364805,0.00936181226456452,9.181638153332089e-05,-0.05378819599146259
V49.86,0.6263075313807531,0.023246767884028574,0.63125,-0.25375000000000003,128.29592047937012,8.866919256497862e-09,-18.540938422657685,0.007794480107111427,9.416432050674959e-05,-0.053934702613432146
530.81,0.5530101317472942,0.021364562127041076,0.5541666666666667,-0.21583333333333332,118.25587293563392,8.407064649715048e-09,-18.594193454836493,0.008456239636777236,9.169004662292984e-05,-0.05378022996420381
998.11,0.5267608217168012,0.0055829781042686655,0.54375,-0.29125,145.75546412649265,8.43839865053533e-09,-18.59047327968909,0.0068608062551408595,9.186075685805844e-05,-0.05379099202883361
788.20,0.5408755274261603,0.012976476122853686,0.5520833333333334,-0.22291666666666665,124.41850276597195,8.211582575025717e-09,-18.617720170179364,0.008037389759310757,9.061778288518053e-05,-0.05371226932509889
V29.0,0.9358341051764948,-0.02301293452002351,0.9354166666666666,-0.039583333333333415,25.472640856275685,8.943347915483398e-09,-18.53235583067328,0.039257806273103026,9.456927574790556e-05,-0.05395968052506739
V30.01,0.898372304387342,-0.015449069069448207,0.8958333333333334,-0.0641666666666666,38.58388086099799,8.744396344630045e-09,-18.5548527594885,0.02591755877545322,9.351147707436796e-05,-0.053894256826620426
401.1,0.5454340980656771,0.027477875884102776,0.5583333333333333,-0.33166666666666667,163.69000771024912,8.665901746803699e-09,-18.56386985147237,0.006109108393287631,9.309082525578822e-05,-0.053868078584955514
112.0,0.5373158756137479,0.021199377945181563,0.5458333333333333,-0.26916666666666667,133.53061898827974,8.462464984441546e-09,-18.587625336448745,0.0074889190777118475,9.19916571458605e-05,-0.053799233732083326
V45.82,0.6693493975903615,-0.0029552689571086255,0.6625,-0.20750000000000002,116.61979504099139,8.447781318364274e-09,-18.589361995927835,0.00857487358512767,9.191181272483029e-05,-0.05379420768819602
331.4,0.543526866209881,-0.010112980533414029,0.55,-0.355,166.4564916237008,8.13424726324604e-09,-18.627182631196334,0.006007575855080774,9.019006188736119e-05,-0.053684983918353024
570,0.6494616494616494,-0.012885390137043262,0.6583333333333333,-0.2366666666666667,113.81077320482045,8.953700916202762e-09,-18.531198879941172,0.00878651442074242,9.46239975703984e-05,-0.05396304936764968
428.32,0.7134297188755021,0.007544015439010732,0.7041666666666667,-0.23083333333333333,106.00148161818763,8.58091985323962e-09,-18.57372472019073,0.0094338304025028,9.263325457544726e-05,-0.053839497196431545
512.1,0.5254237288135593,0.0284929350291403,0.5333333333333333,-0.2766666666666667,138.0846398434992,8.167652342277132e-09,-18.623084320374183,0.0072419350996125904,9.0375064825853e-05,-0.05369679816709908
345.90,0.5139209860239904,0.012857156236756317,0.525,-0.265,137.03495990541342,8.203671311268087e-09,-18.618684061986944,0.007297407907370768,9.057412053819836e-05,-0.0537094886336066
V44.1,0.5593220338983051,0.004528020857404114,0.5666666666666667,-0.3483333333333334,150.82572579076702,8.725685984103502e-09,-18.556994749128645,0.006630168658278163,9.341138037789347e-05,-0.05388803594110817
518.5,0.5172974767596281,0.006748202300445372,0.525,-0.29999999999999993,141.5185134700882,8.430686453964053e-09,-18.591387638358906,0.0070662132853124065,9.181876961691467e-05,-0.05378834648881926
790.7,0.5308003029537995,0.021418981896395572,0.5416666666666666,-0.29333333333333333,145.20097611111208,8.692479124365184e-09,-18.56080765361799,0.006887006043504628,9.323346568891014e-05,-0.05387696584448327
V10.05,0.5413251366120218,0.007426831527275857,0.55,-0.24,119.4027857392752,8.459426400713041e-09,-18.58798446696105,0.008375013981529492,9.197514012336725e-05,-0.053798194300056355
765.27,0.8797835971987121,-0.010004976800388143,0.8770833333333333,-0.07291666666666663,43.39145570587214,8.933555028492828e-09,-18.533451421783305,0.023046011795005775,9.451748530559214e-05,-0.05395649073893756
571.5,0.5665070007369196,-0.018307242825312264,0.5833333333333334,-0.31166666666666665,149.46942179879738,8.634229024947708e-09,-18.567531414227044,0.00669033162746901,9.29205522204195e-05,-0.053857455667680604
280.9,0.5427381648158972,0.011485673386414597,0.5583333333333333,-0.2316666666666667,122.69523752419906,8.82726059716469e-09,-18.545421108611045,0.008150275594867902,9.395350231452094e-05,-0.053921665846437865
300.4,0.5324587706146926,0.0011123470522802492,0.5458333333333333,-0.2466666666666667,125.77224895790073,8.351350909560222e-09,-18.600842525593446,0.007950879532532857,9.138572596177273e-05,-0.05376100564391482
780.09,0.5256150793650793,0.009334600794732473,0.5416666666666666,-0.2383333333333334,132.85613247079093,8.56247447754635e-09,-18.575876614087022,0.007526938963241723,9.253363970765632e-05,-0.0538332602425691
