source_mae,source_mse,source_rmse,target_mae,target_mse,target_rmse,target_clf_mae,target_clf_mse,target_clf_rmse,trans_target_mae,trans_target_mse,trans_target_rmse,label_div_score,wa_dist,coupling_diff,diameter,max_h
363773.7637170867,400348747438.04785,632731.1810224369,679303.5488899815,1091572046539.9001,1044783.2533783743,393579.6368571218,416586405511.2918,645435.0513500888,1774763.5050614534,4427933472398.438,2104265.542273227,,,,,
353063.3645024384,233411528655.1879,483126.824607357,684462.2914984225,914722455510.7231,956411.2376539306,359123.8246412778,228073362252.87466,477570.26943987486,1293700.2493169792,2808472310923.099,1675849.7280254872,,,,,
366638.5559802839,244316328917.4858,494283.6522863019,643678.330872931,902010302646.3103,949742.2295793266,395848.3850797398,283258371457.1499,532220.2283426946,2068938.7599012593,6162747327841.801,2482488.1324674645,,,,,
495941.27985123784,561140706723.4448,749093.2563596102,801551.2538449487,1384990221516.6816,1176856.0751071821,476154.6116548654,481795223867.491,694114.7051226412,818909.6667985482,1461201062668.7224,1208801.4984556905,,,,,
426246.81360726093,427557614649.6365,653878.8990704903,830781.7646645595,1401714749903.2493,1183940.3489632613,418803.7223068396,431849227287.17596,657152.3623081454,1144180.7275105824,2187272867807.6711,1478943.1590861331,,,,,
389984.81815073395,281470971161.6318,530538.3785944536,642027.8978535039,912557724534.627,955278.8726516602,379804.97990043694,289338854048.52136,537902.271838037,1593345.744545506,3847101675580.4077,1961402.9865329582,,,,,
410819.6864311023,330135357347.03467,574574.0660237239,878933.0612602157,1420519506728.9128,1191855.4890291493,390065.0221666515,333155997810.4575,577196.6716903845,927022.5155449072,1507443508858.6953,1227779.9105941975,,,,,
420637.28918841213,330372832745.4627,574780.682300182,875733.3203336602,1641523223994.7542,1281219.4285112733,409754.55915055115,308678291823.2029,555588.2394572467,2151854.771831026,6936791630414.9375,2633778.9638492707,,,,,
426462.5704915131,346874564538.0791,588960.5797827891,663879.7842199506,1000684400414.2076,1000342.1416766404,376005.77838299016,271356208588.49466,520918.6199287703,1044360.5953921753,2051941351578.5452,1432459.8952775416,,,,,
390071.9557090862,300547592187.35004,548222.2105928855,680641.6524961169,947346776729.2495,973317.4080068894,403031.85296889616,257042543833.8454,506993.6329322543,2387289.5450046356,8199645148529.461,2863502.252230555,,,,,
