source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.805,0.8279569892473119,0.77,0.7979274611398963,0.675,0.6810344827586207,0.6583333333333333,0.6694915254237288,0.6666666666666666,0.6754385964912281,0.6416666666666667,0.6581196581196581
0.875,0.9120879120879121,0.83,0.869109947643979,0.7,0.7181818181818181,0.6583333333333333,0.6869565217391305,0.7,0.7264150943396226,0.6416666666666667,0.6814159292035399
0.8,0.8125,0.78,0.7959183673469388,0.7125,0.7256637168141593,0.6833333333333333,0.703862660944206,0.7083333333333334,0.7232142857142857,0.675,0.6982758620689654
0.79,0.8372093023255814,0.72,0.7741935483870969,0.6541666666666667,0.6666666666666666,0.6166666666666667,0.6406926406926408,0.65,0.6636363636363637,0.6083333333333333,0.6347826086956522
0.84,0.8469387755102041,0.83,0.8383838383838385,0.625,0.6271186440677966,0.6166666666666667,0.6218487394957983,0.6333333333333333,0.6379310344827587,0.6166666666666667,0.6271186440677966
0.85,0.8804347826086957,0.81,0.84375,0.6708333333333333,0.664,0.6916666666666667,0.6775510204081633,0.675,0.6666666666666666,0.7,0.6829268292682926
0.83,0.8586956521739131,0.79,0.8229166666666666,0.6875,0.6956521739130435,0.6666666666666666,0.6808510638297872,0.675,0.675,0.675,0.675
0.81,0.8369565217391305,0.77,0.8020833333333334,0.7041666666666667,0.7094017094017094,0.6916666666666667,0.70042194092827,0.7291666666666666,0.7350427350427351,0.7166666666666667,0.7257383966244726
0.805,0.8210526315789474,0.78,0.8,0.6416666666666667,0.6349206349206349,0.6666666666666666,0.6504065040650407,0.6291666666666667,0.628099173553719,0.6333333333333333,0.6307053941908712
0.79,0.7959183673469388,0.78,0.7878787878787878,0.6708333333333333,0.664,0.6916666666666667,0.6775510204081633,0.675,0.6640625,0.7083333333333334,0.6854838709677419
0.88,0.9222222222222223,0.83,0.8736842105263158,0.6958333333333333,0.7043478260869566,0.675,0.6893617021276596,0.6875,0.6991150442477876,0.6583333333333333,0.6781115879828327
0.9,0.9081632653061225,0.89,0.8989898989898989,0.6541666666666667,0.6554621848739496,0.65,0.6527196652719666,0.675,0.6810344827586207,0.6583333333333333,0.6694915254237288
0.82,0.8333333333333334,0.8,0.816326530612245,0.6291666666666667,0.6371681415929203,0.6,0.6180257510729614,0.65,0.6551724137931034,0.6333333333333333,0.6440677966101694
0.84,0.8469387755102041,0.83,0.8383838383838385,0.6416666666666667,0.6370967741935484,0.6583333333333333,0.6475409836065574,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
