source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.89,0.89,0.89,0.89,0.6208333333333333,0.6178861788617886,0.6333333333333333,0.6255144032921811,0.625,0.6190476190476191,0.65,0.6341463414634146
0.9,0.9347826086956522,0.86,0.8958333333333334,0.6208333333333333,0.6198347107438017,0.625,0.6224066390041494,0.6083333333333333,0.6031746031746031,0.6333333333333333,0.6178861788617885
0.895,0.9157894736842105,0.87,0.8923076923076922,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.626984126984127,0.6583333333333333,0.6422764227642277
0.88,0.9042553191489362,0.85,0.8762886597938143,0.7208333333333333,0.7523809523809524,0.6583333333333333,0.7022222222222223,0.7041666666666667,0.7168141592920354,0.675,0.6952789699570816
0.89,0.9148936170212766,0.86,0.8865979381443299,0.7041666666666667,0.7130434782608696,0.6833333333333333,0.6978723404255319,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333
0.885,0.9052631578947369,0.86,0.8820512820512821,0.6875,0.6991150442477876,0.6583333333333333,0.6781115879828327,0.6916666666666667,0.6982758620689655,0.675,0.6864406779661018
0.925,0.9473684210526315,0.9,0.9230769230769231,0.6666666666666666,0.6818181818181818,0.625,0.6521739130434783,0.6708333333333333,0.6722689075630253,0.6666666666666666,0.6694560669456067
0.895,0.898989898989899,0.89,0.8944723618090452,0.6875,0.6991150442477876,0.6583333333333333,0.6781115879828327,0.6833333333333333,0.6896551724137931,0.6666666666666666,0.6779661016949153
0.84,0.8469387755102041,0.83,0.8383838383838385,0.6625,0.6756756756756757,0.625,0.6493506493506493,0.6583333333333333,0.6666666666666666,0.6333333333333333,0.6495726495726496
0.905,0.945054945054945,0.86,0.9005235602094239,0.7,0.7068965517241379,0.6833333333333333,0.6949152542372882,0.6916666666666667,0.6916666666666667,0.6916666666666667,0.6916666666666667
0.84,0.8695652173913043,0.8,0.8333333333333333,0.6375,0.6460176991150443,0.6083333333333333,0.6266094420600858,0.6416666666666667,0.6491228070175439,0.6166666666666667,0.6324786324786326
0.895,0.9247311827956989,0.86,0.8911917098445595,0.675,0.6944444444444444,0.625,0.6578947368421053,0.6791666666666667,0.6902654867256637,0.65,0.6695278969957081
0.905,0.9175257731958762,0.89,0.9035532994923858,0.5666666666666667,0.5727272727272728,0.525,0.5478260869565218,0.5666666666666667,0.5727272727272728,0.525,0.5478260869565218
0.9,0.925531914893617,0.87,0.8969072164948454,0.7208333333333333,0.71900826446281,0.725,0.7219917012448133,0.7083333333333334,0.6984126984126984,0.7333333333333333,0.7154471544715446
0.855,0.8585858585858586,0.85,0.8542713567839195,0.6291666666666667,0.6396396396396397,0.5916666666666667,0.6147186147186148,0.6291666666666667,0.6396396396396397,0.5916666666666667,0.6147186147186148
0.865,0.8686868686868687,0.86,0.864321608040201,0.6708333333333333,0.6814159292035398,0.6416666666666667,0.6609442060085837,0.6791666666666667,0.6837606837606838,0.6666666666666666,0.6751054852320675
0.895,0.9157894736842105,0.87,0.8923076923076922,0.5625,0.5652173913043478,0.5416666666666666,0.5531914893617021,0.5583333333333333,0.5603448275862069,0.5416666666666666,0.5508474576271186
0.84,0.8541666666666666,0.82,0.836734693877551,0.675,0.6909090909090909,0.6333333333333333,0.6608695652173913,0.6666666666666666,0.6754385964912281,0.6416666666666667,0.6581196581196581
0.825,0.8571428571428571,0.78,0.8167539267015708,0.6875,0.7027027027027027,0.65,0.6753246753246753,0.6791666666666667,0.6869565217391305,0.6583333333333333,0.672340425531915
0.87,0.8775510204081632,0.86,0.8686868686868686,0.6958333333333333,0.7117117117117117,0.6583333333333333,0.6839826839826839,0.6875,0.6956521739130435,0.6666666666666666,0.6808510638297872
0.915,0.9191919191919192,0.91,0.9145728643216081,0.5333333333333333,0.5298507462686567,0.5916666666666667,0.5590551181102362,0.5166666666666667,0.5144927536231884,0.5916666666666667,0.5503875968992248
0.905,0.9354838709677419,0.87,0.9015544041450777,0.6125,0.6238532110091743,0.5666666666666667,0.5938864628820961,0.6041666666666666,0.6068376068376068,0.5916666666666667,0.5991561181434599
0.905,0.945054945054945,0.86,0.9005235602094239,0.6333333333333333,0.6290322580645161,0.65,0.639344262295082,0.6291666666666667,0.6220472440944882,0.6583333333333333,0.6396761133603238
0.89,0.9333333333333333,0.84,0.8842105263157894,0.6416666666666667,0.6440677966101694,0.6333333333333333,0.6386554621848739,0.6375,0.6341463414634146,0.65,0.6419753086419754
0.89,0.90625,0.87,0.8877551020408163,0.6041666666666666,0.6126126126126126,0.5666666666666667,0.5887445887445887,0.6083333333333333,0.6140350877192983,0.5833333333333334,0.5982905982905983
0.925,0.9473684210526315,0.9,0.9230769230769231,0.6416666666666667,0.646551724137931,0.625,0.635593220338983,0.6291666666666667,0.628099173553719,0.6333333333333333,0.6307053941908712
0.9,0.9347826086956522,0.86,0.8958333333333334,0.6208333333333333,0.6141732283464567,0.65,0.631578947368421,0.6083333333333333,0.5970149253731343,0.6666666666666666,0.6299212598425197
0.85,0.85,0.85,0.85,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7208333333333333,0.7154471544715447,0.7333333333333333,0.7242798353909464
0.915,0.946236559139785,0.88,0.911917098445596,0.6291666666666667,0.6324786324786325,0.6166666666666667,0.6244725738396625,0.6416666666666667,0.639344262295082,0.65,0.6446280991735538
0.88,0.9318181818181818,0.82,0.8723404255319149,0.6291666666666667,0.6371681415929203,0.6,0.6180257510729614,0.6208333333333333,0.6198347107438017,0.625,0.6224066390041494
0.89,0.89,0.89,0.89,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5819672131147541,0.5916666666666667,0.5867768595041322
0.935,0.967741935483871,0.9,0.9326424870466321,0.6458333333333334,0.6605504587155964,0.6,0.62882096069869,0.6416666666666667,0.6545454545454545,0.6,0.6260869565217392
0.92,0.9468085106382979,0.89,0.9175257731958764,0.6291666666666667,0.6396396396396397,0.5916666666666667,0.6147186147186148,0.6291666666666667,0.6324786324786325,0.6166666666666667,0.6244725738396625
0.895,0.9438202247191011,0.84,0.888888888888889,0.6208333333333333,0.6260869565217392,0.6,0.6127659574468085,0.6166666666666667,0.6186440677966102,0.6083333333333333,0.6134453781512604
0.905,0.9354838709677419,0.87,0.9015544041450777,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.7166666666666667,0.7096774193548387,0.7333333333333333,0.7213114754098361
0.93,0.93,0.93,0.93,0.5791666666666667,0.5871559633027523,0.5333333333333333,0.5589519650655023,0.6,0.6052631578947368,0.575,0.5897435897435896
0.89,0.89,0.89,0.89,0.6875,0.7184466019417476,0.6166666666666667,0.663677130044843,0.6916666666666667,0.7211538461538461,0.625,0.6696428571428571
0.92,0.9565217391304348,0.88,0.9166666666666666,0.5791666666666667,0.5772357723577236,0.5916666666666667,0.5843621399176955,0.5833333333333334,0.5793650793650794,0.6083333333333333,0.5934959349593496
0.89,0.8979591836734694,0.88,0.888888888888889,0.6125,0.6115702479338843,0.6166666666666667,0.6141078838174274,0.6125,0.6097560975609756,0.625,0.6172839506172839
0.915,0.9278350515463918,0.9,0.9137055837563451,0.6041666666666666,0.616822429906542,0.55,0.5814977973568282,0.6041666666666666,0.6126126126126126,0.5666666666666667,0.5887445887445887
