source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.915,0.8878504672897196,0.95,0.9178743961352657,0.9125,0.896,0.9333333333333333,0.9142857142857143,0.9125,0.896,0.9333333333333333,0.9142857142857143
0.945,0.9238095238095239,0.97,0.9463414634146342,0.10833333333333334,0.12096774193548387,0.125,0.12295081967213115,0.10833333333333334,0.12096774193548387,0.125,0.12295081967213115
0.935,0.9142857142857143,0.96,0.9365853658536586,0.8625,0.8918918918918919,0.825,0.8571428571428571,0.8666666666666667,0.9,0.825,0.8608695652173912
0.985,0.9801980198019802,0.99,0.9850746268656716,0.925,0.8984375,0.9583333333333334,0.9274193548387096,0.925,0.8984375,0.9583333333333334,0.9274193548387096
0.96,0.96,0.96,0.96,0.075,0.06779661016949153,0.06666666666666667,0.06722689075630252,0.075,0.06779661016949153,0.06666666666666667,0.06722689075630252
0.95,0.9411764705882353,0.96,0.9504950495049505,0.1375,0.15748031496062992,0.16666666666666666,0.16194331983805668,0.14166666666666666,0.1640625,0.175,0.1693548387096774
0.965,0.9428571428571428,0.99,0.9658536585365853,0.9416666666666667,0.9649122807017544,0.9166666666666666,0.9401709401709402,0.9375,0.9646017699115044,0.9083333333333333,0.9356223175965666
0.96,0.9693877551020408,0.95,0.9595959595959594,0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945,0.9458333333333333,0.9572649572649573,0.9333333333333333,0.9451476793248945
0.94,0.9150943396226415,0.97,0.9417475728155339,0.0875,0.037383177570093455,0.03333333333333333,0.035242290748898675,0.08333333333333333,0.02830188679245283,0.025,0.02654867256637168
0.98,0.98,0.98,0.98,0.925,0.8984375,0.9583333333333334,0.9274193548387096,0.925,0.8923076923076924,0.9666666666666667,0.928
0.97,0.97,0.97,0.97,0.058333333333333334,0.03508771929824561,0.03333333333333333,0.03418803418803419,0.0625,0.043478260869565216,0.041666666666666664,0.0425531914893617
0.95,0.9326923076923077,0.97,0.9509803921568627,0.9375,0.9069767441860465,0.975,0.9397590361445783,0.9375,0.9069767441860465,0.975,0.9397590361445783
0.955,0.9504950495049505,0.96,0.9552238805970149,0.10416666666666667,0.11382113821138211,0.11666666666666667,0.11522633744855969,0.10416666666666667,0.11382113821138211,0.11666666666666667,0.11522633744855969
0.945,0.9320388349514563,0.96,0.9458128078817734,0.09583333333333334,0.08547008547008547,0.08333333333333333,0.08438818565400844,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.10833333333333334
0.96,0.96,0.96,0.96,0.9208333333333333,0.8914728682170543,0.9583333333333334,0.9236947791164659,0.9208333333333333,0.8914728682170543,0.9583333333333334,0.9236947791164659
0.965,0.9428571428571428,0.99,0.9658536585365853,0.0875,0.07692307692307693,0.075,0.0759493670886076,0.0875,0.07692307692307693,0.075,0.0759493670886076
0.955,0.9595959595959596,0.95,0.9547738693467336,0.06666666666666667,0.043859649122807015,0.041666666666666664,0.042735042735042736,0.0625,0.043478260869565216,0.041666666666666664,0.0425531914893617
0.945,0.9238095238095239,0.97,0.9463414634146342,0.07083333333333333,0.05217391304347826,0.05,0.05106382978723405,0.07083333333333333,0.05217391304347826,0.05,0.05106382978723405
