source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.785,0.7766990291262136,0.8,0.788177339901478,0.6208333333333333,0.6124031007751938,0.6583333333333333,0.6345381526104418,0.625,0.6171875,0.6583333333333333,0.6370967741935485
0.76,0.7321428571428571,0.82,0.7735849056603773,0.6375,0.6153846153846154,0.7333333333333333,0.6692015209125475,0.6458333333333334,0.6258992805755396,0.725,0.6718146718146718
0.75,0.7450980392156863,0.76,0.7524752475247525,0.6041666666666666,0.6033057851239669,0.6083333333333333,0.6058091286307054,0.6208333333333333,0.616,0.6416666666666667,0.6285714285714287
0.795,0.8105263157894737,0.77,0.7897435897435898,0.5208333333333334,0.5221238938053098,0.49166666666666664,0.5064377682403434,0.5083333333333333,0.5087719298245614,0.48333333333333334,0.4957264957264957
0.775,0.7570093457943925,0.81,0.782608695652174,0.6125,0.6046511627906976,0.65,0.6265060240963854,0.5875,0.5789473684210527,0.6416666666666667,0.6086956521739131
0.765,0.7572815533980582,0.78,0.768472906403941,0.5833333333333334,0.5793650793650794,0.6083333333333333,0.5934959349593496,0.5875,0.5813953488372093,0.625,0.6024096385542168
0.785,0.7766990291262136,0.8,0.788177339901478,0.5916666666666667,0.5932203389830508,0.5833333333333334,0.5882352941176471,0.5791666666666667,0.5785123966942148,0.5833333333333334,0.5809128630705395
0.855,0.8380952380952381,0.88,0.8585365853658538,0.6666666666666666,0.6538461538461539,0.7083333333333334,0.68,0.6833333333333333,0.6774193548387096,0.7,0.6885245901639343
0.72,0.7340425531914894,0.69,0.711340206185567,0.5875,0.5789473684210527,0.6416666666666667,0.6086956521739131,0.5916666666666667,0.5859375,0.625,0.6048387096774194
0.78,0.7641509433962265,0.81,0.7864077669902914,0.6833333333333333,0.671875,0.7166666666666667,0.6935483870967741,0.6916666666666667,0.6854838709677419,0.7083333333333334,0.6967213114754098
0.805,0.7904761904761904,0.83,0.8097560975609757,0.6458333333333334,0.6377952755905512,0.675,0.6558704453441295,0.6458333333333334,0.6422764227642277,0.6583333333333333,0.6502057613168725
0.735,0.7155963302752294,0.78,0.7464114832535885,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6625,0.6585365853658537,0.675,0.6666666666666667
0.73,0.7254901960784313,0.74,0.7326732673267328,0.6,0.6,0.6,0.6,0.6041666666666666,0.5984251968503937,0.6333333333333333,0.6153846153846154
0.79,0.8222222222222222,0.74,0.7789473684210526,0.5833333333333334,0.5793650793650794,0.6083333333333333,0.5934959349593496,0.5958333333333333,0.5934959349593496,0.6083333333333333,0.6008230452674898
0.79,0.7788461538461539,0.81,0.7941176470588236,0.65,0.6363636363636364,0.7,0.6666666666666666,0.625,0.6102941176470589,0.6916666666666667,0.6484375000000001
0.765,0.7676767676767676,0.76,0.763819095477387,0.6041666666666666,0.5954198473282443,0.65,0.6215139442231076,0.6083333333333333,0.6015625,0.6416666666666667,0.620967741935484
0.805,0.7850467289719626,0.84,0.8115942028985507,0.6041666666666666,0.6086956521739131,0.5833333333333334,0.5957446808510638,0.6,0.6,0.6,0.6
0.755,0.7475728155339806,0.77,0.7586206896551724,0.6,0.5923076923076923,0.6416666666666667,0.6160000000000001,0.6083333333333333,0.6048387096774194,0.625,0.6147540983606558
0.8,0.7884615384615384,0.82,0.803921568627451,0.6041666666666666,0.6050420168067226,0.6,0.602510460251046,0.5958333333333333,0.5982905982905983,0.5833333333333334,0.5907172995780591
0.755,0.7383177570093458,0.79,0.7632850241545893,0.5833333333333334,0.5746268656716418,0.6416666666666667,0.6062992125984253,0.5791666666666667,0.5714285714285714,0.6333333333333333,0.6007905138339921
0.8,0.7830188679245284,0.83,0.8058252427184467,0.6416666666666667,0.6370967741935484,0.6583333333333333,0.6475409836065574,0.6291666666666667,0.6260162601626016,0.6416666666666667,0.6337448559670783
0.765,0.7304347826086957,0.84,0.7813953488372092,0.6,0.5895522388059702,0.6583333333333333,0.6220472440944882,0.6208333333333333,0.6124031007751938,0.6583333333333333,0.6345381526104418
0.755,0.7383177570093458,0.79,0.7632850241545893,0.5916666666666667,0.5859375,0.625,0.6048387096774194,0.6,0.5882352941176471,0.6666666666666666,0.625
0.795,0.8041237113402062,0.78,0.7918781725888325,0.5625,0.5641025641025641,0.55,0.5569620253164557,0.5791666666666667,0.5785123966942148,0.5833333333333334,0.5809128630705395
0.735,0.7155963302752294,0.78,0.7464114832535885,0.5958333333333333,0.5982905982905983,0.5833333333333334,0.5907172995780591,0.5791666666666667,0.5798319327731093,0.575,0.5774058577405858
0.77,0.7368421052631579,0.84,0.7850467289719626,0.5916666666666667,0.5948275862068966,0.575,0.5847457627118644,0.6083333333333333,0.6048387096774194,0.625,0.6147540983606558
0.765,0.7731958762886598,0.75,0.7614213197969544,0.5791666666666667,0.5772357723577236,0.5916666666666667,0.5843621399176955,0.575,0.5737704918032787,0.5833333333333334,0.5785123966942148
0.785,0.7766990291262136,0.8,0.788177339901478,0.5708333333333333,0.5691056910569106,0.5833333333333334,0.5761316872427984,0.5541666666666667,0.5503875968992248,0.5916666666666667,0.570281124497992
0.815,0.8,0.84,0.8195121951219512,0.6291666666666667,0.6148148148148148,0.6916666666666667,0.6509803921568627,0.6333333333333333,0.6230769230769231,0.675,0.648
0.775,0.7619047619047619,0.8,0.7804878048780488,0.6125,0.6097560975609756,0.625,0.6172839506172839,0.6291666666666667,0.628099173553719,0.6333333333333333,0.6307053941908712
0.84,0.8269230769230769,0.86,0.8431372549019608,0.6291666666666667,0.6083916083916084,0.725,0.6615969581749049,0.6083333333333333,0.5942028985507246,0.6833333333333333,0.6356589147286822
0.78,0.8043478260869565,0.74,0.7708333333333333,0.5791666666666667,0.5811965811965812,0.5666666666666667,0.5738396624472575,0.6125,0.6046511627906976,0.65,0.6265060240963854
0.765,0.7849462365591398,0.73,0.7564766839378239,0.6375,0.6363636363636364,0.6416666666666667,0.6390041493775934,0.6416666666666667,0.6370967741935484,0.6583333333333333,0.6475409836065574
0.735,0.7373737373737373,0.73,0.7336683417085427,0.65,0.65,0.65,0.65,0.6458333333333334,0.6495726495726496,0.6333333333333333,0.6413502109704642
0.805,0.8279569892473119,0.77,0.7979274611398963,0.5625,0.5572519083969466,0.6083333333333333,0.5816733067729084,0.5791666666666667,0.5748031496062992,0.6083333333333333,0.5910931174089068
0.82,0.826530612244898,0.81,0.8181818181818183,0.5833333333333334,0.5806451612903226,0.6,0.5901639344262295,0.5625,0.56,0.5833333333333334,0.5714285714285714
0.825,0.8155339805825242,0.84,0.8275862068965517,0.6416666666666667,0.6268656716417911,0.7,0.6614173228346456,0.6625,0.6535433070866141,0.6916666666666667,0.6720647773279352
0.795,0.7757009345794392,0.83,0.8019323671497584,0.6,0.5952380952380952,0.625,0.6097560975609756,0.6,0.5967741935483871,0.6166666666666667,0.6065573770491804
0.75,0.7551020408163265,0.74,0.7474747474747474,0.6041666666666666,0.5954198473282443,0.65,0.6215139442231076,0.6,0.59375,0.6333333333333333,0.6129032258064516
0.725,0.7142857142857143,0.75,0.7317073170731706,0.65,0.6475409836065574,0.6583333333333333,0.6528925619834711,0.6666666666666666,0.6694915254237288,0.6583333333333333,0.6638655462184875
0.775,0.7522935779816514,0.82,0.784688995215311,0.5833333333333334,0.5819672131147541,0.5916666666666667,0.5867768595041322,0.6041666666666666,0.6016260162601627,0.6166666666666667,0.609053497942387
