source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.855,0.8901098901098901,0.81,0.8481675392670157,0.6791666666666667,0.7009345794392523,0.625,0.6607929515418502,0.675,0.6909090909090909,0.6333333333333333,0.6608695652173913
0.905,0.9354838709677419,0.87,0.9015544041450777,0.6875,0.6859504132231405,0.6916666666666667,0.6887966804979254,0.6958333333333333,0.6910569105691057,0.7083333333333334,0.6995884773662552
0.875,0.8712871287128713,0.88,0.8756218905472637,0.7083333333333334,0.7358490566037735,0.65,0.6902654867256638,0.7041666666666667,0.7207207207207207,0.6666666666666666,0.6926406926406925
0.84,0.84,0.84,0.8399999999999999,0.6791666666666667,0.7009345794392523,0.625,0.6607929515418502,0.6833333333333333,0.7,0.6416666666666667,0.6695652173913043
0.835,0.8383838383838383,0.83,0.8341708542713568,0.6333333333333333,0.6568627450980392,0.5583333333333333,0.6036036036036035,0.6291666666666667,0.6448598130841121,0.575,0.6079295154185022
0.865,0.8924731182795699,0.83,0.8601036269430051,0.6833333333333333,0.7037037037037037,0.6333333333333333,0.6666666666666667,0.6833333333333333,0.7,0.6416666666666667,0.6695652173913043
0.82,0.8404255319148937,0.79,0.8144329896907218,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424,0.6666666666666666,0.6724137931034483,0.65,0.6610169491525424
0.84,0.8469387755102041,0.83,0.8383838383838385,0.7416666666666667,0.7589285714285714,0.7083333333333334,0.7327586206896552,0.7416666666666667,0.75,0.725,0.7372881355932203
0.815,0.8461538461538461,0.77,0.8062827225130889,0.6541666666666667,0.6456692913385826,0.6833333333333333,0.6639676113360324,0.65,0.6384615384615384,0.6916666666666667,0.6639999999999999
0.785,0.7938144329896907,0.77,0.7817258883248732,0.6,0.6153846153846154,0.5333333333333333,0.5714285714285715,0.6041666666666666,0.6190476190476191,0.5416666666666666,0.5777777777777778
0.9,0.9,0.9,0.9,0.6333333333333333,0.6403508771929824,0.6083333333333333,0.6239316239316238,0.6333333333333333,0.6403508771929824,0.6083333333333333,0.6239316239316238
0.8,0.8061224489795918,0.79,0.7979797979797979,0.6166666666666667,0.6186440677966102,0.6083333333333333,0.6134453781512604,0.6208333333333333,0.6218487394957983,0.6166666666666667,0.6192468619246863
0.83,0.8367346938775511,0.82,0.8282828282828283,0.65,0.652542372881356,0.6416666666666667,0.6470588235294119,0.65,0.652542372881356,0.6416666666666667,0.6470588235294119
0.835,0.8316831683168316,0.84,0.835820895522388,0.6375,0.6386554621848739,0.6333333333333333,0.6359832635983264,0.6375,0.6363636363636364,0.6416666666666667,0.6390041493775934
0.84,0.8617021276595744,0.81,0.8350515463917526,0.6541666666666667,0.6796116504854369,0.5833333333333334,0.6278026905829597,0.6458333333333334,0.6666666666666666,0.5833333333333334,0.6222222222222222
0.905,0.945054945054945,0.86,0.9005235602094239,0.7375,0.7522123893805309,0.7083333333333334,0.7296137339055794,0.7333333333333333,0.7372881355932204,0.725,0.73109243697479
0.86,0.8913043478260869,0.82,0.8541666666666666,0.6375,0.6542056074766355,0.5833333333333334,0.6167400881057269,0.6458333333333334,0.6605504587155964,0.6,0.62882096069869
0.83,0.875,0.77,0.8191489361702129,0.6333333333333333,0.6290322580645161,0.65,0.639344262295082,0.625,0.6171875,0.6583333333333333,0.6370967741935485
0.85,0.85,0.85,0.85,0.6708333333333333,0.6990291262135923,0.6,0.6457399103139013,0.675,0.7019230769230769,0.6083333333333333,0.6517857142857143
0.86,0.8673469387755102,0.85,0.8585858585858585,0.6875,0.7027027027027027,0.65,0.6753246753246753,0.6833333333333333,0.6964285714285714,0.65,0.6724137931034482
0.82,0.8478260869565217,0.78,0.8125,0.6958333333333333,0.6910569105691057,0.7083333333333334,0.6995884773662552,0.7083333333333334,0.6984126984126984,0.7333333333333333,0.7154471544715446
0.86,0.875,0.84,0.8571428571428572,0.6958333333333333,0.7238095238095238,0.6333333333333333,0.6755555555555555,0.6916666666666667,0.7169811320754716,0.6333333333333333,0.672566371681416
0.83,0.8367346938775511,0.82,0.8282828282828283,0.6708333333333333,0.6666666666666666,0.6833333333333333,0.6748971193415637,0.6708333333333333,0.6666666666666666,0.6833333333333333,0.6748971193415637
0.865,0.8762886597938144,0.85,0.8629441624365483,0.7166666666666667,0.76,0.6333333333333333,0.6909090909090909,0.725,0.7596153846153846,0.6583333333333333,0.7053571428571429
0.885,0.9139784946236559,0.85,0.8808290155440415,0.6625,0.6695652173913044,0.6416666666666667,0.6553191489361703,0.6625,0.6638655462184874,0.6583333333333333,0.6610878661087867
