source_accuracy,source_precision,source_recall,source_f1,target_accuracy,target_precision,target_recall,target_f1,trans_target_accuracy,trans_target_precision,trans_target_recall,trans_target_f1
0.98,0.9705882352941176,0.99,0.9801980198019802,0.975,0.9596774193548387,0.9916666666666667,0.9754098360655739,0.975,0.9596774193548387,0.9916666666666667,0.9754098360655739
1.0,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
1.0,1.0,1.0,1.0,0.9708333333333333,0.9747899159663865,0.9666666666666667,0.9707112970711297,0.9708333333333333,0.9669421487603306,0.975,0.970954356846473
0.985,0.9801980198019802,0.99,0.9850746268656716,0.9833333333333333,0.9754098360655737,0.9916666666666667,0.9834710743801653,0.9833333333333333,0.9754098360655737,0.9916666666666667,0.9834710743801653
0.99,0.9803921568627451,1.0,0.99009900990099,0.9583333333333334,0.9435483870967742,0.975,0.9590163934426231,0.9583333333333334,0.9508196721311475,0.9666666666666667,0.9586776859504132
0.97,0.9519230769230769,0.99,0.9705882352941176,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9708333333333333,0.9747899159663865,0.9666666666666667,0.9707112970711297
0.995,0.9900990099009901,1.0,0.9950248756218906,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333
0.99,0.99,0.99,0.99,0.9583333333333334,0.9365079365079365,0.9833333333333333,0.9593495934959351,0.95,0.9354838709677419,0.9666666666666667,0.9508196721311476
0.99,0.99,0.99,0.99,0.975,0.975,0.975,0.975,0.9708333333333333,0.9669421487603306,0.975,0.970954356846473
0.995,1.0,0.99,0.9949748743718593,0.975,0.9672131147540983,0.9833333333333333,0.9752066115702478,0.975,0.9672131147540983,0.9833333333333333,0.9752066115702478
0.995,0.9900990099009901,1.0,0.9950248756218906,0.95,0.9426229508196722,0.9583333333333334,0.950413223140496,0.95,0.9426229508196722,0.9583333333333334,0.950413223140496
0.99,0.99,0.99,0.99,0.95,0.9426229508196722,0.9583333333333334,0.950413223140496,0.9541666666666667,0.9504132231404959,0.9583333333333334,0.9543568464730291
0.975,0.9611650485436893,0.99,0.9753694581280788,0.9708333333333333,0.9747899159663865,0.9666666666666667,0.9707112970711297,0.9666666666666667,0.9745762711864406,0.9583333333333334,0.9663865546218487
0.995,0.9900990099009901,1.0,0.9950248756218906,0.9708333333333333,0.952,0.9916666666666667,0.9714285714285714,0.9708333333333333,0.952,0.9916666666666667,0.9714285714285714
0.97,0.9607843137254902,0.98,0.9702970297029702,0.9666666666666667,0.9745762711864406,0.9583333333333334,0.9663865546218487,0.975,0.9913793103448276,0.9583333333333334,0.9745762711864409
0.995,1.0,0.99,0.9949748743718593,0.9625,0.9512195121951219,0.975,0.9629629629629629,0.9666666666666667,0.9516129032258065,0.9833333333333333,0.9672131147540983
1.0,1.0,1.0,1.0,0.9875,0.9915966386554622,0.9833333333333333,0.9874476987447698,0.9875,0.9915966386554622,0.9833333333333333,0.9874476987447698
0.985,0.9801980198019802,0.99,0.9850746268656716,0.9583333333333334,0.9741379310344828,0.9416666666666667,0.9576271186440678,0.9583333333333334,0.9741379310344828,0.9416666666666667,0.9576271186440678
0.99,1.0,0.98,0.98989898989899,0.975,0.975,0.975,0.975,0.9791666666666666,0.9752066115702479,0.9833333333333333,0.979253112033195
0.975,0.9523809523809523,1.0,0.975609756097561,0.9833333333333333,0.9915254237288136,0.975,0.9831932773109243,0.9916666666666667,1.0,0.9833333333333333,0.9915966386554621
0.985,0.970873786407767,1.0,0.9852216748768473,0.9416666666666667,0.9344262295081968,0.95,0.9421487603305784,0.9416666666666667,0.9344262295081968,0.95,0.9421487603305784
