target_rmse,target_mae
1120528.8208271614,770419.535916748
1428263.256613623,829831.255980835
1256034.7717320551,896266.6204115296
1616974.5509685338,943807.6654944001
1338927.5518209806,905660.7757463073
1236787.2143989746,812216.1697044373
1326148.0156488644,728105.9006167572
2014996.554992023,1125414.206637726
1471864.7320336818,900491.164086914
1283741.0137009362,849389.0590672302
1616186.4162170943,922424.4248910523
1329625.8736086302,866720.2408821105
1128228.288390819,778233.5664517212
1296899.1143956638,770218.0046580505
1378963.074168737,838539.7744024658
1203651.1871896042,819105.4655796814
2024216.5407415233,951755.0705486053
1010723.2319535814,760616.72620224
1459511.1506506104,838266.8637507629
1364450.1240590052,745060.8510142517
1577300.2704351207,835070.696182489
1136763.2875544198,761546.4627371216
1678542.3767986197,1002173.5662478638
1159345.7795214786,751904.1104794311
995227.9203115688,637175.0875848389
1625626.5140630128,943991.0923170471
1806523.8749912858,1037301.3254554749
1240477.7018435537,852955.2189842224
1114672.5766593404,772209.1771931457
1962452.8077138674,1094490.625380368
1882626.6828533432,1015036.0793544006
1752988.0573319253,976852.7799406433
1695804.3285005856,1001799.1766053772
1147823.8014719514,800621.981278839
1419109.7508018652,849698.6978442383
2155953.7031309293,996969.5282093812
1545095.9198880168,886582.8138372803
1589515.1930803752,958318.2957333374
1584727.9309857609,971193.6465036011
1526888.087776418,783746.6418728638
1578114.0326996695,833840.5482663086
1067691.9385804492,754554.6327305603
1134724.220150998,709137.8322494507
1322554.0635149747,773551.8287103272
1808967.360338318,985145.9710266113
1426897.2602095816,875728.2450160218
1476414.4417874652,908804.7710977173
2121013.0068316874,1160362.7919755555
1331094.2585771147,777442.7247938537
1121075.4899258222,727945.3389317322
1472348.648622538,785016.3508903503
1727569.3255406355,1051899.7279312133
1607705.4562016202,838027.8464276124
1321158.5555435568,811560.6079823304
1077738.5424381078,738339.4166174317
1593698.8239668645,952856.5932827758
1267955.540609311,728775.3809803772
1368050.097648053,856666.2773549713
1506036.0181489026,989718.0764637635
1158824.5185293905,731012.1899909973
1808317.6832965587,1072522.2524035645
2075144.2542334537,913754.017704773
1475912.9589622892,858762.2062523315
1396017.5039196096,902831.6179718018
1364984.6892704968,823615.602987976
1524597.0532802916,963307.1643397522
1439408.440041748,806642.1644821167
1070491.433837042,639740.3040876861
1697098.2476692393,954151.5781719971
1734392.4485470797,1005173.4689735413
821375.8509701515,619176.2079119873
1291234.9798825732,835523.9781880188
1078283.6550356233,632723.7435540771
1146826.7044774527,794720.0594482422
1752769.4529350614,1060509.3749438478
897910.4721649386,656140.1418908691
1599694.155208862,938264.5423016357
1724206.3732622536,1045475.5200512696
1229904.5375872715,731856.0266964722
1983535.4226203533,1100893.4317353822
1624314.905997948,1051390.230452423
1256091.275712428,790784.1864904785
1400979.7676816464,889432.293074646
1383175.143115556,851121.684722348
1609063.321782173,941257.868546753
1600118.6628170572,963136.2828372192
1473540.376223178,878199.2358952331
2456598.2387935715,1182730.5280785186
1091588.5447009963,741701.6445947266
1582947.2009003812,948117.9949259949
1066154.0915423427,709359.45658432
1317639.9436875256,803705.5706489563
1353709.258615307,802929.1261887634
1228388.1010153557,779671.3441773987
1433940.9768040532,935471.9683483887
2220589.8662966453,1150049.1278118896
1683500.930403479,849039.6511230469
1359351.0277739784,868009.5421731567
1548645.4839724477,814975.0434588623
2203266.196039275,943121.6729032898
