target_rmse,target_mae
707877.8613033426,477525.911108551
993608.5682737096,577498.172709082
666412.6805029692,470412.5563433716
1092452.4658868196,592790.0013522949
803509.5372980997,561485.271101532
817997.841445426,529518.1551660645
1071890.626682583,633440.282845282
915676.437277426,562388.6981291015
829182.7749042952,525923.782432251
959166.1497391382,635159.2871267578
934489.1844488754,599941.2998309326
901272.3342792066,636983.8526181153
1058947.781212384,610870.0347460601
898666.6700024398,556809.8615553833
1040951.5507866924,595075.26391922
762688.2639657124,558266.3169016876
1166011.70683619,652726.8934429687
723840.6814199436,553709.4449794922
929589.3856194426,616880.0198172791
920442.4649837121,587320.3287217712
1033238.1084132154,595754.4503078308
1239445.38150368,669107.2014486694
971307.8750847152,527339.1012604675
775996.846787427,565292.5938930176
1093319.5543742368,638952.4750787109
876556.9372477379,586025.1791873352
765129.2923992693,523730.8278401367
919608.2008679147,551219.9673880035
714658.5855706942,516767.6602130127
884260.6418345899,587574.2899750427
750043.6120017037,529669.238627472
1195292.9428453792,668810.0937832032
824286.6266750554,544232.3517155274
1026815.4967170624,577148.6047713867
830558.4218163571,588329.4004110717
994300.1451580615,622082.4601757813
813753.8533371674,551509.2257048432
708122.6117894475,509650.1615205536
982379.7420051266,602483.048937378
788941.9601147961,492575.7096427918
958075.4904704473,583437.7991383362
688823.8043521146,502790.1219664917
986487.0142330481,543212.2337975586
687851.9360175695,476371.9709297577
779253.7689356188,542714.4741252258
899702.127084985,554386.5500245758
1045195.9463465243,627713.6297216797
849074.2032418813,512516.2305769226
722976.3118788901,477608.1393854004
834324.6960263796,544850.1167654418
781607.4433451475,543105.8496953613
807978.093890718,498739.66925075074
927038.162740403,603154.2780075561
1144508.5616310018,660417.1121429901
1251602.3235202245,671096.2118107788
837014.348804591,529298.2863940735
716174.3547112993,487987.5388408142
944254.8775705046,569203.3043978913
1118822.3220227445,604519.0495774841
790505.0491978361,483424.3124126068
790135.3941675529,547023.7647694336
974384.5364379531,546059.2302586029
817618.8517805293,534475.948624176
983731.5234684387,594858.6009677582
674062.4067617507,495504.5252998352
663257.5415808106,453278.80903503415
908592.0353202715,547822.7077022522
972426.257928634,680860.3373825012
893314.7606518841,551142.7784170532
697208.4923417097,445543.62890939944
1094179.5453136684,581950.9089343201
1012464.4839871243,636034.4371591187
813707.5037136489,536009.7950041809
751336.9129940389,518231.62867207034
1247744.2622890691,748219.7872592163
752476.2808348822,514962.5601345825
897279.4481267008,543147.6737336426
870294.5572671067,586107.4566833496
860811.6248659278,509274.33088107605
709918.2870954146,518329.1948447815
889093.2193614189,557860.8987573182
1028015.6633663195,593121.2643836609
754932.7203321458,568910.5740862793
962798.5692816295,504889.40170157776
624478.2882315416,437682.13032987673
856515.7228181907,507336.8868992615
1000286.0506489367,573942.8685833344
688585.3880857102,473460.80943168944
865391.2147915339,570178.9561562347
732934.6453071934,480912.3103136719
969338.3392575562,595818.9692878418
739479.2148275174,532826.5243307495
766302.2366752444,556007.3609448883
1089209.352519714,588700.5866378784
807183.3581618875,572404.7010788971
882462.617456761,540834.0349717713
823411.6543425784,554984.9476531433
689330.5501255371,483408.5787434387
1211364.8083643971,657604.7257465026
951042.2881844456,566576.9589547851
