target_rmse,target_mae
1145345.795937726,851172.7215007431
1367910.6402848824,949322.3145519941
1349757.004649308,884018.3750140211
877664.4837173533,695563.1025098206
1333763.4134638312,987685.1056858806
1343306.319076796,963916.6698848454
1143113.7679072325,882745.1076625173
1199310.3661326952,889020.6348008458
996339.1339849562,793160.8907421561
1549009.9225292061,1007110.0366106854
1075948.1182456235,803577.6460816072
1335730.9597982562,843108.6442455262
965471.3814741522,719420.534506603
1430657.1732446817,1001671.9129354191
1298972.243817468,907364.9045258394
1182683.5501348241,847339.0836684864
985573.0230586698,731695.0695829813
1045907.4464280497,808380.6477211105
1217218.272806348,838773.7183618871
981512.3309488439,713783.4483904705
1448211.7270321506,865903.6776985874
1037138.8797606294,751039.1566727877
1698805.15632249,970241.9025912443
1135200.05185846,863946.7146224987
1275548.0182231138,820630.1642207359
1026182.8473419312,773123.2738615179
1120739.1606818326,782973.6621003138
983402.4990375151,734508.0436820332
976688.0322776367,774168.5938194088
1157649.7429997558,833822.8982897984
1044035.1009298214,814753.2819668669
1864399.3201620327,1000490.3604617127
1026678.9731550968,795712.106178888
1102117.2797347547,827876.8801017058
1039338.255894856,779299.9316942095
1139767.6262524344,898265.9274586271
1100332.3525965256,833437.8905973998
1829046.7662604104,987726.4693827046
1223419.9786623868,877427.998485501
1126038.6318121448,853340.3576800557
1660002.7479644173,927039.6131652496
1006488.3844535955,743807.5026582933
1175535.4237783344,908218.3094915581
1050313.8408768745,745497.6734606829
2168527.1658777627,1159925.2703234819
1167689.689102698,834270.6121164247
1213305.6396087694,802853.5470445424
1214584.207622378,871807.9466295994
1190849.5199181237,821463.458920836
1119727.0501107972,820233.1042446573
1071209.9079176893,754842.7331092104
1170881.0714687065,809584.8114056638
1138758.0197241595,828200.3445004429
1224286.0678790985,909936.5227324505
1149587.9974366047,857399.3428151705
1130046.2844394208,779626.3238255742
1208095.4081138363,829259.9506076097
1372034.945239138,874231.8589508183
1135379.245450198,862206.6722860701
978122.6557855399,720308.517339283
963275.6669209613,752108.9531437726
1159998.0736079663,825863.9269118076
1161733.9908654483,806988.4517799004
1420693.6798506782,1077021.624872138
1427212.8691949314,892060.7328594032
1379785.2176336718,979738.2727971983
1250951.4384949757,788015.9026673555
1012935.5415656881,772450.8161815953
1680637.0671947547,1061484.6485927836
1247590.9180741655,932450.340023155
1423588.66996038,992934.0475396957
1246235.6114140076,987946.1549451385
1340950.0778972679,859372.7985458502
1241086.2295123013,874803.710866626
,
1284611.4865256653,954636.5000612732
937876.5736885848,703060.1950600521
1089176.974291417,776440.7059854885
1227745.7460846703,823388.3735707967
1605897.79578397,993814.8637059381
1033070.7812657288,731816.4900791639
1397240.9905997734,919483.134895274
1460366.240079677,968546.3312146771
1289140.9172888177,873726.5397478855
1010130.9251448999,757745.3689672077
1194232.3987586198,768392.9954923885
1148511.2505212268,843313.8112282228
1489564.6401937127,1000568.4559499081
926777.4349310303,699894.5537568493
1254999.586456217,902452.3454488415
1061565.3941683725,768930.0935116606
1555666.3020099045,989497.2514004316
1399897.9291825334,987288.5704916797
1010996.7479886541,767638.9404955126
1025958.0412351257,775569.6263490303
1129268.3487885115,852719.5257268883
1375891.0430654744,965182.3327851262
1100531.8991417857,792438.6906421117
1218154.2845381172,819964.9306510676
1071556.181116482,819402.1007227997
