target_rmse,target_mae
1241985.7987154324,908386.2112148385
1467208.1486940903,974347.9357658526
1340835.324047031,931258.2263215428
1033454.0021313289,783081.4597497628
1817857.1409078743,1077923.374076891
1368844.3390973853,919695.5281017278
1726346.493998919,1052351.3566505807
1598477.8077843545,953632.8204119836
1043689.4500495172,806152.7978072781
1462541.9111454117,970803.083368544
1476397.2030172443,950552.3279267173
1449067.706983507,984016.6953587105
1148223.186741425,896845.1735175207
1118778.0982411408,869548.217349275
1749897.3817921095,1035380.3599233652
1380012.4249461798,998719.3030468945
1683137.8894863029,1015964.2940712848
1209576.7120635258,898062.0758780588
1256311.9030975553,940261.8304918258
1430176.6487308834,940907.9980652201
1303981.512139747,878185.8235202272
1765269.1918191116,1036831.8586274912
1309021.9904275553,960939.1348612655
1216945.0119369111,928582.1064520718
1521174.8953199054,1008153.087793974
1247935.4982780903,830206.1504620546
989169.9100027756,709718.3132718625
1258132.0097368923,895068.620754046
1240453.1517892636,899939.5236371586
1243812.5612073024,911594.5572108404
1206422.8483570782,915163.6697861452
1094293.223897667,862278.6296565093
1701682.4134019082,1033806.6338000068
1149614.3228857722,857056.2973168981
1338893.3383175845,863266.1171398102
1291002.096177702,898635.720043767
1250869.4313634916,912903.6601638657
1317076.6803231265,976243.1053939514
1329018.3222044746,976649.4592675284
1510213.592423044,887423.9115931656
1582225.1788869996,1014031.6696865223
1319051.6141196794,942296.5387290191
1023743.39410576,818743.7282627695
1204101.697268565,907355.5320546619
1352429.9958496226,979117.9058942028
1276648.2526510863,897221.9028674403
1207578.561000838,885190.7318230879
1291582.1073074655,838879.7747572842
1047624.1472598289,773122.6832332121
1511564.790310985,969166.9134313915
1455272.8745398596,1007740.7620435646
1461448.1900811016,959040.5866696599
1950644.7071737018,1041440.4683902652
1465552.86470697,930444.5706886385
1757257.805980272,951685.6744220951
1252179.0633026434,971289.1371175132
1096545.1849049595,799951.8417964238
1422344.716762385,903826.7143452379
1292253.7960199318,857027.5288523012
1846588.7979075753,1154912.2693362914
1229737.8458230759,842676.7212692766
1520247.3247080338,987127.9254821903
1129071.2141609783,863327.9954912531
1610285.0791312847,983001.7167123394
1694347.2841072637,1074843.5028443066
1407602.2054004953,971406.6993097673
1605191.694447563,934446.528778933
1238098.3765846721,968732.5224143963
1887181.8098172096,1089783.5472339988
1857360.7025205244,1102222.8271866695
1659825.9356109798,1042656.0580627072
1168837.8850645171,883592.4055286188
1850556.501110977,1082289.120836526
1116868.8141209576,843910.7877830414
1333195.1806901665,836691.6667865438
890958.8527162451,709969.2500595263
1034062.3326960036,809716.3110121586
1169540.0058224353,844348.8065252296
1257617.7712734905,879686.3858488775
1631743.1887776451,1018426.7993373293
1094735.7127027512,828096.627909062
1751679.1793893492,992836.207480661
1297193.5156084632,991289.935405703
1335721.9258832254,879985.0732917183
1261630.88820115,867772.7055646895
1089466.7886014015,797465.3799097546
1436896.814506154,965169.5436751469
1076585.840735082,859550.979819267
1356946.183099233,882772.1170972815
1190689.4131548512,889618.1524577175
1367008.7162865156,1025975.4556930035
1461644.4331411999,840370.1923513816
1480812.6263727953,1016232.1323128362
1742860.5991003735,953336.4086855551
1430665.612041544,940483.1728470448
1452957.0640080918,886676.3928333566
1376947.2802381734,806613.6693884267
1349758.464296925,966167.2892951574
1098853.295173263,826068.0925402798
1307015.015686226,901988.392876441
