target_rmse,target_mae
1179513.4700282533,808789.6737558718
1404560.187381732,967660.165805044
1223930.3821969111,829367.3546188293
1642461.6521903947,943654.7525271305
1378970.85610466,893743.7260761375
1351803.4412272729,859988.4643926657
937532.0471833457,717108.5480328302
2168114.7468875796,1073552.978767416
1190742.8348109007,795130.3272404714
1304109.9589957662,858125.3522377122
1671955.4534898102,1011368.4608751036
1498553.9475805396,954949.9167125246
1060571.2263167282,759664.8235070566
1479746.1314205127,904401.1293463599
1444398.455718142,918461.9962725466
1115720.359312497,798714.0023340055
1307643.6686426674,844703.8356425599
1103629.6707649543,849704.2794455725
1491669.8388843136,931962.6820854538
1265422.7360607665,805983.0703138346
1368671.3446189342,901144.2764617023
1314879.4922008656,846405.5913436332
1129643.9507530832,808303.8647213514
1335891.349784431,933317.9707992708
1291911.0692062874,818578.2500121607
1184432.2940815173,853294.2336784214
1550796.692624401,1075845.0084374512
1267089.8394453572,863911.8456931233
1389352.1718511467,886804.9522925194
1020852.9730348017,763461.7016331283
1035473.2481367341,757774.1903578383
1522714.0741355221,994256.2576113662
1413822.2679427334,900085.6662075965
1062968.479086323,765559.8244364244
1332831.0357430852,896725.0642337952
1763244.8328924088,988699.8743429761
1207567.9425530892,838905.0310725882
1435956.1323794923,854591.4387052029
1099893.5028945887,831102.6810163031
1601479.6968849238,994670.4052231504
1170836.9529117907,830684.337405687
1097409.4090810257,760000.6990761291
1201553.9706870941,858919.2232256541
1270468.2889794665,828012.1091810261
1254073.646480035,785283.6906864664
1153352.4794050881,859902.5995079664
1371927.3928195152,913286.8490137974
1374569.5967014704,934734.6611232525
1509947.1905162246,951320.278709541
1155867.2339930197,868085.4417831419
1209759.072002575,869439.0897363258
1597952.719082853,969003.0818223861
991018.8395589576,669886.1374198018
1192686.2959962136,791955.0495337081
1304094.7986249046,893980.6851342872
1430305.476820143,969105.082117876
1275135.0885882552,919723.8256952004
1585866.6664847776,946627.9114986942
1088000.839832728,790951.1028035549
1119667.69914152,740411.3914647888
1288660.2966930766,780745.6981519185
1169187.1680873511,842461.3054268772
1244875.293221764,865187.8660972839
1166379.9283081503,849620.2922813721
1528432.396832525,937172.4218440149
888871.0486299413,690847.90794887
1533251.3046042426,1023555.6222589815
1062950.657489932,778431.0710597805
1768402.6732961847,1021813.7502439141
1186532.431913206,815512.2225979851
1650188.3542115649,1022002.3097822785
2003813.0088147824,892342.2005711647
1087983.866547386,775715.4209402818
1350493.528335519,931633.236458617
1326436.4576749026,891809.9068642051
1351995.1758941323,808881.526605451
1364110.9585296356,914489.3147374657
1165003.829794164,814605.0982114391
1137582.832761162,787204.6925469567
1322333.1644157062,857915.4577396894
1156722.1397373965,795864.1122444586
1697734.7169532692,1059336.6247024387
1668289.5513898504,1005008.445832724
1152555.3781676271,819646.2970584081
1329803.9681154967,897748.8252473673
1394243.4447339487,850426.2895995316
1247122.3818341817,873554.3104896921
1066193.7266721001,813038.4847259693
1475608.9966834597,954741.5213217272
987043.3480297121,749398.8968254101
1380829.9245842474,893042.4649439112
1467275.762465582,892264.7102144039
1126616.664573053,769541.3378965873
1065967.1755298378,796671.1169549319
1446921.724011434,885938.4541167514
1619754.204054262,929936.517706674
947848.3982036379,713239.7456432452
1146294.1995271118,857443.167954437
1193503.9657460914,801341.9962984879
1093620.8066495303,776638.3003174698
