target_rmse,target_mae
1262485.1020214213,885227.4258363196
979859.0918036614,688270.1802245503
1374584.0816820755,915949.1002115746
2197159.9178698994,1060486.158408728
1429756.7282028308,966344.5093198498
1381970.5523162892,915162.0643718727
1954803.353603072,1114393.2773630933
1491770.0800159276,1064119.7063990338
1069896.0302267075,775302.7312125416
1497686.907281139,972996.5513941464
1037632.2929875498,838162.8012900826
1288381.4177520203,872542.1495615814
1560560.543503805,999945.5708928612
1395208.9415741535,893052.666869781
1010058.7684126254,702293.2692079486
1474792.96812072,831304.820311636
2191052.18034484,1173518.8790500455
1194970.1997344433,833103.1720755683
1035791.1686793317,792081.4694794056
1491052.1307549048,874491.4908192648
938493.8031354953,698964.4890471078
1218756.2116482577,893160.5342463432
1262564.734857147,907258.3069667297
998202.8999277886,702919.0920674197
1304227.8534812317,840440.4481201628
1096212.4359046093,823121.9610862185
1349990.2227783592,956172.1235118513
866330.2925144342,661638.61225151
1726738.1159485145,974027.8963096611
1156481.8674643957,762594.0816148095
1634520.070672109,942363.6988567174
1379032.9286579795,958006.6980565651
825603.2852050263,653257.3262453092
1349140.245810393,908231.2933252667
1303431.14158432,827232.4887615105
1161638.744980481,820919.3828849368
1266735.6682614423,899804.8531602619
1369650.995483887,862837.210118943
1556240.4065488817,982896.0104708062
1572151.3666026075,1014882.0993999479
1138973.2176020811,847386.5257545676
1687724.3633503118,1020384.7001162717
1103898.1233716065,784378.7952488409
872878.848425056,659145.664783749
1505826.1670155947,885973.6802136486
1048605.5206593396,800363.9531246041
1470896.1655839197,871578.6640983339
1330320.5549655142,938106.4876885313
1083154.6793394869,798994.136962635
1566245.578344024,942209.956282538
1233212.5937824557,866216.5473209401
1376516.647341478,939073.9542691304
1275769.1667993765,859503.0714366143
1368140.5151004954,853429.0642578839
1276978.990087236,850499.9367079437
1382171.3644066819,910021.6778698555
1534884.7408114527,955138.7305356635
1622465.2829786567,956694.5334306932
1243356.728663904,820814.4240942425
1166452.0858055279,787201.1859045341
1492051.8696236566,863648.3573434314
1212045.1779092774,895769.9199421303
1404805.41907356,929629.3361416039
1526191.854472796,885654.6000747684
1207237.466527988,836852.454980371
1365953.6080682087,870927.702733307
907612.8074755169,702221.9372090197
1114723.8704132424,820821.0551941743
1458098.9746658134,894147.0310628422
975558.5831934671,702807.7264374687
1138107.3794880507,814731.491598357
1028929.1964353072,738504.1012795107
1163530.1244682276,840921.0654883417
1179355.3491349653,806451.6836982947
1437330.518934981,973846.7143263052
1354797.0095184369,844649.3449689393
1423803.2879317638,1022047.1861519602
1414648.0931941562,896572.9262417534
1370891.960982936,923000.5263789388
1293942.2671210242,909214.2960996237
1074002.332397728,795629.8942697905
1179497.2585118478,703975.7735111368
1442291.5644606047,970363.3415233991
1651587.495798274,951426.7288597544
1169442.792458359,882603.5436761873
1172703.5682285866,825711.0230952826
1203048.8371198208,776018.9355939841
1517625.6344368567,992721.001994652
1669222.362524565,919686.4615941938
1191464.4916091552,851317.6681816846
1249415.174126562,821543.3317611832
1349620.6965429082,854056.8003190442
1295371.1227315015,940003.6524275368
886764.8680319968,692588.4666195097
1157249.0592032813,759459.0139987005
1055667.2866502702,751190.4257774472
1799539.996759553,901602.5386854954
1269811.234367971,881782.6830228344
1326579.6078068824,857575.2752033497
1079691.000242428,735503.9801962277
