male_accuracy,male_precision,male_recall,female_accuracy,female_precision,female_recall,trans_female_accuracy,trans_female_precision,trans_female_recall
0.78,0.7662337662337663,0.9365079365079365,0.07,0.07,1.0,0.07,0.07,1.0
0.93,1.0,0.5882352941176471,0.37,1.0,0.015625,0.36,0.0,0.0
0.81,0.3333333333333333,0.11764705882352941,0.12,1.0,0.12,0.0,0.0,0.0
0.93,1.0,0.5882352941176471,0.22,0.18181818181818182,0.0625,0.36,0.0,0.0
0.84,0.9411764705882353,0.6956521739130435,0.42,0.68,0.2537313432835821,0.33,0.0,0.0
0.85,0.85,1.0,0.02,0.02531645569620253,0.08695652173913043,0.23,0.23,1.0
0.94,0.8333333333333334,0.8333333333333334,0.42,0.3176470588235294,1.0,0.73,0.0,0.0
0.97,0.97,1.0,0.14,0.14,1.0,0.14,0.14,1.0
0.99,0.99,1.0,0.6,0.6,1.0,0.6,0.6,1.0
1.0,1.0,1.0,0.26,0.029411764705882353,0.2,0.9,0.0,0.0
0.92,0.9491525423728814,0.9180327868852459,0.21,0.21,1.0,0.21,0.21,1.0
0.88,0.8529411764705882,0.9666666666666667,0.49,0.22641509433962265,0.5454545454545454,0.22,0.22,1.0
0.92,0.92,1.0,0.57,0.57,1.0,0.57,0.57,1.0
1.0,1.0,1.0,0.73,0.41379310344827586,0.5454545454545454,0.22,0.22,1.0
0.83,1.0,0.5277777777777778,0.73,0.37209302325581395,1.0,0.84,0.0,0.0
0.99,0.99,1.0,0.54,0.54,1.0,0.54,0.54,1.0
0.97,1.0,0.8235294117647058,0.93,1.0,0.6666666666666666,0.21,0.21,1.0
1.0,1.0,1.0,0.97,0.97,1.0,0.97,0.97,1.0
0.87,0.8947368421052632,0.7906976744186046,0.16,0.7142857142857143,0.05747126436781609,0.13,0.0,0.0
0.99,0.9864864864864865,1.0,0.31,0.967741935483871,0.30612244897959184,0.02,0.0,0.0
0.71,1.0,0.2564102564102564,0.25,0.25252525252525254,0.9615384615384616,0.26,0.26,1.0
0.96,0.9354838709677419,0.9354838709677419,0.78,0.7865168539325843,0.958904109589041,0.27,0.0,0.0
0.68,0.7333333333333333,0.28205128205128205,0.19,0.11864406779661017,0.19444444444444445,0.64,0.0,0.0
0.86,0.86,1.0,0.51,0.51,1.0,0.51,0.51,1.0
0.92,0.8823529411764706,1.0,0.9,0.8113207547169812,1.0,0.43,0.43,1.0
1.0,1.0,1.0,0.37,0.37,1.0,0.37,0.37,1.0
0.73,0.671875,0.8775510204081632,0.05,1.0,0.05,1.0,1.0,1.0
1.0,1.0,1.0,0.47,0.5822784810126582,0.696969696969697,0.66,0.66,1.0
0.99,0.9859154929577465,1.0,0.8,0.8602150537634409,0.9195402298850575,0.87,0.87,1.0
0.98,1.0,0.8181818181818182,0.15,0.56,0.1590909090909091,0.12,0.0,0.0
0.99,0.99,1.0,0.5,0.5,1.0,0.5,0.5,1.0
0.83,0.83,1.0,0.47,0.47,1.0,0.47,0.47,1.0
0.8,0.8709677419354839,0.627906976744186,0.72,0.7096774193548387,0.9850746268656716,0.33,0.0,0.0
1.0,1.0,1.0,0.18,0.18681318681318682,0.68,0.25,0.25,1.0
0.85,0.85,1.0,0.15,0.15,1.0,0.15,0.15,1.0
0.94,0.9056603773584906,0.9795918367346939,0.01,0.011363636363636364,0.07692307692307693,0.13,0.13,1.0
0.93,1.0,0.4166666666666667,0.45,0.9714285714285714,0.38636363636363635,0.12,0.0,0.0
0.7,0.6585365853658537,0.9642857142857143,0.15,0.15384615384615385,0.6363636363636364,0.78,0.0,0.0
0.95,0.925,0.9487179487179487,0.6,1.0,0.6,0.0,0.0,0.0
0.9,0.9210526315789473,0.9459459459459459,0.8,1.0,0.047619047619047616,0.79,0.0,0.0
0.96,0.9620253164556962,0.987012987012987,0.27,0.2755102040816326,0.9310344827586207,0.71,0.0,0.0
0.82,0.8620689655172413,0.8333333333333334,0.51,0.51,1.0,0.51,0.51,1.0
0.86,0.9692307692307692,0.84,0.02,0.02,1.0,0.98,0.0,0.0
0.99,0.9803921568627451,1.0,0.72,0.7171717171717171,1.0,0.71,0.71,1.0
0.93,1.0,0.7878787878787878,0.77,0.77,1.0,0.77,0.77,1.0
0.94,0.94,1.0,0.43,0.43,1.0,0.43,0.43,1.0
0.98,0.975,1.0,0.39,0.39,1.0,0.39,0.39,1.0
0.96,0.96,1.0,0.52,0.52,1.0,0.52,0.52,1.0
0.81,0.8080808080808081,1.0,0.55,0.6833333333333333,0.6119402985074627,0.33,0.0,0.0
0.83,0.83,1.0,0.72,0.8275862068965517,0.8470588235294118,0.85,0.85,1.0
0.88,0.8571428571428571,1.0,0.87,0.8686868686868687,1.0,0.86,0.86,1.0
0.88,0.8356164383561644,1.0,0.31,0.3181818181818182,0.2641509433962264,0.53,0.53,1.0
0.93,0.7727272727272727,0.8947368421052632,0.73,0.1,1.0,0.03,0.03,1.0
1.0,1.0,1.0,0.52,0.52,1.0,0.48,0.0,0.0
0.93,0.9090909090909091,0.9615384615384616,0.59,0.5959595959595959,0.9833333333333333,0.6,0.6,1.0
0.87,0.8571428571428571,1.0,0.23,0.11764705882352941,0.32,0.25,0.25,1.0
