male_accuracy,male_precision,male_recall,male_f1,female_accuracy,female_precision,female_recall,female_f1,trans_female_accuracy,trans_female_precision,trans_female_recall,trans_female_f1
0.82,0.7222222222222222,0.7647058823529411,0.8211868131868131,0.14,0.001,0.001,0.0343859649122807,0.04,0.14285714285714285,0.023255813953488372,0.04
1.0,1.0,1.0,1.0,0.5,0.001,0.001,0.33333333333333326,0.62,0.5681818181818182,1.0,0.5558672276764844
0.74,0.001,0.001,0.6294252873563217,0.4,0.001,0.001,0.22857142857142862,0.4,0.001,0.001,0.22857142857142862
1.0,1.0,1.0,1.0,0.24,0.22448979591836735,1.0,0.11966666666666667,0.1,0.001,0.001,0.1418181818181818
0.88,0.001,0.001,0.8238297872340425,0.28,0.001,0.001,0.28,0.64,0.001,0.001,0.49951219512195116
1.0,1.0,1.0,1.0,0.42,0.4523809523809524,0.76,0.3441881501582994,0.56,0.5652173913043478,0.52,0.5592948717948718
1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.33333333333333326,0.48,0.4864864864864865,0.72,0.44821731748726656
0.96,1.0,0.9354838709677419,0.9603333333333333,0.8,0.001,0.001,0.7111111111111111,1.0,1.0,1.0,1.0
0.96,0.9310344827586207,1.0,0.9598051948051948,0.6,0.4411764705882353,0.9375,0.6,0.56,0.40625,0.8125,0.5656410256410257
0.86,0.7878787878787878,1.0,0.8563538652335676,0.74,0.8421052631578947,0.6153846153846154,0.7363232323232323,0.58,0.5531914893617021,1.0,0.4770776255707762
1.0,1.0,1.0,1.0,0.1,0.1,1.0,0.018181818181818184,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.12,0.16216216216216217,0.3157894736842105,0.08142857142857142,0.32,0.058823529411764705,0.05263157894736842,0.31173611111111105
0.8,0.76,0.8260869565217391,0.8003205128205129,0.28,0.28,1.0,0.12250000000000001,0.32,0.2916666666666667,1.0,0.2022410865874363
1.0,1.0,1.0,1.0,0.6,0.001,0.001,0.44999999999999996,0.62,1.0,0.05,0.4937914406268837
0.98,1.0,0.9473684210526315,0.9798884598884599,0.26,0.001,0.001,0.10730158730158731,0.98,0.9736842105263158,1.0,0.9797333333333333
1.0,1.0,1.0,1.0,0.48,0.001,0.001,0.3113513513513514,0.52,1.0,0.07692307692307693,0.3942857142857143
1.0,1.0,1.0,1.0,0.24,0.24489795918367346,0.9230769230769231,0.10064516129032258,0.74,0.001,0.001,0.6294252873563217
1.0,1.0,1.0,1.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
0.9,0.8461538461538461,0.9565217391304348,0.9001200480192076,0.32,0.001,0.001,0.15515151515151515,0.68,0.9090909090909091,0.5882352941176471,0.6893506493506493
0.98,0.9523809523809523,1.0,0.9800744109136006,0.94,1.0,0.8636363636363636,0.939330301777594,0.86,1.0,0.6818181818181818,0.8545345345345345
1.0,1.0,1.0,1.0,0.2,0.2727272727272727,0.36,0.1789819376026273,0.4,0.4418604651162791,0.76,0.31066176470588236
0.98,1.0,0.9230769230769231,0.9797333333333333,0.32,0.001,0.001,0.15515151515151515,0.32,0.001,0.001,0.15515151515151515
1.0,1.0,1.0,1.0,0.14,0.25,0.15151515151515152,0.15346447209955844,0.04,0.001,0.001,0.026153846153846153
0.82,1.0,0.4,0.7916817359855335,0.26,0.26,1.0,0.10730158730158731,0.74,0.001,0.001,0.6294252873563217
0.98,0.9772727272727273,1.0,0.9793457117595048,0.34,0.34,1.0,0.17253731343283582,0.34,0.34,1.0,0.17253731343283582
0.94,1.0,0.8,0.9378995433789954,0.3,1.0,0.125,0.2505050505050505,0.28,0.75,0.15,0.2615384615384615
1.0,1.0,1.0,1.0,0.12,0.14705882352941177,0.25,0.1001610305958132,0.4,0.3958333333333333,0.95,0.26102941176470584
0.84,0.8222222222222222,1.0,0.8122493224932249,0.24,0.24489795918367346,0.9230769230769231,0.10064516129032258,0.26,0.26,1.0,0.10730158730158731
0.94,1.0,0.25,0.9229473684210526,0.08,0.125,0.18181818181818182,0.06518518518518518,0.56,0.001,0.001,0.40205128205128204
0.92,0.9565217391304348,0.88,0.9198717948717947,0.12,0.001,0.001,0.09,0.24,0.2857142857142857,0.20689655172413793,0.24
1.0,1.0,1.0,1.0,0.72,0.001,0.001,0.6027906976744185,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,0.66,1.0,0.10526315789473684,0.558963230861965,0.68,1.0,0.15789473684210525,0.5964568764568764
0.9,0.9565217391304348,0.8461538461538461,0.8998799519807923,0.2,0.001,0.001,0.06666666666666668,0.78,1.0,0.725,0.8014960261804582
1.0,1.0,1.0,1.0,0.52,0.6,0.42857142857142855,0.5169230769230769,0.84,0.8571428571428571,0.8571428571428571,0.84
0.96,0.9310344827586207,1.0,0.9598051948051948,0.42,0.40425531914893614,0.95,0.29959294436906375,0.68,0.5714285714285714,0.8,0.6820512820512821
0.94,0.90625,1.0,0.9391677175283732,0.001,0.001,0.001,0.001,0.56,0.56,1.0,0.40205128205128204
1.0,1.0,1.0,1.0,0.84,0.001,0.001,0.8217391304347825,0.84,0.001,0.001,0.8217391304347825
0.84,0.9411764705882353,0.6956521739130435,0.836,0.48,0.001,0.001,0.3113513513513514,0.28,0.001,0.001,0.21
1.0,1.0,1.0,1.0,0.2,0.2,1.0,0.06666666666666668,0.82,1.0,0.1,0.7554647599591421
1.0,1.0,1.0,1.0,0.78,0.78,1.0,0.6835955056179777,0.66,0.75,0.8461538461538461,0.6202409638554216
0.8,0.6774193548387096,1.0,0.798397435897436,0.74,0.5666666666666667,1.0,0.7440706543556805,0.74,0.5666666666666667,1.0,0.7440706543556805
0.96,1.0,0.9130434782608695,0.9598051948051948,0.06,0.07142857142857142,0.2727272727272727,0.024905660377358488,0.22,0.1956521739130435,0.8181818181818182,0.14203182374541
0.94,0.9361702127659575,1.0,0.930989010989011,0.48,0.38095238095238093,1.0,0.4355993431855501,0.32,0.32,1.0,0.15515151515151515
0.98,1.0,0.9565217391304348,0.9799595959595959,0.24,0.6666666666666666,0.05128205128205128,0.15014778325123151,0.14,0.375,0.15384615384615385,0.17995959595959599
1.0,1.0,1.0,1.0,0.3,0.4117647058823529,0.4827586206896552,0.28048048048048047,0.54,0.5652173913043478,0.896551724137931,0.4357333333333333
1.0,1.0,1.0,1.0,0.48,0.4583333333333333,1.0,0.3512380952380953,0.7,1.0,0.3181818181818182,0.6541039339485188
0.96,1.0,0.9428571428571428,0.9606617647058823,0.48,0.6206896551724138,0.5454545454545454,0.49059422750424453,0.36,0.5142857142857142,0.5454545454545454,0.3494117647058823
0.92,0.75,1.0,0.9234920634920634,0.62,0.8888888888888888,0.3076923076923077,0.5774065934065934,0.76,0.85,0.6538461538461539,0.7576811594202898
0.84,1.0,0.3333333333333333,0.8076190476190476,0.001,0.001,0.001,0.001,0.5,0.001,0.001,0.33333333333333326
0.84,0.9,0.5625,0.8280249480249481,0.66,0.64,0.6666666666666666,0.6601360544217687,0.66,1.0,0.2916666666666667,0.6086582515194016
0.76,0.625,0.35714285714285715,0.7365034965034966,0.34,0.4,0.64,0.2747252747252747,0.5,0.001,0.001,0.33333333333333326
1.0,1.0,1.0,1.0,0.86,0.001,0.001,0.7952688172043011,0.86,0.001,0.001,0.7952688172043011
1.0,1.0,1.0,1.0,0.96,1.0,0.5,0.953758865248227,0.36,0.0625,0.5,0.46888888888888886
0.94,1.0,0.9117647058823529,0.9411868131868131,0.84,0.9130434782608695,0.9130434782608695,0.84,0.9,0.9767441860465116,0.9130434782608695,0.9119509703779366
0.64,0.6,1.0,0.5692857142857142,0.4,0.001,0.001,0.22857142857142862,0.54,0.5777777777777777,0.8666666666666667,0.44799999999999995
0.62,0.62,1.0,0.4745679012345678,0.56,0.56,1.0,0.40205128205128204,0.56,0.56,1.0,0.40205128205128204
0.92,0.875,0.875,0.92,0.76,0.6756756756756757,1.0,0.7453310696095076,0.5,0.5,0.36,0.49000407996736023
0.94,1.0,0.875,0.9396363636363637,0.28,0.25,0.14285714285714285,0.25896103896103895,0.62,0.9090909090909091,0.35714285714285715,0.5901303068516184
1.0,1.0,1.0,1.0,0.68,0.68,1.0,0.5504761904761906,0.32,0.001,0.001,0.15515151515151515
1.0,1.0,1.0,1.0,0.56,0.4482758620689655,0.6842105263157895,0.5635256410256411,0.68,0.5428571428571428,1.0,0.671755233494364
1.0,1.0,1.0,1.0,0.74,0.74,1.0,0.6294252873563217,0.04,0.001,0.001,0.02
1.0,1.0,1.0,1.0,0.82,0.82,1.0,0.738901098901099,0.04,0.18181818181818182,0.04878048780487805,0.06307692307692309
0.76,0.7272727272727273,1.0,0.7189473684210526,0.24,0.001,0.001,0.17806451612903224,0.54,0.54,1.0,0.3787012987012987
0.98,1.0,0.8888888888888888,0.9795322466335931,0.8,0.001,0.001,0.7111111111111111,0.78,0.001,0.001,0.7011235955056181
0.78,0.7857142857142857,0.8148148148148148,0.7795555555555554,0.12,0.08333333333333333,0.21428571428571427,0.12,0.26,0.2653061224489796,0.9285714285714286,0.11555555555555555
0.98,1.0,0.9375,0.9798223468910706,0.26,0.2926829268292683,0.6,0.18814627994955863,0.42,0.2631578947368421,0.25,0.41731820092475835
0.78,0.717948717948718,1.0,0.7613930348258706,0.3,0.001,0.001,0.23076923076923075,0.52,0.5102040816326531,1.0,0.3762993762993764
0.98,0.9565217391304348,1.0,0.980040404040404,0.18,0.18,1.0,0.05491525423728814,0.78,0.45,1.0,0.8046818844099077
1.0,1.0,1.0,1.0,0.02,0.2,0.021739130434782608,0.03607843137254902,0.9,0.9183673469387755,0.9782608695652174,0.8715789473684211
1.0,1.0,1.0,1.0,0.56,0.001,0.001,0.4164102564102564,0.58,0.001,0.001,0.42582278481012653
1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.8526315789473685,0.1,0.001,0.001,0.018181818181818184
0.92,1.0,0.42857142857142855,0.9057777777777778,0.44,0.44,1.0,0.26888888888888896,0.56,0.001,0.001,0.40205128205128204
0.86,0.9333333333333333,0.7,0.8553846153846153,0.26,0.23076923076923078,0.2608695652173913,0.26088835534213684,0.42,0.001,0.001,0.31943661971830983
1.0,1.0,1.0,1.0,0.5,1.0,0.038461538461538464,0.35413495687468294,0.72,1.0,0.46153846153846156,0.7000339558573853
0.98,0.9714285714285714,1.0,0.9798223468910706,0.2,0.2857142857142857,0.4,0.16666666666666663,0.48,0.4897959183673469,0.96,0.3243243243243243
0.94,0.9411764705882353,0.8888888888888888,0.9396043956043957,0.16,0.21212121212121213,0.30434782608695654,0.13954545454545453,0.5,0.46153846153846156,0.5217391304347826,0.5006002400960383
0.86,0.8181818181818182,0.8571428571428571,0.8603998368013055,0.48,0.48,1.0,0.3113513513513514,0.04,0.001,0.001,0.04
1.0,1.0,1.0,1.0,0.58,0.58,1.0,0.42582278481012653,0.42,0.001,0.001,0.24845070422535212
0.96,1.0,0.75,0.9576079734219269,0.44,0.001,0.001,0.26888888888888896,0.44,0.001,0.001,0.26888888888888896
0.9,0.8780487804878049,1.0,0.8923771880293621,0.58,0.5531914893617021,1.0,0.4770776255707762,0.3,0.38461538461538464,0.5769230769230769,0.24
0.94,0.92,0.9583333333333334,0.9400240096038415,0.66,0.5357142857142857,0.7894736842105263,0.6636852669610599,0.82,0.9166666666666666,0.5789473684210527,0.8088078541374475
1.0,1.0,1.0,1.0,0.4,0.001,0.001,0.22857142857142862,0.08,0.001,0.001,0.05925925925925926
1.0,1.0,1.0,1.0,0.6,0.5384615384615384,0.6363636363636364,0.6012820512820513,0.72,0.6538461538461539,0.7727272727272727,0.7208974358974359
0.86,0.86,1.0,0.7952688172043011,0.12,0.12,1.0,0.02571428571428571,0.12,0.12,1.0,0.02571428571428571
1.0,1.0,1.0,1.0,0.04,0.08333333333333333,0.07142857142857142,0.043076923076923075,0.56,0.56,1.0,0.40205128205128204
1.0,1.0,1.0,1.0,0.48,0.001,0.001,0.3113513513513514,0.4,0.001,0.001,0.27428571428571424
