target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.909,0.9239543726235742,0.7738853503184714,0.9066090459899327,0.798,0.7362068965517241,0.8970588235294118,0.796819851052902,0.951,1.0,0.8970588235294118,0.9507648908580838
0.986,1.0,0.9222222222222223,0.9857760133080778,0.783,1.0,0.5177777777777778,0.7664051912650318,0.783,1.0,0.5177777777777778,0.7664051912650318
0.934,0.8653061224489796,1.0,0.9343774073044235,0.565,0.11134020618556702,0.9310344827586207,0.6722936329474398,0.772,0.1897810218978102,0.896551724137931,0.8314060847707376
0.968,0.9628339140534262,1.0,0.966651345676656,0.459,0.4400428265524625,0.958041958041958,0.3447753121001209,0.452,0.4390992835209826,1.0,0.30601259632838584
0.992,0.9894039735099338,1.0,0.9919570478986518,0.002,0.0022197558268590455,0.019801980198019802,0.001,0.003,0.0033259423503325942,0.0297029702970297,0.001
0.998,1.0,0.9949874686716792,0.997999148566754,0.738,0.6997929606625258,0.7428571428571429,0.7384565871208927,0.738,0.6997929606625258,0.7428571428571429,0.7384565871208927
0.996,0.9910714285714286,0.9736842105263158,0.9959845556763874,0.15,0.030973451327433628,0.0109717868338558,0.10147528690662495,0.003,0.002770083102493075,0.001567398119122257,0.0027238307238307237
0.913,0.860655737704918,0.9962049335863378,0.911991800096002,0.718,0.001,0.001,0.7079697322467986,0.718,0.001,0.001,0.7079697322467986
0.999,1.0,0.997979797979798,0.9989999889986688,0.826,0.7593360995850622,1.0,0.8171069873522704,0.826,0.7593360995850622,1.0,0.8171069873522704
0.999,0.9982425307557118,1.0,0.9989998603794622,0.012,0.001,0.001,0.0029407114624505934,0.012,0.001,0.001,0.0029407114624505934
0.998,0.9981751824817519,0.9981751824817519,0.998,0.005,0.01488095238095238,0.007473841554559043,0.006656716417910448,0.004,0.011940298507462687,0.005979073243647235,0.005330677290836655
0.943,0.9249492900608519,0.957983193277311,0.9430300678952473,0.789,0.9895470383275261,0.5772357723577236,0.7789497823182034,0.753,0.9880478087649402,0.5040650406504065,0.7366196556350387
1.0,1.0,1.0,1.0,0.895,0.9956616052060737,0.8167259786476868,0.8952440440993285,0.878,0.9954954954954955,0.7864768683274022,0.878086379109648
0.932,0.9656160458452722,0.8575063613231552,0.9311730166824506,0.869,0.7385786802030457,0.9122257053291536,0.8720728855062656,0.888,0.776,0.9122257053291536,0.8901175068736181
1.0,1.0,1.0,1.0,0.723,0.861764705882353,0.5602294455066922,0.715922495314559,0.761,0.865979381443299,0.6424474187380497,0.7581054875670182
1.0,1.0,1.0,1.0,0.996,0.9900990099009901,1.0,0.9960032612855456,0.996,0.9900990099009901,1.0,0.9960032612855456
0.788,0.6481481481481481,0.5072463768115942,0.7792906773630071,0.31,0.001,0.001,0.2361679389312977,0.31,0.001,0.001,0.2361679389312977
0.93,0.923784494086728,0.9832167832167832,0.9280182668238897,0.617,0.42750373692077726,1.0,0.6236143991582955,0.286,0.286,1.0,0.1272099533437014
0.991,0.9949664429530202,0.989983305509182,0.9910054731152057,0.38,0.49673202614379086,0.6178861788617886,0.33869565217391306,0.383,0.4986979166666667,0.6227642276422765,0.3406290672451194
0.981,0.9601139601139601,0.9853801169590644,0.9810579596379136,0.029,0.06779661016949153,0.020860495436766623,0.030546816921352294,0.073,0.21428571428571427,0.07822685788787484,0.09426507755632192
0.862,0.796875,0.95625,0.861255778120185,0.203,0.12146892655367232,0.08128544423440454,0.18645493966913074,0.461,0.001,0.001,0.29723613963039014
1.0,1.0,1.0,1.0,0.746,0.8888888888888888,0.5265392781316348,0.7329952000000001,0.662,0.8518518518518519,0.34182590233545646,0.6253565807327002
0.828,1.0,0.5437665782493368,0.8130157862339388,0.004,0.004694835680751174,0.02631578947368421,0.001211155378486056,0.848,0.001,0.001,0.7782510822510823
0.713,0.6714975845410628,0.834,0.7087355978886883,0.149,0.001,0.001,0.11774760661444733,0.177,0.26485568760611206,0.2857142857142857,0.17213379847724786
0.976,1.0,0.7857142857142857,0.97472,0.43,0.38405797101449274,0.33544303797468356,0.4261209410849699,0.673,0.9298245614035088,0.33544303797468356,0.6327542778683599
0.963,0.9338235294117647,0.9744245524296675,0.9631317519088702,0.641,0.965034965034965,0.4416,0.630082130556135,0.65,0.9963898916967509,0.4416,0.6379478511625652
0.995,1.0,0.9693251533742331,0.9949685040977143,0.35,0.08970976253298153,0.10029498525073746,0.35796544396594804,0.609,0.001,0.001,0.5003716594157862
0.927,0.8010899182561307,1.0,0.9290410957665927,0.926,0.9811320754716981,0.7482014388489209,0.9226335450736586,0.895,0.9779005524861878,0.6366906474820144,0.8872099010488903
1.0,1.0,1.0,1.0,0.116,0.39655172413793105,0.11004784688995216,0.15247631447814694,0.164,0.001,0.001,0.046213058419243995
1.0,1.0,1.0,1.0,0.541,0.27230046948356806,0.16022099447513813,0.5055264073226544,0.788,0.8177966101694916,0.5331491712707183,0.7751919427096503
0.993,0.9763513513513513,1.0,0.9930245658542478,0.204,0.21662468513853905,0.15061295971978983,0.1995633288487411,0.285,0.2721518987341772,0.15061295971978983,0.26413079613585877
0.984,1.0,0.9683794466403162,0.9839989759836157,0.977,0.9688249400479616,0.9758454106280193,0.9770120038417235,0.977,0.9688249400479616,0.9758454106280193,0.9770120038417235
0.963,0.9565217391304348,0.7746478873239436,0.9613429951043752,0.381,1.0,0.026729559748427674,0.2298423972050646,0.381,1.0,0.026729559748427674,0.2298423972050646
