male_accuracy,male_precision,male_recall,female_accuracy,female_precision,female_recall,trans_female_accuracy,trans_female_precision,trans_female_recall
0.719,0.719,1.0,0.738,0.738,1.0,0.738,0.738,1.0
0.71,0.723952738990333,0.9533239038189534,0.73,0.73,1.0,0.669,0.7142857142857143,0.910958904109589
0.722,0.7352320675105485,0.962707182320442,0.753,0.753,1.0,0.727,0.7531645569620253,0.9482071713147411
0.735,0.735,1.0,0.736,0.736,1.0,0.736,0.736,1.0
0.734,0.7421711899791231,0.9739726027397261,0.732,0.732,1.0,0.706,0.7286012526096033,0.953551912568306
0.733,0.733,1.0,0.723,0.723,1.0,0.723,0.723,1.0
0.741,0.7417417417417418,0.9986522911051213,0.733,0.733,1.0,0.732,0.7327327327327328,0.9986357435197817
0.744,0.7459677419354839,0.9946236559139785,0.7,0.7,1.0,0.696,0.6995967741935484,0.9914285714285714
0.737,0.737,1.0,0.735,0.735,1.0,0.735,0.735,1.0
0.746,0.7524219590958019,0.966804979253112,0.729,0.7377049180327869,0.9795918367346939,0.71,0.7395048439181916,0.9346938775510204
0.722,0.7257085020242915,0.9903314917127072,0.709,0.7392241379310345,0.9333333333333333,0.725,0.7327935222672065,0.9850340136054422
0.758,0.758,1.0,0.728,0.728,1.0,0.728,0.728,1.0
0.737,0.7400835073068893,0.9806362378976486,0.717,0.717,1.0,0.691,0.7129436325678496,0.9525801952580195
0.725,0.7247247247247247,1.0,0.745,0.745,1.0,0.746,0.7457457457457457,1.0
0.739,0.739,1.0,0.74,0.74,1.0,0.74,0.74,1.0
0.737,0.7418677859391396,0.9765193370165746,0.742,0.742,1.0,0.717,0.7408184679958028,0.9514824797843666
0.721,0.721,1.0,0.741,0.741,1.0,0.741,0.741,1.0
0.714,0.714,1.0,0.524,0.7229601518026565,0.5358649789029536,0.711,0.711,1.0
0.713,0.717948717948718,0.9831460674157303,0.71,0.71,1.0,0.703,0.7117948717948718,0.9774647887323944
0.709,0.709,1.0,0.71,0.7121364092276831,0.9957924263674615,0.713,0.713,1.0
0.741,0.7497326203208556,0.9655647382920111,0.51,0.7848699763593381,0.454172366621067,0.72,0.7411764705882353,0.948016415868673
0.722,0.722,1.0,0.736,0.7381671701913394,0.994572591587517,0.737,0.737,1.0
0.722,0.7217217217217218,1.0,0.737,0.737,1.0,0.736,0.7367367367367368,0.9986431478968792
0.747,0.7477295660948536,0.9959677419354839,0.732,0.732,1.0,0.725,0.7305751765893037,0.9890710382513661
0.735,0.7422680412371134,0.9795918367346939,0.656,0.7004608294930875,0.8786127167630058,0.682,0.6927835051546392,0.9710982658959537
0.74,0.74,1.0,0.734,0.734,1.0,0.734,0.734,1.0
0.732,0.732,1.0,0.741,0.741,1.0,0.741,0.741,1.0
0.747,0.747,1.0,0.718,0.718,1.0,0.718,0.718,1.0
0.746,0.746,1.0,0.734,0.734,1.0,0.734,0.734,1.0
0.741,0.741,1.0,0.721,0.721,1.0,0.721,0.721,1.0
0.742,0.7439759036144579,0.9959677419354839,0.717,0.717,1.0,0.715,0.7168674698795181,0.99581589958159
0.705,0.705,1.0,0.72,0.72,1.0,0.72,0.72,1.0
0.731,0.731,1.0,0.732,0.732,1.0,0.732,0.732,1.0
0.74,0.7379032258064516,1.0,0.703,0.703,1.0,0.699,0.7026209677419355,0.9914651493598862
0.765,0.7669021190716448,0.9947643979057592,0.726,0.726,1.0,0.725,0.727547931382442,0.9931129476584022
0.728,0.728,1.0,0.723,0.723,1.0,0.723,0.723,1.0
0.751,0.7638418079096045,0.9441340782122905,0.454,0.7591036414565826,0.3707250341997264,0.722,0.7559322033898305,0.9151846785225718
0.723,0.7227227227227228,1.0,0.735,0.7376884422110552,0.994579945799458,0.737,0.7377377377377378,0.9986449864498645
0.705,0.7047047047047047,1.0,0.722,0.722,1.0,0.721,0.7217217217217218,0.9986149584487535
0.723,0.7291666666666666,0.9762900976290098,0.734,0.734,1.0,0.708,0.7302083333333333,0.9550408719346049
0.739,0.7478540772532188,0.9640387275242047,0.676,0.7596401028277635,0.8118131868131868,0.718,0.7392703862660944,0.9464285714285714
0.699,0.6986986986986987,1.0,0.738,0.738,1.0,0.737,0.7377377377377378,0.9986449864498645
