target_accuracy,target_precision,target_recall,target_f1,source_accuracy,source_precision,source_recall,source_f1,trans_source_accuracy,trans_source_precision,trans_source_recall,trans_source_f1
0.997,0.9960079840319361,0.998,0.996999996999997,0.733,0.9755102040816327,0.478,0.714430867135485,0.909,0.9114688128772636,0.906,0.9089991809926289
0.996,0.9920634920634921,1.0,0.995999935998976,0.867,0.9317647058823529,0.792,0.866247642991829,0.896,0.9125,0.876,0.8959583833533414
0.996,0.996,0.996,0.996,0.791,0.9317507418397626,0.628,0.7852955165800145,0.887,0.8511796733212341,0.938,0.8867053205387211
0.997,0.9979959919839679,0.996,0.996999996999997,0.826,0.9630681818181818,0.678,0.8221033518182265,0.886,0.8683206106870229,0.91,0.8859342981557377
1.0,1.0,1.0,1.0,0.798,0.9685534591194969,0.616,0.7910797248044217,0.88,0.87109375,0.892,0.8799827175113216
0.995,0.9900990099009901,1.0,0.9949998749968749,0.82,0.9371584699453552,0.686,0.8167088236372301,0.88,0.8861788617886179,0.872,0.8799923195084486
1.0,1.0,1.0,1.0,0.809,0.9327731092436975,0.666,0.8050127048004647,0.904,0.8740740740740741,0.944,0.9038461538461539
0.995,0.9959919839679359,0.994,0.9949999949999949,0.813,0.9589442815249267,0.654,0.8081498360040175,0.867,0.8224956063268892,0.936,0.8663637578511293
0.997,0.9940357852882704,1.0,0.996999972999757,0.899,0.936542669584245,0.856,0.8988129050614586,0.904,0.9105691056910569,0.896,0.9039938556067588
0.997,0.9960079840319361,0.998,0.996999996999997,0.808,0.9476744186046512,0.652,0.8032109414716542,0.881,0.9079229122055674,0.848,0.8808702677215487
0.993,0.997979797979798,0.988,0.9929998249956248,0.765,0.9522184300341296,0.558,0.7544797006950837,0.889,0.9129511677282378,0.86,0.8889065704257281
0.995,0.9900990099009901,1.0,0.9949998749968749,0.874,0.9560975609756097,0.784,0.8729710656316161,0.895,0.9022403258655805,0.886,0.8949914943110392
0.999,0.998003992015968,1.0,0.998999998999999,0.797,0.9541284403669725,0.624,0.790736966675635,0.879,0.9092872570194385,0.842,0.8788341239156405
0.999,0.998003992015968,1.0,0.998999998999999,0.828,0.9385026737967914,0.702,0.8252252764895481,0.904,0.8914728682170543,0.92,0.903975417706933
0.996,0.9920634920634921,1.0,0.995999935998976,0.864,0.946078431372549,0.772,0.862839069887528,0.899,0.9096509240246407,0.886,0.8989829281148516
0.998,0.9960159362549801,1.0,0.9979999919999679,0.829,0.953168044077135,0.692,0.8257291096591933,0.905,0.8916827852998066,0.922,0.9049725370632113
0.998,0.9960159362549801,1.0,0.9979999919999679,0.805,0.9224376731301939,0.666,0.8011581771405322,0.87,0.861328125,0.882,0.8699812773039316
0.999,0.998003992015968,1.0,0.998999998999999,0.839,0.9425587467362925,0.722,0.8367654826925788,0.879,0.8989473684210526,0.854,0.8789243277048155
0.995,0.9959919839679359,0.994,0.9949999949999949,0.729,0.9790794979079498,0.468,0.7091897123982835,0.908,0.9163265306122449,0.898,0.907990799079908
0.996,0.9920634920634921,1.0,0.995999935998976,0.876,0.9519230769230769,0.792,0.8751188385246298,0.896,0.8822393822393823,0.914,0.8959662930789575
0.998,0.998,0.998,0.998,0.804,0.9523809523809523,0.64,0.798582679754682,0.879,0.8582230623818525,0.908,0.8788981533469649
0.999,0.998003992015968,1.0,0.998999998999999,0.853,0.9584415584415584,0.738,0.851029870031162,0.881,0.8977035490605428,0.86,0.8809474978465504
0.999,1.0,0.998,0.998999998999999,0.824,0.9602272727272727,0.676,0.8200585627586658,0.89,0.89,0.89,0.89
0.998,0.998,0.998,0.998,0.806,0.9664634146341463,0.634,0.8000857364264398,0.882,0.8398576512455516,0.944,0.8815446576640606
0.991,0.9823182711198428,1.0,0.9909992709409462,0.866,0.9121621621621622,0.81,0.8655784540318437,0.871,0.8824742268041237,0.856,0.8709709684679053
0.994,0.9920318725099602,0.996,0.993999975999904,0.853,0.9315403422982885,0.762,0.8517725283069096,0.892,0.8813229571984436,0.906,0.8919788278502585
1.0,1.0,1.0,1.0,0.792,0.967948717948718,0.604,0.7843790947239222,0.904,0.9122448979591836,0.894,0.9039903990399041
0.992,0.984251968503937,1.0,0.9919994879672299,0.802,0.9059139784946236,0.674,0.7987019324614485,0.86,0.9147465437788018,0.794,0.8593874919147807
0.998,0.9960159362549801,1.0,0.9979999919999679,0.801,0.943952802359882,0.64,0.7957044551827931,0.866,0.8893617021276595,0.836,0.865879291362226
0.998,0.9960159362549801,1.0,0.9979999919999679,0.88,0.9203539823008849,0.832,0.8797228815190199,0.881,0.8927835051546392,0.866,0.8809732189742693
0.997,0.9940357852882704,1.0,0.996999972999757,0.829,0.9164556962025316,0.724,0.8270937081321572,0.868,0.9088888888888889,0.818,0.8676691729323308
0.993,0.9920159680638723,0.994,0.9929999929999931,0.794,0.9454545454545454,0.624,0.7878694264236433,0.883,0.8539741219963032,0.924,0.882802991829265
0.999,1.0,0.998,0.998999998999999,0.802,0.9631901840490797,0.628,0.79581819156791,0.873,0.872255489021956,0.874,0.8729998729998731
0.998,0.9960159362549801,1.0,0.9979999919999679,0.822,0.9653179190751445,0.668,0.8176760041135571,0.888,0.9008264462809917,0.872,0.8879713206580884
0.998,0.998,0.998,0.998,0.84,0.967032967032967,0.704,0.8369848721961398,0.905,0.920997920997921,0.886,0.904965692615034
0.997,0.9940357852882704,1.0,0.996999972999757,0.856,0.8955555555555555,0.806,0.855639097744361,0.856,0.8903508771929824,0.812,0.85572067522724
0.975,0.9558541266794626,0.996,0.97498897013583,0.884,0.8664122137404581,0.908,0.8839331454918034,0.887,0.8657844990548205,0.916,0.8869048870099753
1.0,1.0,1.0,1.0,0.81,0.9505813953488372,0.654,0.8052608274979911,0.871,0.9076923076923077,0.826,0.8707382449460156
0.997,0.9979959919839679,0.996,0.996999996999997,0.771,0.9301587301587302,0.586,0.7628847298801479,0.88,0.841726618705036,0.936,0.8796224961479199
0.999,0.998003992015968,1.0,0.998999998999999,0.874,0.9118942731277533,0.828,0.8737328186442512,0.873,0.8893528183716075,0.852,0.8729439682900159
0.995,0.9900990099009901,1.0,0.9949998749968749,0.876,0.8966244725738397,0.85,0.8759161192966444,0.88,0.8830645161290323,0.876,0.8799980799692795
0.998,0.9960159362549801,1.0,0.9979999919999679,0.839,0.9425587467362925,0.722,0.8367654826925788,0.875,0.8865979381443299,0.86,0.874971868670451
0.995,0.9920477137176938,0.998,0.994999954999595,0.817,0.9703264094955489,0.654,0.8120051652351321,0.894,0.8716981132075472,0.924,0.8939045140626565
0.996,0.9920634920634921,1.0,0.995999935998976,0.848,0.9202898550724637,0.762,0.8468674315235482,0.874,0.891213389121339,0.852,0.8739389864694512
0.997,0.9940357852882704,1.0,0.996999972999757,0.796,0.9654088050314465,0.614,0.7890112072282277,0.911,0.8990291262135922,0.926,0.910979970493361
0.997,0.9979959919839679,0.996,0.996999996999997,0.813,0.9671641791044776,0.648,0.8077664413661946,0.896,0.9142259414225942,0.874,0.8959496396255788
0.999,1.0,0.998,0.998999998999999,0.861,0.9349397590361446,0.776,0.859988416307824,0.869,0.9072847682119205,0.822,0.8687099803465858
0.995,0.9900990099009901,1.0,0.9949998749968749,0.81,0.9234972677595629,0.676,0.8065259805059652,0.879,0.8623326959847036,0.902,0.8789359571213172
0.994,0.994,0.994,0.994,0.799,0.9776357827476039,0.612,0.791716535530983,0.915,0.9243353783231084,0.904,0.9149897137553644
0.998,0.9960159362549801,1.0,0.9979999919999679,0.802,0.9603658536585366,0.63,0.7959637928476034,0.881,0.8495412844036697,0.926,0.8807585360354718
0.999,0.998003992015968,1.0,0.998999998999999,0.747,0.955719557195572,0.518,0.7329981563153324,0.894,0.8987854251012146,0.888,0.8939961838626191
0.996,0.9920634920634921,1.0,0.995999935998976,0.847,0.9200968523002422,0.76,0.8458331108157645,0.873,0.9045553145336226,0.834,0.8728065387454318
1.0,1.0,1.0,1.0,0.811,0.9587020648967551,0.65,0.8059705629625522,0.914,0.9173387096774194,0.91,0.9139986239779837
0.999,0.998003992015968,1.0,0.998999998999999,0.784,0.961038961038961,0.592,0.7757326068177286,0.908,0.9015748031496063,0.916,0.9079941116231439
0.998,0.9960159362549801,1.0,0.9979999919999679,0.855,0.9382716049382716,0.76,0.8536794571003304,0.899,0.8982035928143712,0.9,0.898999898999899
